,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.06428217887878418, 0.030299663543701172, 0.03780555725097656, 0.031540870666503906, 0.04389619827270508]","[0.030153989791870117, 0.25318098068237305, 0.11292791366577148, 5.00294828414917]",0.0019981861114501953,0.07645440101623535
1,"[0.03070068359375, 0.05182337760925293, 0.03165721893310547, 0.0377802848815918, 0.032387733459472656]","[0.0032529830932617188, 0.008563518524169922, 0.03438162803649902, 0.10972452163696289]",0.0019919872283935547,0.044441938400268555
2,"[0.0323643684387207, 0.058484554290771484, 0.036505699157714844, 0.036817312240600586, 0.05003786087036133]","[0.10216856002807617, 1.5746707916259766, 1.5055994987487793, 5.003773212432861]",0.002897977828979492,0.0755469799041748
3,"[0.03693580627441406, 0.053150177001953125, 0.046098947525024414, 0.03753781318664551, 0.041558265686035156]","[5.003950595855713, 5.003810167312622, 5.004170179367065, 5.00875449180603]",0.005120277404785156,0.08250093460083008
4,"[0.040757179260253906, 0.04447221755981445, 0.044300079345703125, 0.039975881576538086, 0.043623924255371094]","[5.001338481903076, 0.48845362663269043, 3.7565786838531494, 0.3240621089935303]",0.001998424530029297,0.05394387245178223
5,"[0.03195786476135254, 0.036728858947753906, 0.04194283485412598, 0.031864166259765625, 0.05090785026550293]","[0.0044727325439453125, 0.0020008087158203125, 0.0021789073944091797, 0.006354093551635742]",0.0010056495666503906,0.0369257926940918
6,"[0.03383517265319824, 0.020263195037841797, 0.027001619338989258, 0.023105859756469727, 0.031033039093017578]","[0.005998849868774414, 0.011999845504760742, 0.020153284072875977, 0.026032447814941406]",0.001107931137084961,0.060248374938964844
7,"[0.030999183654785156, 0.030617713928222656, 0.029102563858032227, 0.025783300399780273, 0.04114031791687012]","[0.031777143478393555, 0.2543148994445801, 0.18466639518737793, 0.40781164169311523]",0.0009987354278564453,0.04509592056274414
8,"[0.015993595123291016, 0.02553081512451172, 0.02768111228942871, 0.025162696838378906, 0.04668283462524414]","[0.002006053924560547, 0.005998849868774414, 0.0172421932220459, 0.010010242462158203]",0.0010004043579101562,0.04580187797546387
9,"[0.02739882469177246, 0.02963423728942871, 0.034677982330322266, 0.03983116149902344, 0.04521965980529785]","[0.16966915130615234, 0.008090496063232422, 0.10804390907287598, 0.0228579044342041]",0.0031027793884277344,0.04142141342163086
10,"[0.015019416809082031, 0.03346657752990723, 0.021419525146484375, 0.026225566864013672, 0.043804168701171875]","[0.03248262405395508, 0.7184097766876221, 0.13989734649658203, 1.5226523876190186]",0.0019996166229248047,0.04351234436035156
11,"[0.012089729309082031, 0.024649858474731445, 0.030537843704223633, 0.026038169860839844, 0.026505231857299805]","[0.0010073184967041016, 0.0020046234130859375, 0.0010182857513427734, 0.001478433609008789]",0.0009999275207519531,0.0410001277923584
