,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.07296037673950195, 0.03304004669189453, 0.04398822784423828, 0.02539348602294922, 0.030393123626708984, 0.031061410903930664, 0.03635430335998535, 0.03034663200378418, 0.03818941116333008, 0.03096175193786621]","[0.07063841819763184, 0.2594153881072998, 0.31383275985717773, 0.707958459854126, 0.1760702133178711, 0.2567024230957031, 0.06253886222839355, 0.13270163536071777, 0.9805741310119629]",0.002002716064453125,0.06852245330810547
1,"[0.04291534423828125, 0.02299809455871582, 0.027001380920410156, 0.02227473258972168, 0.023998498916625977, 0.023372650146484375, 0.019971370697021484, 0.0240020751953125, 0.019522428512573242, 0.028249263763427734]","[0.0020003318786621094, 0.0019996166229248047, 0.006076335906982422, 0.003000020980834961, 0.00299835205078125, 0.002534151077270508, 0.002015829086303711, 0.007004976272583008, 0.0019974708557128906]",0.0009999275207519531,0.05834341049194336
2,"[0.04458928108215332, 0.04368305206298828, 0.034361839294433594, 0.04187202453613281, 0.031238079071044922, 0.03427886962890625, 0.036269187927246094, 0.03552436828613281, 0.0355527400970459, 0.03169369697570801]","[0.09090948104858398, 1.012321949005127, 0.04292917251586914, 0.25604820251464844, 0.34990739822387695, 0.4677424430847168, 3.3408820629119873, 0.011048316955566406, 0.7060754299163818]",0.003998279571533203,0.07896041870117188
3,"[0.04868650436401367, 0.040549278259277344, 0.03903841972351074, 0.04124927520751953, 0.03739213943481445, 0.043685197830200195, 0.0371856689453125, 0.04070925712585449, 0.07787728309631348, 0.04179048538208008]","[0.020999908447265625, 0.29149341583251953, 5.004333019256592, 0.3385307788848877, 0.07785534858703613, 5.0037314891815186, 5.004119873046875, 1.3663372993469238, 5.00397515296936]",0.0030074119567871094,0.05929303169250488
4,"[0.039977073669433594, 0.03086066246032715, 0.04566001892089844, 0.04099273681640625, 0.03733253479003906, 0.04114675521850586, 0.036644697189331055, 0.03339958190917969, 0.03228640556335449, 0.033209800720214844]","[0.0030469894409179688, 0.007005929946899414, 0.01700592041015625, 0.0040056705474853516, 0.6636264324188232, 0.020007610321044922, 0.030363082885742188, 0.07118654251098633, 5.002810001373291]",0.0029993057250976562,0.05305075645446777
5,"[0.034317731857299805, 0.025021791458129883, 0.02817678451538086, 0.028957605361938477, 0.04404640197753906, 0.03716111183166504, 0.034956932067871094, 0.027280092239379883, 0.02323436737060547, 0.03204011917114258]","[0.0040051937103271484, 0.0019998550415039062, 0.0025055408477783203, 0.006013154983520508, 0.002006053924560547, 0.001985311508178711, 0.003008127212524414, 0.0020046234130859375, 0.009005546569824219]",0.001001596450805664,0.047000885009765625
6,"[0.023233890533447266, 0.018298625946044922, 0.018703937530517578, 0.01891040802001953, 0.019006967544555664, 0.020446062088012695, 0.020318984985351562, 0.01784801483154297, 0.01750922203063965, 0.017010927200317383]","[0.0020067691802978516, 0.003000974655151367, 0.0020020008087158203, 0.001999378204345703, 0.001996755599975586, 0.00200653076171875, 0.002008676528930664, 0.0010063648223876953, 0.0020008087158203125]",0.001010894775390625,0.05051732063293457
7,"[0.02969217300415039, 0.02320408821105957, 0.04293346405029297, 0.038007497787475586, 0.04822683334350586, 0.0312657356262207, 0.040485382080078125, 0.04042315483093262, 0.031687021255493164, 0.03587651252746582]","[0.015130043029785156, 0.22407150268554688, 0.21413922309875488, 0.7295849323272705, 0.5701456069946289, 0.36254429817199707, 0.00400543212890625, 0.01900625228881836, 0.190690279006958]",0.0019941329956054688,0.05159711837768555
8,"[0.0329282283782959, 0.025688648223876953, 0.03664994239807129, 0.030895709991455078, 0.03187417984008789, 0.028952360153198242, 0.028069019317626953, 0.027797222137451172, 0.029668807983398438, 0.02462005615234375]","[0.002008199691772461, 0.009006261825561523, 0.02010631561279297, 0.04950547218322754, 0.06494951248168945, 0.06500697135925293, 0.003998994827270508, 0.003004789352416992, 0.052927494049072266]",0.0019409656524658203,0.04360532760620117
9,"[0.037657976150512695, 0.02876734733581543, 0.0314183235168457, 0.03223061561584473, 0.03592634201049805, 0.033090829849243164, 0.03132343292236328, 0.02985382080078125, 0.03463292121887207, 0.02577662467956543]","[0.003006458282470703, 0.004006385803222656, 0.03612565994262695, 0.004518985748291016, 0.004006385803222656, 0.004004955291748047, 0.0040056705474853516, 0.004005908966064453, 0.0035181045532226562]",0.0009996891021728516,0.03707575798034668
10,"[0.026111364364624023, 0.023993968963623047, 0.020772218704223633, 0.036635398864746094, 0.026096820831298828, 0.02326178550720215, 0.025085926055908203, 0.024662494659423828, 0.02509760856628418, 0.03459358215332031]","[0.005719661712646484, 0.01668691635131836, 0.0020139217376708984, 0.01912093162536621, 0.01410984992980957, 0.01010274887084961, 0.008005380630493164, 0.01908588409423828, 0.0070056915283203125]",0.001026153564453125,0.045801401138305664
11,"[0.02093338966369629, 0.012421369552612305, 0.012675285339355469, 0.015955209732055664, 0.02021002769470215, 0.018695354461669922, 0.012707948684692383, 0.011998414993286133, 0.011569738388061523, 0.013103008270263672]","[0.001010894775390625, 0.0010094642639160156, 0.0009968280792236328, 0.0010077953338623047, 0.0010099411010742188, 0.0010089874267578125, 0.0010058879852294922, 0.0010097026824951172, 0.0010068416595458984]",0.0009753704071044922,0.039402008056640625
12,"[0.02413034439086914, 0.022669553756713867, 0.02887582778930664, 0.04036116600036621, 0.025217056274414062, 0.03184056282043457, 0.032581329345703125, 0.03609943389892578, 0.0359649658203125, 0.0421142578125]","[0.0060045719146728516, 0.025599002838134766, 0.002968311309814453, 0.016005754470825195, 0.022295475006103516, 0.10495281219482422, 0.017323017120361328, 0.004008054733276367, 0.024225234985351562]",0.001081228256225586,0.05940699577331543
13,"[0.026836395263671875, 0.01897120475769043, 0.021994352340698242, 0.02473902702331543, 0.01899242401123047, 0.020984888076782227, 0.018286705017089844, 0.021505355834960938, 0.016039371490478516, 0.017524003982543945]","[0.0010075569152832031, 0.0020067691802978516, 0.0020079612731933594, 0.0020246505737304688, 0.0020084381103515625, 0.002007007598876953, 0.002005338668823242, 0.0020127296447753906, 0.00200653076171875]",0.0009987354278564453,0.04514360427856445
14,"[0.026346206665039062, 0.020125389099121094, 0.02224564552307129, 0.027953147888183594, 0.031089305877685547, 0.02801060676574707, 0.02490854263305664, 0.02661299705505371, 0.03217816352844238, 0.034889936447143555]","[0.002680540084838867, 0.005533456802368164, 0.005071401596069336, 0.03142499923706055, 0.002011537551879883, 0.012648344039916992, 0.015010595321655273, 0.01354527473449707, 0.013144731521606445]",0.0007748603820800781,0.06042838096618652
15,"[0.03706169128417969, 0.02899456024169922, 0.0349423885345459, 0.05493927001953125, 0.03555583953857422, 0.03891110420227051, 0.038042306900024414, 0.036002397537231445, 0.0381622314453125, 0.044904232025146484]","[0.016009092330932617, 0.15598392486572266, 0.020998477935791016, 0.014528274536132812, 0.0035271644592285156, 0.018008708953857422, 0.010019302368164062, 0.15302491188049316, 0.34868550300598145]",0.0023636817932128906,0.06607389450073242
16,"[0.0334315299987793, 0.019565820693969727, 0.023105144500732422, 0.025185823440551758, 0.03143811225891113, 0.020609378814697266, 0.024230003356933594, 0.02299332618713379, 0.018006324768066406, 0.021061182022094727]","[0.004999399185180664, 0.0029990673065185547, 0.0025146007537841797, 0.0009927749633789062, 0.0020411014556884766, 0.007005453109741211, 0.0020072460174560547, 0.0010111331939697266, 0.0027205944061279297]",0.0010149478912353516,0.048406124114990234
17,"[0.028237104415893555, 0.022871017456054688, 0.02199530601501465, 0.024521589279174805, 0.024524211883544922, 0.02699422836303711, 0.03310847282409668, 0.028443336486816406, 0.028265714645385742, 0.02243804931640625]","[0.005006074905395508, 0.0020058155059814453, 0.002008676528930664, 0.002000093460083008, 0.0020012855529785156, 0.002269268035888672, 0.00847482681274414, 0.002225160598754883, 0.003007173538208008]",0.001003265380859375,0.05080842971801758
18,"[0.049735069274902344, 0.03397417068481445, 0.03342556953430176, 0.026005029678344727, 0.024502038955688477, 0.02099895477294922, 0.02552628517150879, 0.021511316299438477, 0.014996051788330078, 0.014809608459472656]","[0.0009984970092773438, 0.004307270050048828, 0.0010061264038085938, 0.0010013580322265625, 0.0010123252868652344, 0.0020008087158203125, 0.0019991397857666016, 0.00099945068359375, 0.0010008811950683594]",0.0,0.04022359848022461
19,"[0.03031015396118164, 0.033698081970214844, 0.03455543518066406, 0.05195736885070801, 0.03419208526611328, 0.04791831970214844, 0.03149914741516113, 0.031687021255493164, 0.03133082389831543, 0.04116559028625488]","[0.0060045719146728516, 0.03728127479553223, 0.01100611686706543, 0.002008199691772461, 0.059905052185058594, 0.0030531883239746094, 0.003999233245849609, 0.033178091049194336, 0.7800278663635254]",0.002370119094848633,0.05569601058959961
20,"[0.028119564056396484, 0.022399425506591797, 0.02730703353881836, 0.020688295364379883, 0.021507978439331055, 0.028857707977294922, 0.02989816665649414, 0.03304791450500488, 0.021239519119262695, 0.020635128021240234]","[0.0019986629486083984, 0.00099945068359375, 0.002006053924560547, 0.0019989013671875, 0.0020105838775634766, 0.00200653076171875, 0.0020024776458740234, 0.0010113716125488281, 0.0019943714141845703]",0.0,0.24386072158813477
21,"[0.05228853225708008, 0.04528522491455078, 0.03793215751647949, 0.0367732048034668, 0.03079843521118164, 0.06481099128723145, 0.0462336540222168, 0.0382227897644043, 0.04101967811584473, 0.033766984939575195]","[0.07787847518920898, 0.0029985904693603516, 0.0030145645141601562, 0.20164251327514648, 0.00500798225402832, 0.0029397010803222656, 0.008242607116699219, 0.0050089359283447266, 0.02096843719482422]",0.002000093460083008,0.052101850509643555
22,"[0.027066469192504883, 0.03988003730773926, 0.029809236526489258, 0.030790090560913086, 0.021447420120239258, 0.02579188346862793, 0.021729707717895508, 0.026657581329345703, 0.02458977699279785, 0.03087782859802246]","[0.001010894775390625, 0.003985404968261719, 0.002010345458984375, 0.0020012855529785156, 0.002999544143676758, 0.0030002593994140625, 0.002982616424560547, 0.0030035972595214844, 0.003014087677001953]",0.0010137557983398438,0.06282830238342285
23,"[0.023358583450317383, 0.040284156799316406, 0.046103477478027344, 0.02772974967956543, 0.02395939826965332, 0.0253448486328125, 0.025792598724365234, 0.03080582618713379, 0.036934852600097656, 0.035553932189941406]","[0.11953949928283691, 5.00199556350708, 0.003759622573852539, 0.005582332611083984, 0.051943302154541016, 0.21500635147094727, 0.006005287170410156, 0.40601634979248047, 0.09350848197937012]",0.0020003318786621094,0.05771303176879883
24,"[0.027942419052124023, 0.016577482223510742, 0.015038013458251953, 0.01946544647216797, 0.025818824768066406, 0.024051427841186523, 0.01875758171081543, 0.016765832901000977, 0.01621723175048828, 0.018065929412841797]","[0.0020074844360351562, 0.0010018348693847656, 0.009998083114624023, 0.0020051002502441406, 0.002005338668823242, 0.001527547836303711, 0.0020055770874023438, 0.0020062923431396484, 0.0020215511322021484]",0.0,0.056641340255737305
