,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.05245780944824219, 0.02612590789794922, 0.02947092056274414, 0.026932477951049805, 0.026510238647460938, 0.02702808380126953, 0.027864456176757812, 0.03160905838012695, 0.025940418243408203, 0.02568650245666504]","[0.011094331741333008, 0.013005495071411133, 0.003008604049682617, 0.03355145454406738, 0.002012968063354492, 0.004004955291748047, 0.004018068313598633, 0.00900578498840332, 0.019687414169311523]",0.0019979476928710938,0.21651530265808105
1,"[0.027868986129760742, 0.019722700119018555, 0.02852916717529297, 0.02370762825012207, 0.019927024841308594, 0.025118589401245117, 0.029489517211914062, 0.03379321098327637, 0.024894237518310547, 0.02285909652709961]","[0.004000186920166016, 0.0020058155059814453, 0.0020101070404052734, 0.002005338668823242, 0.011005163192749023, 0.0025129318237304688, 0.0029909610748291016, 0.002012491226196289, 0.0019991397857666016]",0.000926971435546875,0.05323529243469238
2,"[0.030116796493530273, 0.02721118927001953, 0.039923906326293945, 0.03775286674499512, 0.04035782814025879, 0.03093409538269043, 0.0379793643951416, 0.03110361099243164, 0.030774831771850586, 0.031223535537719727]","[0.6498427391052246, 0.26603198051452637, 1.4414467811584473, 0.10154557228088379, 1.079411506652832, 0.6105239391326904, 0.26425933837890625, 0.020020723342895508, 0.028035879135131836]",0.001997709274291992,0.08221268653869629
3,"[0.028299331665039062, 0.02361583709716797, 0.029816865921020508, 0.034552812576293945, 0.03426623344421387, 0.03453826904296875, 0.0320277214050293, 0.040434837341308594, 0.03264570236206055, 0.03645944595336914]","[0.006005048751831055, 0.12006878852844238, 0.04500555992126465, 0.004999876022338867, 0.004987001419067383, 0.04110598564147949, 0.11020565032958984, 0.01801753044128418, 0.003998994827270508]",0.002081632614135742,0.06744170188903809
4,"[0.030504226684570312, 0.03098773956298828, 0.036719560623168945, 0.03540539741516113, 0.039687156677246094, 0.038786888122558594, 0.040897369384765625, 0.029988765716552734, 0.026665925979614258, 0.029131412506103516]","[0.0020058155059814453, 0.019107580184936523, 0.049564361572265625, 0.005137205123901367, 0.004520893096923828, 0.004006385803222656, 0.0040056705474853516, 0.004006385803222656, 0.005008697509765625]",0.0009987354278564453,0.04502582550048828
5,"[0.02991008758544922, 0.024999141693115234, 0.022614479064941406, 0.02795577049255371, 0.019806861877441406, 0.027164936065673828, 0.01879715919494629, 0.021415233612060547, 0.022141456604003906, 0.024205684661865234]","[0.003004789352416992, 0.008005857467651367, 0.002004861831665039, 0.002004861831665039, 0.002005338668823242, 0.0020046234130859375, 0.002005338668823242, 0.0009982585906982422, 0.005011081695556641]",0.0010004043579101562,0.04684138298034668
6,"[0.02948451042175293, 0.02571725845336914, 0.024945974349975586, 0.028780698776245117, 0.02061915397644043, 0.0239255428314209, 0.0244293212890625, 0.022199392318725586, 0.01527857780456543, 0.015059947967529297]","[0.0030057430267333984, 0.007005214691162109, 0.0010056495666503906, 0.007004976272583008, 0.009009361267089844, 0.006006002426147461, 0.003007173538208008, 0.004017353057861328, 0.009011507034301758]",0.0012013912200927734,0.046074867248535156
7,"[0.031219005584716797, 0.02388477325439453, 0.028936386108398438, 0.03371930122375488, 0.05948996543884277, 0.05962800979614258, 0.03386211395263672, 0.05134224891662598, 0.05165219306945801, 0.03830385208129883]","[0.002004384994506836, 0.006104230880737305, 0.015101194381713867, 0.014899253845214844, 0.0019986629486083984, 0.004170417785644531, 0.005333662033081055, 0.02055215835571289, 0.05898904800415039]",0.0011630058288574219,0.0413055419921875
8,"[0.030858278274536133, 0.01599597930908203, 0.01960134506225586, 0.02100086212158203, 0.03458571434020996, 0.02950119972229004, 0.024912118911743164, 0.031192302703857422, 0.030985593795776367, 0.031409502029418945]","[0.0029997825622558594, 0.0019941329956054688, 0.0020055770874023438, 0.002008676528930664, 0.003017425537109375, 0.0019979476928710938, 0.0020003318786621094, 0.0031015872955322266, 0.0020089149475097656]",0.0010042190551757812,0.06426668167114258
9,"[0.04528331756591797, 0.04778909683227539, 0.04189586639404297, 0.03993654251098633, 0.03933548927307129, 0.04548287391662598, 0.04676055908203125, 0.05657243728637695, 0.03978443145751953, 0.03780221939086914]","[0.004000663757324219, 0.003998756408691406, 0.0036454200744628906, 0.003002166748046875, 0.004006385803222656, 0.010885477066040039, 0.0067310333251953125, 0.003996133804321289, 0.011135101318359375]",0.0019974708557128906,0.04100465774536133
10,"[0.027425765991210938, 0.029019594192504883, 0.028223752975463867, 0.03534054756164551, 0.028056621551513672, 0.03324580192565918, 0.02716064453125, 0.03134489059448242, 0.03351163864135742, 0.0328676700592041]","[0.006995201110839844, 0.018229007720947266, 0.014707088470458984, 0.004996061325073242, 0.017656326293945312, 0.012015581130981445, 0.030582904815673828, 0.010006189346313477, 0.008375883102416992]",0.002045869827270508,0.05632638931274414
11,"[0.02634882926940918, 0.019968271255493164, 0.015799283981323242, 0.018016576766967773, 0.01482081413269043, 0.015502691268920898, 0.014396905899047852, 0.01407480239868164, 0.014466047286987305, 0.015273571014404297]","[0.0020074844360351562, 0.0010178089141845703, 0.001009225845336914, 0.0010106563568115234, 0.0010097026824951172, 0.0010094642639160156, 0.002007007598876953, 0.0010094642639160156, 0.0010104179382324219]",0.0009999275207519531,0.04057645797729492
12,"[0.030667543411254883, 0.024228811264038086, 0.037964582443237305, 0.04247283935546875, 0.030192136764526367, 0.02827763557434082, 0.03151369094848633, 0.04609537124633789, 0.02533435821533203, 0.03584551811218262]","[0.0851280689239502, 0.49977636337280273, 0.005007028579711914, 0.03800463676452637, 0.004004478454589844, 0.02919483184814453, 0.009014606475830078, 0.0040051937103271484, 0.051087379455566406]",0.001981973648071289,0.07605910301208496
13,"[0.02603912353515625, 0.016982316970825195, 0.021864652633666992, 0.02390313148498535, 0.02529168128967285, 0.024176359176635742, 0.02451777458190918, 0.026326656341552734, 0.02036285400390625, 0.021982669830322266]","[0.0020067691802978516, 0.00400543212890625, 0.0016858577728271484, 0.0022432804107666016, 0.002243518829345703, 0.002007722854614258, 0.0010094642639160156, 0.001462697982788086, 0.002009153366088867]",0.00109100341796875,0.04819369316101074
14,"[0.02252197265625, 0.022035837173461914, 0.022652864456176758, 0.02750420570373535, 0.01844167709350586, 0.01820516586303711, 0.01894688606262207, 0.019133329391479492, 0.018551111221313477, 0.019109487533569336]","[0.0019571781158447266, 0.0020074844360351562, 0.001995086669921875, 0.0020093917846679688, 0.0030088424682617188, 0.00200653076171875, 0.002007007598876953, 0.002006053924560547, 0.002006053924560547]",0.0009989738464355469,0.06258273124694824
15,"[0.023379087448120117, 0.025939226150512695, 0.0350346565246582, 0.0326993465423584, 0.0345461368560791, 0.026882171630859375, 0.025045156478881836, 0.03152012825012207, 0.028403043746948242, 0.02900075912475586]","[0.00217437744140625, 0.0019989013671875, 0.004003286361694336, 0.006005764007568359, 0.0020055770874023438, 0.0030052661895751953, 0.2041923999786377, 0.09502983093261719, 0.09102392196655273]",0.001997232437133789,0.06977629661560059
16,"[0.028995037078857422, 0.022228479385375977, 0.018839120864868164, 0.022263526916503906, 0.022562503814697266, 0.020490169525146484, 0.021915674209594727, 0.018082857131958008, 0.020397424697875977, 0.018955230712890625]","[0.0015294551849365234, 0.003999948501586914, 0.005007266998291016, 0.0019960403442382812, 0.0020058155059814453, 0.002005338668823242, 0.00200653076171875, 0.0010061264038085938, 0.00200653076171875]",0.0,0.06244397163391113
17,"[0.028004169464111328, 0.018453121185302734, 0.026193618774414062, 0.02682781219482422, 0.03822827339172363, 0.03460383415222168, 0.03460574150085449, 0.02214789390563965, 0.01635909080505371, 0.03207969665527344]","[0.0070002079010009766, 0.008006095886230469, 0.006018400192260742, 0.023020505905151367, 0.011021137237548828, 0.002004861831665039, 0.00200653076171875, 0.020009517669677734, 0.012082338333129883]",0.0020809173583984375,0.04050397872924805
18,"[0.024680376052856445, 0.01847982406616211, 0.015366077423095703, 0.016034603118896484, 0.013942241668701172, 0.013886213302612305, 0.013172388076782227, 0.01766490936279297, 0.019934654235839844, 0.026487350463867188]","[0.0010094642639160156, 0.0015354156494140625, 0.0010004043579101562, 0.001008749008178711, 0.0010106563568115234, 0.0010063648223876953, 0.0010080337524414062, 0.0010061264038085938, 0.001667022705078125]",0.0,0.03937125205993652
19,"[0.03167295455932617, 0.025722503662109375, 0.03197288513183594, 0.033673763275146484, 0.0353391170501709, 0.03654885292053223, 0.045212745666503906, 0.029737472534179688, 0.030246496200561523, 0.03750967979431152]","[0.017333984375, 0.028238534927368164, 0.17975902557373047, 0.027345895767211914, 0.08566522598266602, 0.005008697509765625, 0.004006624221801758, 0.0040056705474853516, 0.003999233245849609]",0.0020017623901367188,0.06258797645568848
20,"[0.028398513793945312, 0.017002344131469727, 0.02104783058166504, 0.020982980728149414, 0.02076244354248047, 0.03156328201293945, 0.02108478546142578, 0.020410537719726562, 0.01944422721862793, 0.015062332153320312]","[0.0020012855529785156, 0.0010068416595458984, 0.0010058879852294922, 0.0020918846130371094, 0.0010061264038085938, 0.0010073184967041016, 0.00200653076171875, 0.0010099411010742188, 0.002369403839111328]",0.0009992122650146484,0.04009747505187988
21,"[0.02772831916809082, 0.020421981811523438, 0.022799253463745117, 0.02456951141357422, 0.031952619552612305, 0.028012990951538086, 0.02435302734375, 0.025894880294799805, 0.03201794624328613, 0.04576849937438965]","[0.005023002624511719, 0.0030155181884765625, 0.005982398986816406, 0.008017539978027344, 0.0030035972595214844, 0.002005338668823242, 0.003134012222290039, 0.00400996208190918, 0.004006147384643555]",0.001085519790649414,0.04751849174499512
