,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
1 --> 2[""File results and expertise""]
2 --> 3[""Create report""]
3 --> 9[""Check if expert responds in time?""]
4[""Check expert response?""] --> |""Yes""|5[""Forward to referee""]
4 --> |""No""|6[""Ask for external expertise""]
5 --> 7[""Fill out check to pay""]
5 --> 10[""Fill out check for expenses""]
6 --> 4
6 --> 10
7 --> 8[""EndNode""]
9 --> |""Yes""|5
9 --> |""No""|6
10 --> 8"
1,"flowchart LR
0[""StartNode""] --> 1[""Register Participation""]
1 --> 2[""Fees Required?""]
2 --> |""Yes""|3[""Create Purchase Request""]
2 --> |""No""|4[""Register Post-Seminar Results""]
3 --> 5[""Purchase Approved?""]
4 --> 9[""EndNode""]
5 --> |""Approved""|6[""Send Approval Notification""]
5 --> |""Denied""|7[""Notify Rejection""]
6 --> 8[""Register Post-Seminar Results""]
7 --> 9
8 --> 9"
2,"flowchart LR
0[""StartNode""] --> 1[""Accept item""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
3 --> 6[""Fruits""]
4 --> 6
6 --> 7[""Fruit Categorization""]
7 --> 8[""Vegetable""]
8 --> 9[""Vegetable Categorization""]
9 --> 11[""Cheese""]
11 --> 12[""Join2""]
11 --> 34[""50""]
12 --> 14[""Perishable""]
13[""Non-perishable""] --> 15[""Join3""]
14 --> 15
14 --> 33[""22""]
15 --> 17[""Fruit Cat (Temp)""]
17 --> 23[""Join4""]
23 --> 24[""Store items based on policy""]
24 --> 25[""EndNode""]
26[""Fruits and Temperature Weight and Date Center""] --> 24
33 --> 26
34 --> 13"
3,"flowchart LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 2[""Check financial impact""]
2 --> |""Yes""|3[""Open EMS""]
2 --> |""No""|4[""End process""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open conference line""]
5 --> 9[""ForkNode""]
6 --> 9
7 --> 9
8 --> 9
9 --> 11[""Check resolution known?""]
11 --> |""NO""|14[""Vendor has fix?""]
11 --> |""YES""|15[""Fix issue""]
14 --> |""Yes""|15
14 --> |""No""|16[""Failover to COB""]
15 --> 17[""Resolve and close EMS""]
16 --> 17
17 --> 18[""EndNode""]
17 --> 19[""End Process""]"
4,"flowchart LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form (requires Name information)""]
2 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms (requires Location information)""]
4 --> 5[""Populate additional information (requires Event information)""]
5 --> 6[""Configure privacy settings (requires Privacy information)""]
6 --> 7[""Confirm event creation""]
7 --> 8[""Check name form populated?""]
8 --> |""No""|2
8 --> |""Yes""|9[""Check end time after start?""]
9 --> |""No""|10[""Display incorrect time notification""]
9 --> |""Yes""|11[""Save event information""]
10 --> 3
11 --> 12[""Save to Facebook""]
12 --> 13[""EndNode""]"
5,"flowchart LR
0[""StartNode""] --> 1[""Start Weekly Process (Discounts)""]
0 --> 10[""Weekly Process Initiation""]
1 --> 2[""Pay Invoices (Automated)""]
2 --> 3[""Generate Payment Report""]
3 --> 4[""Send to Accounts Receivable""]
3 --> 5[""Send to Registry""]
4 --> 7[""7""]
5 --> 6[""Generate Monthly Invoices (Charge $35)""]
6 --> 8[""Send Out Monthly Invoices""]
7 --> 8
8 --> 9[""EndNode""]
10 --> 2"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 3[""Select warehouse and reserve inventory""]
3 --> 4[""Process ends""]"
7,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 4[""Check RFQ verified again?""]
2[""Ask for more information""] --> 1
3[""Analyze RFQ and provide L&M cost estimates""] --> 4
3 --> 7[""Verify RFQ again?""]
4 --> |""No""|2
4 --> |""Yes""|3
7 --> |""No""|2
7 --> |""Yes""|8[""Add overhead costs and generate pricing options""]
8 --> 9[""Generate sales quote""]
9 --> 10[""EndNode""]"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> |""No""|3[""Send failure notice""]
2 --> |""Yes""|5[""Perform risk assessment""]
3 --> 4[""EndNode""]
5 --> 6[""Check completeness again""]
6 --> |""No""|3
6 --> |""Yes""|7[""Check reinsurance option""]
7 --> 8[""Finish contract and end""]
8 --> 4
8 --> 10[""EndNode""]"
9,"flowchart LR
0[""StartNode""] --> 1[""Hungry feeling""]
1 --> 2[""Decide to cook""]
2 --> 3[""Choose recipes""]
3 --> 4[""Prepare ingredients""]
4 --> 5[""Prepare water for pasta""]
4 --> 6[""Prepare salad for washing""]
5 --> 7[""Put pasta into water""]
6 --> 10[""Wash salad""]
7 --> 8[""Prepare ingredients to make sauce""]
8 --> 9[""Make sauce""]
9 --> 14[""Bring dishes to table""]
10 --> 11[""Prepare ingredients to make dressing""]
11 --> 12[""Make dressing""]
12 --> 14
14 --> 15[""Prepare dishes""]
15 --> 16[""Bring meal to table""]
16 --> 17[""Finish lunch""]"
10,"flowchart LR
0[""StartNode""] --> 1[""Obtain problem description""]
1 --> 2[""Can handle problem?""]
2 --> |""Yes""|3[""Explain solution""]
2 --> |""No""|5[""Send email to support system""]
3 --> 4[""EndNode""]
5 --> 6[""Wait for answer""]
6 --> 9[""Can handle problem myself now?""]
9 --> |""Yes""|3
9 --> |""No""|5"
11,"flowchart LR
0[""StartNode""] --> 1[""Complete purchase order""]
1 --> 2[""Send invoice""]
1 --> 3[""Send goods""]
2 --> 4[""EndNode""]
3 --> 4"
12,"flowchart LR
0[""StartNode""] --> 1[""Prepare Shipment Order""]
1 --> 2[""Send Shipment Order""]
2 --> 3[""Carrier's response""]
3 --> |""yes""|5[""Accept Shipment Order""]
3 --> |""No""|9[""Link A (End)""]
5 --> 6[""Realize Shipment""]
6 --> 8[""EndNode""]"
13,"flowchart LR
0[""StartNode""] --> 1[""Order received""]
1 --> 2[""Create invoice""]
1 --> 3[""Prepare shipping""]
2 --> 4[""Send invoice""]
3 --> 7[""Ship item""]
4 --> 5[""Confirm payment""]
5 --> 6[""EndNode""]
7 --> 6"
14,"flowchart LR
0[""StartNode""] --> 1[""Check if can fulfill""]
1 --> |""Yes""|2[""Confirm order""]
1 --> |""No""|3[""Reject order""]
2 --> 6[""Deliver order""]
3 --> 4[""Notify rejection and end""]
6 --> 8[""Notify successful delivery and end""]"
15,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ?""]
1 --> |""No""|2[""Ask for more information""]
1 --> |""Yes""|3[""Analyze RFQ and provide L&M cost estimates""]
2 --> 1
3 --> 6[""Verify RFQ Again?""]
6 --> |""No""|2
6 --> |""Yes""|7[""Add overhead cost again""]
7 --> 8[""Generate pricing options again""]
8 --> 9[""Generate sales quote""]
9 --> 10[""EndNode""]
9 --> 12[""End""]"
16,"flowchart LR
0[""StartNode""] --> 1[""CheckCreditHistory""]
0 --> 2[""PropertySurvey""]
0 --> 3[""SearchTitle""]
1 --> 4[""JoinNode""]
2 --> 4
3 --> 4"
17,"flowchart LR
0[""StartNode""] --> 1[""Change status""]
1 --> 2[""Check if on sale?""]
2 --> |""Yes""|3[""Mark as on sale""]
2 --> |""No""|4[""Mark as not on sale""]
3 --> 8[""Check again?""]
4 --> 8
8 --> 6[""EndNode (On Sale)""]"
18,"flowchart LR
0[""StartNode""] --> 1[""Identify invoice errors""]
1 --> 2[""Highlight errors on entry form""]
1 --> 3[""Update record of mistakes""]
2 --> 4[""Send invoice back""]
3 --> 4
4 --> 5[""EndNode""]"
19,"flowchart LR
0[""StartNode""] --> 1[""Run invoice payment process for SSP using SAP""]
1 --> 3[""Send payment report to Accounts Receivable""]
1 --> 5[""Generate invoice payment report""]
3 --> 6[""Generate monthly invoices for clients""]
6 --> 7[""Charge the clients""]
6 --> 10[""Send payment report to Client""]
6 --> 12[""Send payment report to Registry""]
7 --> 14[""End process""]
10 --> 14
12 --> 14"
20,"flowchart LR
0[""StartNode""] --> 1[""Check Completeness""]
1 --> 2[""Verify Credit History""]
2 --> 3[""Examine Loan Request""]
3 --> 4[""Check Result?""]
4 --> |""Rejected""|5[""Reject Request""]
4 --> |""Accepted""|6[""Approve Request""]
5 --> 7[""EndNode""]
6 --> 9[""EndNode (Approval)""]"
