,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.5206160545349121, 0.03692817687988281, 0.026901960372924805, 0.029017210006713867, 0.028882980346679688, 0.07323002815246582, 0.028287887573242188, 0.0307009220123291, 0.02792191505432129, 0.03412294387817383, 0.02803802490234375, 0.030605077743530273, 0.03432822227478027, 0.030238866806030273, 0.036839962005615234, 0.04477286338806152, 0.03043508529663086, 0.03927111625671387]","[0.014380931854248047, 0.004667043685913086, 0.004691123962402344, 0.003743886947631836, 0.02051687240600586, 0.02384805679321289, 0.004496097564697266, 0.03250384330749512, 0.007266044616699219, 0.006081819534301758, 0.004927158355712891, 0.014735698699951172, 0.1809089183807373, 0.006569862365722656, 0.24923205375671387, 0.0031249523162841797, 0.003023862838745117]",0.0012238025665283203,0.21364498138427734
1,"[0.03235292434692383, 0.009478092193603516, 0.0070400238037109375, 0.008708953857421875, 0.007946014404296875, 0.00675201416015625, 0.009676933288574219, 0.008193016052246094, 0.01024007797241211, 0.00892186164855957, 0.00960683822631836, 0.007357358932495117, 0.007666110992431641, 0.008402109146118164, 0.0071718692779541016, 0.011247873306274414, 0.008477210998535156, 0.0076029300689697266]","[0.0010790824890136719, 0.004810333251953125, 0.001207113265991211, 0.007112026214599609, 0.0025360584259033203, 0.0019311904907226562, 0.007840156555175781, 0.001645803451538086, 0.0018270015716552734, 0.0015430450439453125, 0.0016758441925048828, 0.0015239715576171875, 0.003885984420776367, 0.002089262008666992, 0.0024662017822265625, 0.0017518997192382812, 0.0018188953399658203]",0.0006070137023925781,0.0813140869140625
2,"[0.10109281539916992, 0.02692389488220215, 0.029427051544189453, 0.020528078079223633, 0.0298159122467041, 0.04615187644958496, 0.01578497886657715, 0.030684947967529297, 0.012938976287841797, 0.0523989200592041, 0.01608109474182129, 0.015743255615234375, 0.014473915100097656, 0.015937089920043945, 0.03248190879821777, 0.015385150909423828, 0.011922836303710938, 0.033885955810546875]","[5.002172231674194, 5.003366947174072, 5.00406813621521, 5.006056070327759, 5.010046005249023, 5.007899761199951, 5.009178876876831, 5.009387969970703, 5.015597105026245, 5.009599924087524, 5.011002063751221, 5.011981725692749, 5.014138221740723, 5.015270948410034, 5.014492750167847, 5.014415979385376, 5.023051977157593]",0.008972883224487305,0.21756410598754883
3,"[0.028632164001464844, 0.03384828567504883, 0.03013014793395996, 0.029331207275390625, 0.029814958572387695, 0.03405594825744629, 0.03879809379577637, 0.031562089920043945, 0.04587888717651367, 0.03588509559631348, 0.03103184700012207, 0.03461313247680664, 0.03046107292175293, 0.030282974243164062, 0.0345301628112793, 0.0321049690246582, 0.032036781311035156, 0.03317093849182129]","[1.3540680408477783, 1.3298449516296387, 0.32660388946533203, 5.001718997955322, 5.0023651123046875, 5.002269983291626, 5.002917766571045, 5.003075122833252, 1.7027802467346191, 5.003403186798096, 5.003654956817627, 5.003353834152222, 5.003261089324951, 5.005172967910767, 5.002145051956177, 0.35131406784057617, 0.1996009349822998]",0.0030372142791748047,0.1331632137298584
4,"[0.04228711128234863, 0.048075199127197266, 0.02604389190673828, 0.026252031326293945, 0.043694257736206055, 0.035439252853393555, 0.03055429458618164, 0.03271317481994629, 0.03355097770690918, 0.038536787033081055, 0.03343009948730469, 0.03135180473327637, 0.029042720794677734, 0.034854888916015625, 0.03544902801513672, 0.03162813186645508, 0.014079093933105469, 0.015515804290771484]","[0.001947164535522461, 0.031051158905029297, 0.005953073501586914, 0.013539791107177734, 0.011240959167480469, 0.002382040023803711, 0.002599000930786133, 0.004832029342651367, 0.0021927356719970703, 0.0021979808807373047, 0.0028731822967529297, 0.002730131149291992, 0.011194944381713867, 0.002218008041381836, 0.3047940731048584, 0.0026619434356689453, 0.002373933792114258]",0.0008671283721923828,0.08259201049804688
5,"[0.021099090576171875, 0.0103759765625, 0.02068614959716797, 0.010802030563354492, 0.022035837173461914, 0.011987924575805664, 0.012878179550170898, 0.013264894485473633, 0.01258993148803711, 0.008262872695922852, 0.00832986831665039, 0.011994123458862305, 0.011775016784667969, 0.013414859771728516, 0.012687921524047852, 0.013055086135864258, 0.011775016784667969, 0.007790803909301758]","[0.05402684211730957, 0.014539003372192383, 0.029301166534423828, 0.020853042602539062, 0.22105979919433594, 1.3128337860107422, 4.747364044189453, 0.13438916206359863, 0.006781101226806641, 0.05650520324707031, 0.019888877868652344, 0.2315518856048584, 0.008220911026000977, 0.09738373756408691, 0.014059066772460938, 0.07470583915710449, 0.002885103225708008]",0.0013210773468017578,0.09640383720397949
6,"[0.03200197219848633, 0.008160829544067383, 0.008651018142700195, 0.007904052734375, 0.011905908584594727, 0.01238393783569336, 0.02628183364868164, 0.03046107292175293, 0.021862030029296875, 0.008562803268432617, 0.008401870727539062, 0.006754159927368164, 0.009401082992553711, 0.007560014724731445, 0.009670257568359375, 0.008739233016967773, 0.009147882461547852, 0.006715297698974609]","[0.0014340877532958984, 0.007529258728027344, 0.008262157440185547, 0.0013051033020019531, 0.003883838653564453, 0.0017447471618652344, 0.00836181640625, 0.0030858516693115234, 0.0016069412231445312, 0.0028510093688964844, 0.016987085342407227, 0.006467103958129883, 0.009553909301757812, 0.0030956268310546875, 0.008685827255249023, 0.003264904022216797, 0.006193876266479492]",0.0009341239929199219,0.08260202407836914
7,"[0.02261209487915039, 0.006884098052978516, 0.01138615608215332, 0.010362863540649414, 0.010641098022460938, 0.026352882385253906, 0.012824773788452148, 0.014081954956054688, 0.012443065643310547, 0.010693073272705078, 0.008460044860839844, 0.007040977478027344, 0.011207818984985352, 0.011657953262329102, 0.00995492935180664, 0.011260271072387695, 0.01172184944152832, 0.007384061813354492]","[0.14938116073608398, 0.08608818054199219, 0.04065895080566406, 0.006185054779052734, 0.1950831413269043, 0.22564411163330078, 0.01026010513305664, 0.09099078178405762, 0.6180810928344727, 0.09288811683654785, 0.2912871837615967, 0.07589197158813477, 0.06211209297180176, 0.05114912986755371, 0.015469789505004883, 0.018093109130859375, 2.1378700733184814]",0.002180814743041992,0.08532285690307617
8,"[0.16155695915222168, 0.009921073913574219, 0.008506298065185547, 0.010386943817138672, 0.00922703742980957, 0.022858858108520508, 0.010864973068237305, 0.009141921997070312, 0.010129928588867188, 0.009774923324584961, 0.008817195892333984, 0.01012110710144043, 0.009621858596801758, 0.009959220886230469, 0.007919073104858398, 0.011600017547607422, 0.008371829986572266, 0.029322147369384766]","[0.00251007080078125, 0.0017511844635009766, 0.0020170211791992188, 0.001993894577026367, 0.007730007171630859, 0.002543926239013672, 0.0020012855529785156, 0.002068042755126953, 0.003268003463745117, 0.0022389888763427734, 0.0021588802337646484, 0.003751039505004883, 0.0025358200073242188, 0.0013620853424072266, 0.026229143142700195, 0.00174713134765625, 0.003412961959838867]",0.0006630420684814453,0.077880859375
9,"[0.011900186538696289, 0.021201133728027344, 0.019696950912475586, 0.010326862335205078, 0.010509014129638672, 0.025136947631835938, 0.012733936309814453, 0.011252880096435547, 0.010694026947021484, 0.011500120162963867, 0.010637998580932617, 0.010928869247436523, 0.011375904083251953, 0.010904073715209961, 0.010910272598266602, 0.013447046279907227, 0.010684013366699219, 0.011291265487670898]","[0.017843961715698242, 0.0026400089263916016, 0.002311229705810547, 0.0028121471405029297, 0.0029268264770507812, 0.002791881561279297, 0.003103971481323242, 0.0030219554901123047, 0.002919912338256836, 0.0028128623962402344, 0.0029931068420410156, 0.0026092529296875, 0.0031058788299560547, 0.0030469894409179688, 0.0028579235076904297, 0.05139899253845215, 0.0030689239501953125]",0.0009748935699462891,0.07668590545654297
