,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.05575084686279297, 0.0540313720703125, 0.03621840476989746, 0.04350399971008301, 0.05760931968688965]","[0.0056416988372802734, 0.02701735496520996, 0.005972623825073242, 0.0039861202239990234]",0.001003265380859375,0.06151723861694336
1,"[0.05966544151306152, 0.04710078239440918, 0.028086185455322266, 0.033236026763916016, 0.03864884376525879]","[0.003957271575927734, 0.0019965171813964844, 0.0030031204223632812, 0.006026029586791992]",0.0009360313415527344,0.048081398010253906
2,"[0.04299473762512207, 0.044744253158569336, 0.03738880157470703, 0.0364687442779541, 0.04695606231689453]","[0.3075089454650879, 0.1568138599395752, 1.2114369869232178, 0.031407833099365234]",0.0020780563354492188,0.08490538597106934
3,"[0.03696751594543457, 0.03742861747741699, 0.03873276710510254, 0.043558359146118164, 0.0647134780883789]","[0.014024019241333008, 0.035543203353881836, 0.11851811408996582, 0.054196834564208984]",0.00164031982421875,0.05106925964355469
4,"[0.0514369010925293, 0.07942652702331543, 0.03993034362792969, 0.04273390769958496, 0.10439682006835938]","[0.015088081359863281, 0.04817008972167969, 0.025003910064697266, 0.06379890441894531]",0.0015330314636230469,0.044509172439575195
5,"[0.03800153732299805, 0.049947261810302734, 0.03710532188415527, 0.04106903076171875, 0.027861595153808594]","[0.004010200500488281, 0.00400543212890625, 0.002995729446411133, 0.0020132064819335938]",0.000993967056274414,0.042784929275512695
6,"[0.027994155883789062, 0.03104686737060547, 0.020650386810302734, 0.028614521026611328, 0.031169414520263672]","[0.0030145645141601562, 0.0020058155059814453, 0.0020182132720947266, 0.002004861831665039]",0.0009989738464355469,0.04324698448181152
7,"[0.040544748306274414, 0.03351402282714844, 0.03440713882446289, 0.04350876808166504, 0.03048563003540039]","[0.009686470031738281, 0.006004810333251953, 0.006005287170410156, 0.008011102676391602]",0.001071929931640625,0.05331993103027344
8,"[0.03278160095214844, 0.024317264556884766, 0.030970096588134766, 0.030874013900756836, 0.0332942008972168]","[0.00200653076171875, 0.0070192813873291016, 0.001990079879760742, 0.0020058155059814453]",0.0019876956939697266,0.0482020378112793
9,"[0.044397592544555664, 0.03617382049560547, 0.04195284843444824, 0.04160666465759277, 0.0357823371887207]","[0.004006385803222656, 0.0050203800201416016, 0.00399327278137207, 0.003996133804321289]",0.0009984970092773438,0.027730703353881836
