use_case,run,n_responses,avg_tokens_with_think,avg_tokens_without_think,total_tokens_with_think,total_tokens_without_think,avg_time_with_think_s,avg_time_without_think_s,num_missing_think
activity,1,326,3558.552147239264,221.31288343558282,1160088,72148,88.9638036809816,5.5328220858895705,0
activity,2,326,3629.935582822086,220.09509202453987,1183359,71751,90.74838957055215,5.502377300613497,0
activity,3,326,3544.883435582822,231.30368098159508,1155632,75405,88.62208588957056,5.782592024539877,0
activity,4,326,3626.122699386503,231.07668711656441,1182116,75331,90.65306748466257,5.77691717791411,0
activity,5,326,3605.542944785276,227.6319018404908,1175407,74208,90.1385736196319,5.69079754601227,0
activity,6,326,3540.871165644172,229.46012269938652,1154324,74804,88.5217791411043,5.736503067484663,0
activity,7,326,3605.6564417177915,227.62576687116564,1175444,74206,90.14141104294478,5.690644171779141,0
activity,8,326,3769.174846625767,234.88343558282207,1228751,76572,94.22937116564417,5.872085889570552,0
activity,9,326,3616.1196319018404,229.87116564417178,1178855,74938,90.40299079754601,5.7467791411042946,0
activity,10,326,3578.9386503067485,220.88957055214723,1166734,72010,89.47346625766872,5.522239263803681,0
activity,overall,3260,3607.579754601227,227.41503067484663,11760710,741373,90.18949386503067,5.685375766871166,0
programs,1,300,1725.65,120.85333333333334,517695,36256,43.14125,3.0213333333333336,0
programs,2,300,1758.61,115.2,527583,34560,43.96525,2.88,0
programs,3,300,1741.3466666666666,117.48333333333333,522404,35245,43.53366666666666,2.9370833333333333,0
programs,4,300,1678.34,115.98666666666666,503502,34796,41.9585,2.8996666666666666,0
programs,5,300,1744.78,115.69666666666667,523434,34709,43.6195,2.8924166666666666,0
programs,6,300,1686.8633333333332,116.35333333333334,506059,34906,42.17158333333333,2.9088333333333334,0
programs,7,300,1738.48,116.09,521544,34827,43.462,2.90225,0
programs,8,300,1735.5933333333332,115.69,520678,34707,43.38983333333333,2.8922499999999998,0
programs,9,300,1721.4566666666667,119.69666666666667,516437,35909,43.03641666666667,2.9924166666666667,0
programs,10,300,1740.2566666666667,117.63666666666667,522077,35291,43.50641666666667,2.940916666666667,0
programs,overall,3000,1727.1376666666667,117.06866666666667,5181413,351206,43.17844166666667,2.9267166666666666,0
taxonomy,1,100,4889.99,362.94,488999,36294,122.24974999999999,9.0735,0
taxonomy,2,100,4897.54,383.85,489754,38385,122.4385,9.596250000000001,0
taxonomy,3,100,5062.94,352.68,506294,35268,126.5735,8.817,0
taxonomy,4,100,5120.35,356.04,512035,35604,128.00875000000002,8.901,0
taxonomy,5,100,4967.21,400.09,496721,40009,124.18025,10.00225,0
taxonomy,6,100,5004.46,363.25,500446,36325,125.1115,9.08125,0
taxonomy,7,100,4756.48,374.57,475648,37457,118.91199999999999,9.36425,0
taxonomy,8,100,4963.76,363.86,496376,36386,124.09400000000001,9.0965,0
taxonomy,9,100,4954.04,373.15,495404,37315,123.851,9.32875,0
taxonomy,10,100,4856.97,360.61,485697,36061,121.42425,9.01525,0
taxonomy,overall,1000,4947.374,369.104,4947374,369104,123.68435,9.227599999999999,0
