,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.060918331146240234, 0.019047260284423828, 0.027306318283081055, 0.054056406021118164, 0.06016802787780762, 0.03848075866699219, 0.03245186805725098, 0.03065967559814453, 0.040119171142578125, 0.04043841361999512]","[0.02750372886657715, 0.3790476322174072, 0.2199420928955078, 5.001585245132446, 5.001956939697266, 0.9133727550506592, 0.607597827911377, 3.571714401245117, 5.001384496688843]",0.004044055938720703,0.07559585571289062
1,"[0.029679059982299805, 0.024283170700073242, 0.02261662483215332, 0.029320955276489258, 0.021883010864257812, 0.026075124740600586, 0.02997732162475586, 0.023783206939697266, 0.026787996292114258, 0.020070552825927734]","[0.0032835006713867188, 0.011790037155151367, 0.04247760772705078, 0.12743234634399414, 0.035010576248168945, 0.07289624214172363, 0.0440061092376709, 0.024524688720703125, 0.022999286651611328]",0.0020024776458740234,0.04899287223815918
2,"[0.03826761245727539, 0.027004003524780273, 0.0235443115234375, 0.03152799606323242, 0.03319501876831055, 0.037859201431274414, 0.028496742248535156, 0.0286102294921875, 0.030617237091064453, 0.03599858283996582]","[0.10889005661010742, 1.8102648258209229, 1.6645045280456543, 5.004839658737183, 5.001742362976074, 5.001312017440796, 5.002274990081787, 1.4198148250579834, 4.362473726272583]",0.003997802734375,0.08250808715820312
3,"[0.03941059112548828, 0.026273727416992188, 0.03568863868713379, 0.03387713432312012, 0.029089927673339844, 0.03151082992553711, 0.03771185874938965, 0.03692030906677246, 0.03293299674987793, 0.03965258598327637]","[5.0019848346710205, 5.001932859420776, 5.001630067825317, 5.002734422683716, 5.001981973648071, 0.526179313659668, 5.003587245941162, 5.002969026565552, 5.002310037612915]",0.005003213882446289,0.1034996509552002
4,"[0.03753209114074707, 0.031563520431518555, 0.03391575813293457, 0.030347108840942383, 0.03823280334472656, 0.03588080406188965, 0.03497004508972168, 0.04221844673156738, 0.029950857162475586, 0.03316187858581543]","[5.00316309928894, 0.5760114192962646, 3.732269525527954, 0.36850976943969727, 0.5910844802856445, 0.2596099376678467, 0.05115866661071777, 0.18053507804870605, 0.31941843032836914]",0.0039920806884765625,0.07000875473022461
5,"[0.02612590789794922, 0.018875598907470703, 0.017022132873535156, 0.017993927001953125, 0.0230557918548584, 0.022994041442871094, 0.02699446678161621, 0.021588802337646484, 0.01820540428161621, 0.024125337600708008]","[0.0020024776458740234, 0.002006053924560547, 0.0020110607147216797, 0.005004405975341797, 0.001998424530029297, 0.008005380630493164, 0.002515077590942383, 0.01710343360900879, 0.00299835205078125]",0.0019998550415039062,0.029750823974609375
6,"[0.024006366729736328, 0.016502857208251953, 0.022994518280029297, 0.020994901657104492, 0.02649068832397461, 0.020373821258544922, 0.015793800354003906, 0.023822307586669922, 0.021543025970458984, 0.021543025970458984]","[0.007006168365478516, 0.0169985294342041, 0.024522781372070312, 0.03311014175415039, 0.00901484489440918, 0.003003358840942383, 0.059738874435424805, 0.019999027252197266, 0.010998010635375977]",0.0010066032409667969,0.04582691192626953
7,"[0.03352475166320801, 0.028991222381591797, 0.031983137130737305, 0.02618861198425293, 0.03712606430053711, 0.02730274200439453, 0.02287769317626953, 0.04049968719482422, 0.0317842960357666, 0.04088711738586426]","[0.047100067138671875, 0.2888915538787842, 0.1930387020111084, 0.4215433597564697, 0.039534568786621094, 1.061399221420288, 0.04603695869445801, 0.15077757835388184, 0.08698129653930664]",0.0009992122650146484,0.03892087936401367
8,"[0.03282618522644043, 0.019752025604248047, 0.017973899841308594, 0.018649816513061523, 0.022569894790649414, 0.01923346519470215, 0.018686532974243164, 0.019244670867919922, 0.02019357681274414, 0.0209200382232666]","[0.002007007598876953, 0.005997657775878906, 0.020998477935791016, 0.010995864868164062, 0.006997346878051758, 0.015108108520507812, 0.008005380630493164, 0.0030045509338378906, 0.012027263641357422]",0.0009999275207519531,0.031008005142211914
9,"[0.03181910514831543, 0.024010658264160156, 0.036760568618774414, 0.024895906448364258, 0.03683280944824219, 0.03037548065185547, 0.027483224868774414, 0.03165435791015625, 0.026920080184936523, 0.02314615249633789]","[0.23796367645263672, 0.00799560546875, 0.13070988655090332, 0.022011995315551758, 0.005292654037475586, 0.005923271179199219, 0.02133035659790039, 0.00600123405456543, 0.01823592185974121]",0.0026807785034179688,0.04867839813232422
