,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.04000449180603027, 0.020017147064208984, 0.05300140380859375, 0.035006046295166016, 0.025793075561523438, 0.030309200286865234, 0.038511037826538086, 0.026786088943481445, 0.02600884437561035, 0.024316787719726562]","[0.09804821014404297, 0.2912137508392334, 0.3340284824371338, 1.0190489292144775, 0.29158878326416016, 0.416628360748291, 0.11968874931335449, 0.20372867584228516, 1.626657247543335]",0.004266023635864258,0.04678630828857422
1,"[0.01951766014099121, 0.01700305938720703, 0.018991947174072266, 0.020000934600830078, 0.016004562377929688, 0.017057418823242188, 0.018999814987182617, 0.01799941062927246, 0.018998384475708008, 0.019176959991455078]","[0.0020046234130859375, 0.0019998550415039062, 0.004999637603759766, 0.0030059814453125, 0.002999544143676758, 0.003999471664428711, 0.0030007362365722656, 0.01200413703918457, 0.004001140594482422]",0.0021080970764160156,0.03934025764465332
2,"[0.025999069213867188, 0.025000572204589844, 0.04900074005126953, 0.05350017547607422, 0.02518439292907715, 0.11016631126403809, 0.17006731033325195, 0.06098031997680664, 0.10140347480773926, 0.14255213737487793]","[0.15062236785888672, 1.4187686443328857, 0.0540010929107666, 0.554112434387207, 1.0590565204620361, 1.2144553661346436, 5.002772569656372, 0.04314827919006348, 1.9299664497375488]",0.004384517669677734,0.07704520225524902
3,"[0.09051108360290527, 0.08400154113769531, 0.10151553153991699, 0.08852529525756836, 0.19083118438720703, 0.17288756370544434, 0.07168126106262207, 0.04944968223571777, 0.14438390731811523, 0.050794124603271484]","[0.05601620674133301, 0.8855836391448975, 5.003197908401489, 0.9323546886444092, 0.11961507797241211, 5.002197504043579, 5.003937005996704, 3.7651097774505615, 5.004627704620361]",0.004998683929443359,0.08000731468200684
4,"[0.10352754592895508, 0.07455897331237793, 0.05951714515686035, 0.06100749969482422, 0.09504985809326172, 0.11952400207519531, 0.09752988815307617, 0.07201409339904785, 0.11176180839538574, 0.13629436492919922]","[0.009995460510253906, 0.023995161056518555, 0.06151628494262695, 0.009009599685668945, 2.165576696395874, 0.07853317260742188, 0.10425686836242676, 0.23017382621765137, 5.003434419631958]",0.0029993057250976562,0.034038543701171875
5,"[0.08857369422912598, 0.17906737327575684, 0.02700066566467285, 0.020265579223632812, 0.02200031280517578, 0.02599358558654785, 0.021405696868896484, 0.023520708084106445, 0.020995616912841797, 0.02098369598388672]","[0.003999948501586914, 0.002004861831665039, 0.001999378204345703, 0.010006427764892578, 0.0019927024841308594, 0.002997875213623047, 0.003005504608154297, 0.0029976367950439453, 0.015113115310668945]",0.0019996166229248047,0.03300213813781738
6,"[0.01792740821838379, 0.014000415802001953, 0.014994144439697266, 0.012998342514038086, 0.013000249862670898, 0.015010595321655273, 0.014507770538330078, 0.014004230499267578, 0.013994693756103516, 0.013994455337524414]","[0.000997304916381836, 0.0050013065338134766, 0.001990795135498047, 0.0036890506744384766, 0.001995563507080078, 0.0020055770874023438, 0.0019965171813964844, 0.001996755599975586, 0.002005338668823242]",0.0009975433349609375,0.028002500534057617
7,"[0.021640300750732422, 0.02152228355407715, 0.048996686935424805, 0.033370256423950195, 0.0239560604095459, 0.04992556571960449, 0.024019718170166016, 0.024989604949951172, 0.0266573429107666, 0.031002283096313477]","[0.026999235153198242, 0.3164184093475342, 0.3104288578033447, 1.042050838470459, 0.8411478996276855, 0.5222442150115967, 0.005995988845825195, 0.03399348258972168, 0.26337337493896484]",0.003000974655151367,0.03851032257080078
8,"[0.029996633529663086, 0.018938541412353516, 0.02160024642944336, 0.016982316970825195, 0.04741263389587402, 0.038755178451538086, 0.027651548385620117, 0.06206059455871582, 0.0176851749420166, 0.0175936222076416]","[0.0020928382873535156, 0.01199483871459961, 0.02899956703186035, 0.06294941902160645, 0.07408547401428223, 0.0831139087677002, 0.0029888153076171875, 0.004082679748535156, 0.07128453254699707]",0.0019991397857666016,0.0440058708190918
9,"[0.028406143188476562, 0.023014545440673828, 0.0249631404876709, 0.02702641487121582, 0.025984764099121094, 0.021543264389038086, 0.02396678924560547, 0.02296757698059082, 0.021572113037109375, 0.02196788787841797]","[0.005018949508666992, 0.004024982452392578, 0.06566452980041504, 0.007066011428833008, 0.005991697311401367, 0.006005525588989258, 0.005994319915771484, 0.0060100555419921875, 0.007002830505371094]",0.0020008087158203125,0.03266191482543945
