,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.033008575439453125, 0.0159912109375, 0.016998291015625, 0.018997669219970703, 0.02299332618713379, 0.020002126693725586, 0.01899433135986328, 0.017000198364257812, 0.018036842346191406, 0.019992351531982422]","[0.014998435974121094, 0.021132946014404297, 0.004005908966064453, 0.05205798149108887, 0.0029981136322021484, 0.003999233245849609, 0.006005525588989258, 0.012007713317871094, 0.02899909019470215]",0.0029985904693603516,0.13343286514282227
1,"[0.021004438400268555, 0.01624608039855957, 0.017000436782836914, 0.016001462936401367, 0.017001628875732422, 0.01800060272216797, 0.023998498916625977, 0.016000747680664062, 0.01999354362487793, 0.016005754470825195]","[0.004999399185180664, 0.0020008087158203125, 0.003000020980834961, 0.0030028820037841797, 0.018122196197509766, 0.0029997825622558594, 0.003006458282470703, 0.002998828887939453, 0.0029990673065185547]",0.0022263526916503906,0.03284311294555664
2,"[0.023999929428100586, 0.025001049041748047, 0.029007673263549805, 0.021002769470214844, 0.054520606994628906, 0.028350830078125, 0.03639984130859375, 0.058500051498413086, 0.042998313903808594, 0.046074628829956055]","[0.9772932529449463, 0.39113831520080566, 2.0156259536743164, 0.15019440650939941, 1.5542676448822021, 0.8671364784240723, 0.37769126892089844, 0.03000330924987793, 1.2813820838928223]",0.00400233268737793,0.056732177734375
3,"[0.035001516342163086, 0.020000457763671875, 0.027512550354003906, 0.05651044845581055, 0.028267383575439453, 0.020000696182250977, 0.02100086212158203, 0.03399300575256348, 0.02200007438659668, 0.06850552558898926]","[0.007999658584594727, 0.15752720832824707, 0.06620979309082031, 0.004992246627807617, 0.005999565124511719, 0.06005549430847168, 0.16714930534362793, 0.027001142501831055, 0.006006717681884766]",0.002999544143676758,0.03215837478637695
4,"[0.024997949600219727, 0.02451300621032715, 0.02641749382019043, 0.030002832412719727, 0.0242464542388916, 0.023993253707885742, 0.024998903274536133, 0.04350996017456055, 0.023993730545043945, 0.024003982543945312]","[0.00400090217590332, 0.03901934623718262, 0.08899140357971191, 0.006006956100463867, 0.006005525588989258, 0.004999637603759766, 0.005999326705932617, 0.0060083866119384766, 0.0055315494537353516]",0.0029959678649902344,0.029959917068481445
5,"[0.023000001907348633, 0.021000385284423828, 0.0200040340423584, 0.02150559425354004, 0.0240020751953125, 0.02300095558166504, 0.01900029182434082, 0.020161151885986328, 0.02099466323852539, 0.019994735717773438]","[0.0049936771392822266, 0.013014554977416992, 0.004004001617431641, 0.0029981136322021484, 0.0029997825622558594, 0.0019989013671875, 0.0019989013671875, 0.0030057430267333984, 0.00699925422668457]",0.002011537551879883,0.02676224708557129
6,"[0.017992496490478516, 0.016229629516601562, 0.019470930099487305, 0.017912626266479492, 0.02038264274597168, 0.018761873245239258, 0.017838001251220703, 0.01599431037902832, 0.014007806777954102, 0.014999866485595703]","[0.004019975662231445, 0.013737916946411133, 0.0021958351135253906, 0.013884544372558594, 0.019007444381713867, 0.009101390838623047, 0.004999876022338867, 0.005520820617675781, 0.015006065368652344]",0.0019915103912353516,0.029001474380493164
7,"[0.025000810623168945, 0.021993160247802734, 0.02404642105102539, 0.026993274688720703, 0.0251314640045166, 0.03199338912963867, 0.02300739288330078, 0.025095224380493164, 0.02699565887451172, 0.05449938774108887]","[0.0030057430267333984, 0.00900578498840332, 0.027998924255371094, 0.01900625228881836, 0.0030014514923095703, 0.005007028579711914, 0.006999492645263672, 0.027008056640625, 0.06416869163513184]",0.0020020008087158203,0.027994394302368164
8,"[0.03553938865661621, 0.0169985294342041, 0.014994144439697266, 0.017006635665893555, 0.0170285701751709, 0.015993595123291016, 0.01899576187133789, 0.017001628875732422, 0.015999555587768555, 0.015146493911743164]","[0.0029931068420410156, 0.0030057430267333984, 0.00299835205078125, 0.00299835205078125, 0.002998828887939453, 0.004004001617431641, 0.002998828887939453, 0.0020055770874023438, 0.0030062198638916016]",0.0009996891021728516,0.03277277946472168
9,"[0.02399301528930664, 0.02400493621826172, 0.023003578186035156, 0.02251720428466797, 0.02199530601501465, 0.024001121520996094, 0.02303600311279297, 0.05799412727355957, 0.024113178253173828, 0.024999618530273438]","[0.0049991607666015625, 0.004524946212768555, 0.00500035285949707, 0.003998756408691406, 0.004000425338745117, 0.016999483108520508, 0.005011320114135742, 0.0049991607666015625, 0.018072128295898438]",0.0029916763305664062,0.026996374130249023
10,"[0.020926952362060547, 0.018117904663085938, 0.017993450164794922, 0.02750420570373535, 0.020509958267211914, 0.017993927001953125, 0.01699352264404297, 0.020998477935791016, 0.020099163055419922, 0.022947311401367188]","[0.008005142211914062, 0.019998550415039062, 0.014017343521118164, 0.006005764007568359, 0.004999637603759766, 0.012998580932617188, 0.04011869430541992, 0.014634370803833008, 0.0124053955078125]",0.0019941329956054688,0.027005434036254883
11,"[0.01604628562927246, 0.015401601791381836, 0.01466822624206543, 0.01472163200378418, 0.014434814453125, 0.015044212341308594, 0.013343334197998047, 0.014994144439697266, 0.013993978500366211, 0.013994216918945312]","[0.0026679039001464844, 0.0016460418701171875, 0.002005338668823242, 0.0020055770874023438, 0.0016219615936279297, 0.001997232437133789, 0.002006053924560547, 0.0009987354278564453, 0.0020062923431396484]",0.0,0.02308034896850586
12,"[0.02351546287536621, 0.01900196075439453, 0.03292083740234375, 0.02388763427734375, 0.018993616104125977, 0.048918724060058594, 0.020502805709838867, 0.03993797302246094, 0.018052101135253906, 0.030689716339111328]","[0.13862228393554688, 0.628474235534668, 0.005999088287353516, 0.055654048919677734, 0.0050048828125, 0.04505729675292969, 0.010998725891113281, 0.006005764007568359, 0.08474063873291016]",0.0020067691802978516,0.04967665672302246
13,"[0.016993284225463867, 0.054512739181518555, 0.015991926193237305, 0.01599264144897461, 0.014994144439697266, 0.014001131057739258, 0.014099359512329102, 0.012993812561035156, 0.013993263244628906, 0.013992071151733398]","[0.0020084381103515625, 0.005006313323974609, 0.0019989013671875, 0.0030057430267333984, 0.0030126571655273438, 0.002006053924560547, 0.0019996166229248047, 0.0019998550415039062, 0.0020003318786621094]",0.0009810924530029297,0.02700209617614746
14,"[0.015993356704711914, 0.015004396438598633, 0.016168832778930664, 0.017993927001953125, 0.014994144439697266, 0.016000986099243164, 0.014991521835327148, 0.018145322799682617, 0.015993833541870117, 0.01699662208557129]","[0.0030057430267333984, 0.002006053924560547, 0.0029990673065185547, 0.0019986629486083984, 0.002010345458984375, 0.002012968063354492, 0.002006053924560547, 0.0030062198638916016, 0.0029993057250976562]",0.0009949207305908203,0.032766103744506836
15,"[0.01999497413635254, 0.017998218536376953, 0.018082380294799805, 0.019002199172973633, 0.022992372512817383, 0.01899886131286621, 0.018257856369018555, 0.02099609375, 0.01699972152709961, 0.014999628067016602]","[0.002001523971557617, 0.001999378204345703, 0.0069997310638427734, 0.010998964309692383, 0.002999544143676758, 0.0030078887939453125, 0.3281710147857666, 0.1335299015045166, 0.12587285041809082]",0.0019307136535644531,0.03867769241333008
16,"[0.06442070007324219, 0.015999555587768555, 0.01629042625427246, 0.01773357391357422, 0.01795649528503418, 0.01917862892150879, 0.019217967987060547, 0.017548799514770508, 0.01742243766784668, 0.019832849502563477]","[0.0020096302032470703, 0.0059359073638916016, 0.00882863998413086, 0.0020055770874023438, 0.002151966094970703, 0.002118825912475586, 0.0035636425018310547, 0.004370450973510742, 0.0020089149475097656]",0.001117706298828125,0.02718353271484375
17,"[0.019507646560668945, 0.017011404037475586, 0.018999814987182617, 0.01900005340576172, 0.018993377685546875, 0.019068479537963867, 0.018990516662597656, 0.02399468421936035, 0.02611064910888672, 0.01699090003967285]","[0.011999130249023438, 0.014519691467285156, 0.009999752044677734, 0.036014556884765625, 0.01700305938720703, 0.001999378204345703, 0.0030057430267333984, 0.03200936317443848, 0.020002126693725586]",0.001999378204345703,0.030189990997314453
18,"[0.05250883102416992, 0.015005350112915039, 0.016993999481201172, 0.014998912811279297, 0.014510154724121094, 0.012993097305297852, 0.012993812561035156, 0.01399374008178711, 0.012993812561035156, 0.012994050979614258]","[0.0019991397857666016, 0.004005908966064453, 0.002006053924560547, 0.0010006427764892578, 0.00200653076171875, 0.002006053924560547, 0.0020062923431396484, 0.0020062923431396484, 0.0020055770874023438]",0.001085519790649414,0.031126737594604492
19,"[0.02420186996459961, 0.023992300033569336, 0.02399158477783203, 0.0559232234954834, 0.05599355697631836, 0.023967981338500977, 0.021918058395385742, 0.02099752426147461, 0.021509647369384766, 0.019994258880615234]","[0.030008316040039062, 0.05062556266784668, 0.21870088577270508, 0.027149677276611328, 0.12263369560241699, 0.004999876022338867, 0.0059986114501953125, 0.005997896194458008, 0.0050013065338134766]",0.0029408931732177734,0.049222469329833984
20,"[0.01299428939819336, 0.014999866485595703, 0.016007423400878906, 0.015000581741333008, 0.01646709442138672, 0.02230215072631836, 0.016270875930786133, 0.0165402889251709, 0.016982555389404297, 0.0170595645904541]","[0.002006053924560547, 0.002154827117919922, 0.002000570297241211, 0.0021355152130126953, 0.002231121063232422, 0.00201416015625, 0.0021767616271972656, 0.002329111099243164, 0.002662181854248047]",0.0010020732879638672,0.02575850486755371
21,"[0.026851415634155273, 0.020348548889160156, 0.02267932891845703, 0.022000789642333984, 0.021006345748901367, 0.01999497413635254, 0.019994497299194336, 0.018993139266967773, 0.025152921676635742, 0.01999354362487793]","[0.007979154586791992, 0.004990577697753906, 0.010994195938110352, 0.015532493591308594, 0.0050048828125, 0.004001140594482422, 0.003999233245849609, 0.0049991607666015625, 0.004998683929443359]",0.000986337661743164,0.03702282905578613
22,"[0.01600050926208496, 0.016000032424926758, 0.015520334243774414, 0.014503002166748047, 0.013994455337524414, 0.01499319076538086, 0.013994216918945312, 0.01600337028503418, 0.016000032424926758, 0.016616344451904297]","[0.0020051002502441406, 0.00201416015625, 0.0019991397857666016, 0.001999378204345703, 0.0019989013671875, 0.0029973983764648438, 0.003998517990112305, 0.009119749069213867, 0.0030145645141601562]",0.0010180473327636719,0.02684926986694336
23,"[0.019980430603027344, 0.01999187469482422, 0.04366493225097656, 0.023967981338500977, 0.023637056350708008, 0.019940853118896484, 0.01496744155883789, 0.018926382064819336, 0.01744818687438965, 0.01699662208557129]","[0.06662726402282715, 0.012859582901000977, 0.03723573684692383, 0.027669429779052734, 0.002993345260620117, 0.015971899032592773, 0.011159420013427734, 0.007994890213012695, 0.009005069732666016]",0.0019998550415039062,0.029612302780151367
