,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.1358935832977295, 0.030236244201660156, 0.03209638595581055, 0.029979944229125977, 0.02900838851928711, 0.03300952911376953, 0.03109908103942871, 0.03099536895751953, 0.03151726722717285, 0.038527488708496094]","[0.06599783897399902, 0.018003463745117188, 0.020010709762573242, 0.01300048828125, 0.07977414131164551, 0.0935204029083252, 0.017999887466430664, 0.1386117935180664, 0.029003620147705078]",0.0029993057250976562,0.23061680793762207
1,"[0.03300046920776367, 0.029045581817626953, 0.028262853622436523, 0.03301405906677246, 0.031881093978881836, 0.030735254287719727, 0.03478527069091797, 0.0343165397644043, 0.03551769256591797, 0.030012845993041992]","[0.004997730255126953, 0.022282838821411133, 0.005055427551269531, 0.034456491470336914, 0.006727695465087891, 0.007731437683105469, 0.03717350959777832, 0.00800323486328125, 0.006994009017944336]",0.0010197162628173828,0.05677938461303711
2,"[0.056026458740234375, 0.05914878845214844, 0.07151222229003906, 0.04308629035949707, 0.0565338134765625, 0.054533958435058594, 0.05453228950500488, 0.059743642807006836, 0.06450414657592773, 0.06751537322998047]","[5.01342511177063, 5.019979953765869, 5.017736911773682, 5.0256571769714355, 5.033356666564941, 5.0307393074035645, 5.045592308044434, 5.044386863708496, 5.0604681968688965]",0.011658191680908203,0.18497538566589355
3,"[0.05335688591003418, 0.054253578186035156, 0.04810142517089844, 0.050004005432128906, 0.04852485656738281, 0.04900074005126953, 0.06100153923034668, 0.055014848709106445, 0.05539655685424805, 0.055533409118652344]","[5.006874322891235, 5.0095908641815186, 1.7787301540374756, 5.010277271270752, 5.00992751121521, 5.013390302658081, 5.015705347061157, 5.0164759159088135, 5.014482021331787]",0.003998994827270508,0.09349679946899414
4,"[0.07326912879943848, 0.07813882827758789, 0.06207537651062012, 0.0634157657623291, 0.06751847267150879, 0.05554032325744629, 0.06780815124511719, 0.0662689208984375, 0.06428313255310059, 0.06550478935241699]","[0.013003110885620117, 0.24608993530273438, 0.0299985408782959, 0.10853719711303711, 0.0765385627746582, 0.020999431610107422, 0.015998125076293945, 0.042000770568847656, 0.01199960708618164]",0.001603841781616211,0.05605435371398926
5,"[0.06854391098022461, 0.07514142990112305, 0.07213306427001953, 0.06349730491638184, 0.05997157096862793, 0.061510562896728516, 0.06924676895141602, 0.053357601165771484, 0.06991100311279297, 0.06301164627075195]","[0.483081579208374, 0.15022039413452148, 0.21788835525512695, 0.09354090690612793, 1.5222384929656982, 5.0054771900177, 5.004985570907593, 0.8355515003204346, 0.07264256477355957]",0.0029993057250976562,0.05022835731506348
6,"[0.05010271072387695, 0.06089949607849121, 0.04585623741149902, 0.045005083084106445, 0.051381587982177734, 0.06003093719482422, 0.04555320739746094, 0.04500770568847656, 0.036002159118652344, 0.03553175926208496]","[0.01553034782409668, 0.07907533645629883, 0.09449243545532227, 0.012192010879516602, 0.026227474212646484, 0.008004188537597656, 0.03753042221069336, 0.015999794006347656, 0.010996818542480469]",0.0020024776458740234,0.05377674102783203
7,"[0.056549072265625, 0.05524277687072754, 0.049514055252075195, 0.04132676124572754, 0.04809165000915527, 0.05515265464782715, 0.04800581932067871, 0.04364466667175293, 0.04540848731994629, 0.05862879753112793]","[0.7922542095184326, 0.45519232749938965, 0.2128136157989502, 0.052422523498535156, 0.9034218788146973, 0.9301812648773193, 0.0679008960723877, 0.3153691291809082, 2.916774034500122]",0.005007266998291016,0.06499481201171875
8,"[0.04000139236450195, 0.04001331329345703, 0.0408933162689209, 0.051387786865234375, 0.04955101013183594, 0.049521446228027344, 0.0546877384185791, 0.04452085494995117, 0.051122426986694336, 0.05207538604736328]","[0.03151106834411621, 0.008735179901123047, 0.009174823760986328, 0.017994165420532227, 0.06137275695800781, 0.012998104095458984, 0.023830413818359375, 0.008388757705688477, 0.014078617095947266]",0.0020110607147216797,0.05166912078857422
9,"[0.06432938575744629, 0.05428600311279297, 0.04885053634643555, 0.059639692306518555, 0.05087137222290039, 0.05640745162963867, 0.059798479080200195, 0.060472726821899414, 0.05953550338745117, 0.055063724517822266]","[0.13064861297607422, 0.024028539657592773, 0.019401073455810547, 0.021000146865844727, 0.020712852478027344, 0.023282289505004883, 0.01809239387512207, 0.01400303840637207, 0.01952958106994629]",0.001997232437133789,0.04721474647521973
