,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.06533265113830566, 0.036943912506103516, 0.02189183235168457, 0.017993450164794922, 0.017781734466552734, 0.03059244155883789, 0.022037029266357422, 0.022380828857421875, 0.024783611297607422, 0.029694318771362305]","[0.00400543212890625, 0.004006385803222656, 0.00408935546875, 0.01100611686706543, 0.009005308151245117, 0.00901174545288086, 0.005006551742553711, 0.04817962646484375, 0.004014253616333008]",0.0061032772064208984,0.056920766830444336
1,"[0.03502011299133301, 0.024008989334106445, 0.01953291893005371, 0.01945638656616211, 0.017995595932006836, 0.017993927001953125, 0.016994953155517578, 0.019362449645996094, 0.020993471145629883, 0.016994476318359375]","[0.002996683120727539, 0.002006053924560547, 0.0030059814453125, 0.002003908157348633, 0.0020058155059814453, 0.003339052200317383, 0.005005836486816406, 0.003007650375366211, 0.004006147384643555]",0.0020503997802734375,0.04252886772155762
2,"[0.01699352264404297, 0.029502391815185547, 0.023379802703857422, 0.030860185623168945, 0.020001888275146484, 0.018023967742919922, 0.020993947982788086, 0.016288280487060547, 0.01620793342590332, 0.015073537826538086]","[0.0016777515411376953, 0.0060062408447265625, 0.013001203536987305, 0.003768444061279297, 0.007006406784057617, 0.004007101058959961, 0.0030052661895751953, 0.003004789352416992, 0.01000523567199707]",0.0019991397857666016,0.05110788345336914
3,"[0.023027658462524414, 0.026998281478881836, 0.025418996810913086, 0.01999378204345703, 0.019998550415039062, 0.016991853713989258, 0.01901102066040039, 0.026449918746948242, 0.019678115844726562, 0.018296480178833008]","[0.007000446319580078, 0.0030062198638916016, 0.0030059814453125, 0.004004716873168945, 0.005003929138183594, 0.0030069351196289062, 0.0035076141357421875, 0.0038042068481445312, 0.006539106369018555]",0.0010018348693847656,0.045044898986816406
4,"[0.031061649322509766, 0.037436485290527344, 0.027089357376098633, 0.027695178985595703, 0.025863170623779297, 0.024097919464111328, 0.026830673217773438, 0.028490304946899414, 0.025926589965820312, 0.020895957946777344]","[0.022201061248779297, 0.009181737899780273, 0.016101598739624023, 0.015004396438598633, 0.01581096649169922, 0.015103340148925781, 0.021010160446166992, 0.016103744506835938, 0.07385087013244629]",0.0019724369049072266,0.03918957710266113
5,"[0.039254188537597656, 0.036527395248413086, 0.02947211265563965, 0.031113624572753906, 0.020000696182250977, 0.018518447875976562, 0.0177004337310791, 0.0169985294342041, 0.02199244499206543, 0.024554967880249023]","[0.009003162384033203, 0.021118879318237305, 0.010283946990966797, 0.012998342514038086, 0.011279106140136719, 0.004006624221801758, 0.005002498626708984, 0.014005661010742188, 0.0040056705474853516]",0.0010466575622558594,0.05069994926452637
6,"[0.022999286651611328, 0.028999805450439453, 0.030900955200195312, 0.03141617774963379, 0.029303312301635742, 0.02647709846496582, 0.027344703674316406, 0.034189701080322266, 0.030200719833374023, 0.030134201049804688]","[0.025232553482055664, 0.020646333694458008, 0.02527785301208496, 0.06315350532531738, 0.016999244689941406, 0.015006542205810547, 0.015107393264770508, 0.02657175064086914, 0.02664923667907715]",0.001997709274291992,0.04308652877807617
7,"[0.03166079521179199, 0.027004003524780273, 0.021007537841796875, 0.02773571014404297, 0.017993688583374023, 0.0190126895904541, 0.025847673416137695, 0.018526792526245117, 0.03238391876220703, 0.025090694427490234]","[0.0025184154510498047, 0.010006189346313477, 0.004005908966064453, 0.009021282196044922, 0.02399897575378418, 0.010005474090576172, 0.013175249099731445, 0.010051965713500977, 0.02312946319580078]",0.0019996166229248047,0.04057931900024414
8,"[0.027434349060058594, 0.023999929428100586, 0.0282747745513916, 0.02630138397216797, 0.030503034591674805, 0.026407957077026367, 0.021801233291625977, 0.028990745544433594, 0.021001100540161133, 0.016694068908691406]","[0.012248754501342773, 0.004021406173706055, 0.021105289459228516, 0.006116151809692383, 0.008529424667358398, 0.009010076522827148, 0.0050046443939208984, 0.0040051937103271484, 0.012116193771362305]",0.00399470329284668,0.04577183723449707
9,"[0.022832632064819336, 0.019211292266845703, 0.019011974334716797, 0.020884037017822266, 0.021648645401000977, 0.016383647918701172, 0.02027726173400879, 0.015676021575927734, 0.016438961029052734, 0.017884254455566406]","[0.0030059814453125, 0.0019996166229248047, 0.0028066635131835938, 0.0028040409088134766, 0.002771139144897461, 0.0034673213958740234, 0.0033407211303710938, 0.002830028533935547, 0.0031113624572753906]",0.0010318756103515625,0.023724794387817383
