,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.10903263092041016, 0.042818307876586914, 0.03692984580993652, 0.039994239807128906, 0.03400063514709473, 0.030621051788330078, 0.021680831909179688, 0.03415226936340332, 0.028996944427490234, 0.02570629119873047]","[0.00401616096496582, 0.0029964447021484375, 0.003006458282470703, 0.006529331207275391, 0.004006385803222656, 0.010001897811889648, 0.0030012130737304688, 0.003000497817993164, 0.004003763198852539]",0.007002353668212891,0.05613994598388672
1,"[0.047516822814941406, 0.052484989166259766, 0.0500950813293457, 0.0570220947265625, 0.03351020812988281, 0.029717206954956055, 0.031003713607788086, 0.0441436767578125, 0.03454399108886719, 0.04325604438781738]","[0.0032012462615966797, 0.005427122116088867, 0.0038640499114990234, 0.0040018558502197266, 0.0030031204223632812, 0.0030052661895751953, 0.00400543212890625, 0.003003835678100586, 0.0040035247802734375]",0.0020041465759277344,0.04423332214355469
2,"[0.04762530326843262, 0.037569522857666016, 0.03794050216674805, 0.028265953063964844, 0.04794645309448242, 0.06477975845336914, 0.03498673439025879, 0.031109094619750977, 0.04127311706542969, 0.039023399353027344]","[0.0009992122650146484, 0.004004001617431641, 0.00701904296875, 0.013996124267578125, 0.038004398345947266, 0.004004001617431641, 0.004004478454589844, 0.014367103576660156, 0.004004478454589844]",0.005553722381591797,0.05115246772766113
3,"[0.03365015983581543, 0.04105496406555176, 0.029495954513549805, 0.0329127311706543, 0.029433012008666992, 0.033309221267700195, 0.03199505805969238, 0.027475357055664062, 0.0304715633392334, 0.02754044532775879]","[0.001997232437133789, 0.0029964447021484375, 0.0040209293365478516, 0.00500035285949707, 0.0030050277709960938, 0.0030050277709960938, 0.0050051212310791016, 0.0030066967010498047, 0.003003835678100586]",0.00413823127746582,0.04892086982727051
4,"[0.05699038505554199, 0.03199291229248047, 0.04671359062194824, 0.04369688034057617, 0.047601938247680664, 0.05271720886230469, 0.05798792839050293, 0.04541206359863281, 0.043047189712524414, 0.050246238708496094]","[0.008005380630493164, 0.011098146438598633, 0.01801300048828125, 0.07498049736022949, 0.0728597640991211, 0.015110015869140625, 0.09977102279663086, 0.04999995231628418, 0.05100440979003906]",0.0051381587982177734,0.049408674240112305
5,"[0.04893159866333008, 0.040999650955200195, 0.03652811050415039, 0.04399442672729492, 0.036397695541381836, 0.03200721740722656, 0.03777480125427246, 0.03752255439758301, 0.03681778907775879, 0.044769287109375]","[0.008987903594970703, 0.009962320327758789, 0.004614830017089844, 0.008205890655517578, 0.05607271194458008, 0.03129291534423828, 0.024536848068237305, 0.017054080963134766, 0.003992557525634766]",0.0070497989654541016,0.04572558403015137
6,"[0.04140830039978027, 0.05734515190124512, 0.039609432220458984, 0.0497441291809082, 0.05193638801574707, 0.05123281478881836, 0.043996334075927734, 0.047452688217163086, 0.033945322036743164, 0.03873276710510254]","[0.012000322341918945, 0.09480166435241699, 0.17199945449829102, 0.0269930362701416, 0.005997896194458008, 0.0069963932037353516, 0.008022785186767578, 0.06225013732910156, 0.03522753715515137]",0.007003068923950195,0.046904802322387695
7,"[0.0637521743774414, 0.04695487022399902, 0.0391230583190918, 0.042024850845336914, 0.05312323570251465, 0.042062997817993164, 0.04586529731750488, 0.046410322189331055, 0.04966259002685547, 0.0376436710357666]","[0.004072904586791992, 0.18775725364685059, 0.017017364501953125, 0.013021469116210938, 0.022008657455444336, 0.011403799057006836, 0.0290071964263916, 0.027118682861328125, 0.01202845573425293]",0.003004789352416992,0.05392098426818848
8,"[0.061650991439819336, 0.046475887298583984, 0.04868602752685547, 0.03870964050292969, 0.05538797378540039, 0.030611753463745117, 0.046648502349853516, 0.04262566566467285, 0.038796186447143555, 0.03609490394592285]","[0.056034088134765625, 0.013274669647216797, 0.0734097957611084, 0.005018711090087891, 0.0390009880065918, 0.018102169036865234, 0.011032342910766602, 0.007004499435424805, 0.00600433349609375]",0.005997180938720703,0.05346941947937012
9,"[0.035271644592285156, 0.04067587852478027, 0.03347301483154297, 0.026549577713012695, 0.028569698333740234, 0.03213763236999512, 0.03838348388671875, 0.029838085174560547, 0.03805351257324219, 0.02933025360107422]","[0.0029616355895996094, 0.0020058155059814453, 0.003080606460571289, 0.0060040950775146484, 0.007004499435424805, 0.007162332534790039, 0.005003452301025391, 0.005127906799316406, 0.005004405975341797]",0.004639625549316406,0.047067880630493164
10,"[0.04673910140991211, 0.0425868034362793, 0.04939103126525879, 0.04511404037475586, 0.03864431381225586, 0.029584884643554688, 0.03755831718444824, 0.0374448299407959, 0.04262042045593262, 0.03934812545776367]","[0.0050220489501953125, 0.022824764251708984, 0.016140222549438477, 0.007004737854003906, 0.024072885513305664, 0.02450871467590332, 0.02409672737121582, 0.04512643814086914, 0.02399301528930664]",0.003009796142578125,0.09224462509155273
11,"[0.05242180824279785, 0.04228711128234863, 0.042606353759765625, 0.03815197944641113, 0.04567360877990723, 0.033987998962402344, 0.036165475845336914, 0.03217768669128418, 0.0476994514465332, 0.042855024337768555]","[0.019105911254882812, 0.008995771408081055, 0.005003213882446289, 0.005013465881347656, 0.012452363967895508, 0.004996299743652344, 0.05313587188720703, 0.00552058219909668, 0.004006862640380859]",0.004992008209228516,0.050725698471069336
12,"[0.052712202072143555, 0.04848289489746094, 0.0702507495880127, 0.04121065139770508, 0.04258418083190918, 0.03429603576660156, 0.034044504165649414, 0.049492597579956055, 0.04150843620300293, 0.03320050239562988]","[0.003025054931640625, 0.012505769729614258, 0.00434112548828125, 0.003786802291870117, 0.003401041030883789, 0.08426618576049805, 0.005995512008666992, 0.005006313323974609, 0.0070002079010009766]",0.006989717483520508,0.05202913284301758
