,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.07971429824829102, 0.031007766723632812, 0.03752589225769043, 0.01899886131286621, 0.020000696182250977, 0.024003982543945312, 0.02591872215270996, 0.027006149291992188, 0.019566774368286133, 0.02452874183654785]","[0.004004240036010742, 0.0019960403442382812, 0.002004384994506836, 0.003002643585205078, 0.004003763198852539, 0.0029973983764648438, 0.002001047134399414, 0.002996206283569336, 0.0030028820037841797]",0.002991199493408203,0.043038368225097656
1,"[0.03300213813781738, 0.05804634094238281, 0.05299782752990723, 0.052088022232055664, 0.04400229454040527, 0.04021024703979492, 0.0410006046295166, 0.0422360897064209, 0.03600049018859863, 0.05476069450378418]","[0.0065174102783203125, 0.012531042098999023, 0.0059964656829833984, 0.005998849868774414, 0.004998445510864258, 0.0049970149993896484, 0.004995822906494141, 0.0040051937103271484, 0.004997968673706055]",0.0039920806884765625,0.07021617889404297
2,"[0.03599667549133301, 0.038576364517211914, 0.03702902793884277, 0.03404998779296875, 0.045705556869506836, 0.03251457214355469, 0.04367828369140625, 0.0330352783203125, 0.03009343147277832, 0.03709840774536133]","[0.011629819869995117, 0.00408482551574707, 0.011057615280151367, 0.003528118133544922, 0.012968778610229492, 0.0029616355895996094, 0.0029723644256591797, 0.004004478454589844, 0.0030019283294677734]",0.002017498016357422,0.030921220779418945
3,"[0.05643010139465332, 0.04648447036743164, 0.04653620719909668, 0.04402661323547363, 0.04740333557128906, 0.05735445022583008, 0.046727657318115234, 0.042688846588134766, 0.03545665740966797, 0.027739763259887695]","[0.006006956100463867, 0.0361785888671875, 0.00439143180847168, 0.006007671356201172, 0.005114316940307617, 0.004983186721801758, 0.004561662673950195, 0.004252433776855469, 0.024708032608032227]",0.001636505126953125,0.036141395568847656
4,"[0.06598496437072754, 0.050379037857055664, 0.04901289939880371, 0.042707204818725586, 0.03995800018310547, 0.04258108139038086, 0.04882025718688965, 0.052167415618896484, 0.04509925842285156, 0.042138099670410156]","[0.6050643920898438, 3.1178510189056396, 0.4433274269104004, 0.7380883693695068, 0.4338376522064209, 0.5103697776794434, 0.5391085147857666, 0.44135618209838867, 0.3460659980773926]",0.0028793811798095703,0.047985076904296875
5,"[0.06826925277709961, 0.05225014686584473, 0.04994678497314453, 0.032994985580444336, 0.0331265926361084, 0.040834903717041016, 0.03798031806945801, 0.039856910705566406, 0.0350346565246582, 0.03374791145324707]","[0.009999752044677734, 0.004004955291748047, 0.0030035972595214844, 0.01483464241027832, 0.011006593704223633, 0.003997325897216797, 0.004003047943115234, 0.005993366241455078, 0.005022287368774414]",0.0019965171813964844,0.036665916442871094
6,"[0.050429344177246094, 0.03783249855041504, 0.04949188232421875, 0.07070040702819824, 0.035684823989868164, 0.040743350982666016, 0.03296232223510742, 0.03489041328430176, 0.041382551193237305, 0.03653216361999512]","[0.01200413703918457, 0.011106491088867188, 0.005094766616821289, 0.0055484771728515625, 0.005004405975341797, 0.00601649284362793, 0.006003856658935547, 0.004582405090332031, 0.02424454689025879]",0.0020105838775634766,0.04776406288146973
7,"[0.04525470733642578, 0.05878710746765137, 0.045075416564941406, 0.026644468307495117, 0.03639793395996094, 0.04446721076965332, 0.025075197219848633, 0.042348384857177734, 0.03509855270385742, 0.030513286590576172]","[0.08939743041992188, 0.0029981136322021484, 0.003996849060058594, 0.012186765670776367, 0.004545450210571289, 0.010100841522216797, 0.0039958953857421875, 0.004985809326171875, 0.0031948089599609375]",0.0020177364349365234,0.048552513122558594
8,"[0.05117368698120117, 0.035401105880737305, 0.044643402099609375, 0.03521156311035156, 0.03517556190490723, 0.03659224510192871, 0.038469552993774414, 0.04106855392456055, 0.023777008056640625, 0.046309709548950195]","[0.01000356674194336, 0.004003763198852539, 0.003999948501586914, 0.0040035247802734375, 0.004004001617431641, 0.004006147384643555, 0.003003835678100586, 0.0240476131439209, 0.004996538162231445]",0.0019943714141845703,0.04979109764099121
9,"[0.03542828559875488, 0.04187798500061035, 0.03143143653869629, 0.029597997665405273, 0.028008699417114258, 0.0404200553894043, 0.029292583465576172, 0.03276801109313965, 0.02801799774169922, 0.02383732795715332]","[0.0030069351196289062, 0.0019969940185546875, 0.0030057430267333984, 0.002997875213623047, 0.0020194053649902344, 0.003004312515258789, 0.002657175064086914, 0.003161907196044922, 0.0020034313201904297]",0.0009922981262207031,0.02707982063293457
