,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.07182693481445312, 0.02408289909362793, 0.023993253707885742, 0.027094125747680664, 0.02699875831604004, 0.027008056640625, 0.02720499038696289, 0.027002811431884766, 0.028046607971191406, 0.028003215789794922]","[0.0029997825622558594, 0.0030024051666259766, 0.0030045509338378906, 0.002997875213623047, 0.003000020980834961, 0.002000570297241211, 0.0020008087158203125, 0.0029990673065185547, 0.003002166748046875]",0.005099296569824219,0.06532573699951172
1,"[0.04690265655517578, 0.03600358963012695, 0.036978721618652344, 0.03900265693664551, 0.04395723342895508, 0.04300951957702637, 0.041993141174316406, 0.05252790451049805, 0.04689311981201172, 0.047571659088134766]","[0.007002830505371094, 0.007005214691162109, 0.007997751235961914, 0.007202625274658203, 0.007692575454711914, 0.0060002803802490234, 0.006999969482421875, 0.00699615478515625, 0.00697636604309082]",0.005333662033081055,0.060117244720458984
2,"[0.04151654243469238, 0.034729719161987305, 0.03215217590332031, 0.031002044677734375, 0.03379940986633301, 0.030998945236206055, 0.030994415283203125, 0.03322267532348633, 0.03607654571533203, 0.03524065017700195]","[0.007999420166015625, 0.005998134613037109, 0.004995107650756836, 0.00499725341796875, 0.008996009826660156, 0.0052280426025390625, 0.005085945129394531, 0.004558086395263672, 0.005010128021240234]",0.0020079612731933594,0.07048654556274414
3,"[0.03964710235595703, 0.03570914268493652, 0.034195661544799805, 0.03048419952392578, 0.02900385856628418, 0.029511213302612305, 0.03051471710205078, 0.03211545944213867, 0.03300189971923828, 0.030999422073364258]","[0.051268577575683594, 0.03232216835021973, 0.00500941276550293, 0.0060002803802490234, 0.0050048828125, 0.004996299743652344, 0.019994258880615234, 0.02227330207824707, 0.019999027252197266]",0.0032901763916015625,0.06546854972839355
4,"[0.03616499900817871, 0.0352785587310791, 0.03816485404968262, 0.037901878356933594, 0.04159259796142578, 0.04452347755432129, 0.049947261810302734, 0.05332684516906738, 0.05352640151977539, 0.05253291130065918]","[0.006007671356201172, 0.4036824703216553, 1.7237212657928467, 0.011000871658325195, 0.008999347686767578, 0.00899958610534668, 0.008999109268188477, 0.01500248908996582, 0.20629239082336426]",0.004025697708129883,0.07462835311889648
5,"[0.036002159118652344, 0.03629422187805176, 0.03648829460144043, 0.041144371032714844, 0.04138898849487305, 0.037531137466430664, 0.03792405128479004, 0.03548097610473633, 0.03600025177001953, 0.04151487350463867]","[0.005006074905395508, 0.003990888595581055, 0.005305051803588867, 0.004002809524536133, 0.01199197769165039, 0.004992961883544922, 0.004003047943115234, 0.005006074905395508, 0.008993864059448242]",0.0029726028442382812,0.06078910827636719
6,"[0.045023202896118164, 0.04700040817260742, 0.04648280143737793, 0.05063438415527344, 0.05268144607543945, 0.04509544372558594, 0.049108028411865234, 0.05216717720031738, 0.04887890815734863, 0.04475998878479004]","[0.06094217300415039, 0.008006095886230469, 0.07286810874938965, 0.009010791778564453, 0.008000612258911133, 0.03301501274108887, 0.008996009826660156, 0.025548219680786133, 0.011998653411865234]",0.0039975643157958984,0.07061195373535156
7,"[0.04245424270629883, 0.04425168037414551, 0.03899335861206055, 0.040053606033325195, 0.043426513671875, 0.04055023193359375, 0.04289817810058594, 0.03907608985900879, 0.0369868278503418, 0.04301118850708008]","[0.004315614700317383, 0.004001140594482422, 0.004517078399658203, 0.005006551742553711, 0.006003141403198242, 0.0050008296966552734, 0.0060045719146728516, 0.0050048828125, 0.0049970149993896484]",0.002022266387939453,0.05896306037902832
8,"[0.039238929748535156, 0.03956031799316406, 0.04100990295410156, 0.039003610610961914, 0.037709951400756836, 0.04704689979553223, 0.041008949279785156, 0.03973984718322754, 0.043519020080566406, 0.04400134086608887]","[0.004994869232177734, 0.003996849060058594, 0.011996030807495117, 0.005547761917114258, 0.0529782772064209, 0.00699162483215332, 0.006999492645263672, 0.007004976272583008, 0.009996414184570312]",0.0020029544830322266,0.06714391708374023
9,"[0.038908958435058594, 0.035108327865600586, 0.0366673469543457, 0.04099440574645996, 0.0372469425201416, 0.03699040412902832, 0.03752875328063965, 0.03591585159301758, 0.035234689712524414, 0.03595757484436035]","[0.006000041961669922, 0.004113912582397461, 0.006006479263305664, 0.004335880279541016, 0.003000974655151367, 0.004991292953491211, 0.005044460296630859, 0.005001544952392578, 0.0051229000091552734]",0.0017578601837158203,0.061185359954833984
10,"[0.043488502502441406, 0.04691815376281738, 0.04618215560913086, 0.03967785835266113, 0.04642343521118164, 0.046889305114746094, 0.04755425453186035, 0.04400038719177246, 0.03917741775512695, 0.04021191596984863]","[0.005730628967285156, 0.011006832122802734, 0.009995698928833008, 0.008364200592041016, 0.004999399185180664, 0.010998964309692383, 0.005995512008666992, 0.013000011444091797, 0.008522748947143555]",0.003007173538208008,0.06939458847045898
11,"[0.04815864562988281, 0.04645943641662598, 0.04500532150268555, 0.04699444770812988, 0.047059059143066406, 0.05000805854797363, 0.04799628257751465, 0.04852724075317383, 0.04999995231628418, 0.04699850082397461]","[0.010998964309692383, 0.006000995635986328, 0.007004976272583008, 0.0059947967529296875, 0.00699925422668457, 0.006002902984619141, 0.004994392395019531, 0.013020515441894531, 0.00600886344909668]",0.0019991397857666016,0.05757498741149902
12,"[0.04363441467285156, 0.04395031929016113, 0.048184871673583984, 0.04951333999633789, 0.05200958251953125, 0.05051732063293457, 0.04450702667236328, 0.049001216888427734, 0.04744458198547363, 0.04951596260070801]","[0.00900888442993164, 0.006003856658935547, 0.006997823715209961, 0.005992889404296875, 0.005997896194458008, 0.0059967041015625, 0.010001897811889648, 0.006999969482421875, 0.0059967041015625]",0.0030150413513183594,0.05667924880981445
