,0
0,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""same_shape""]
    4 --> 5[""filter_material_rubber""]
"
1,"graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    1 --> 6[""filter_color_gray""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    5 --> 9[""And""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    8 --> 9
    9 --> 10[""filter_material_metal""]
    10 --> 11[""count""]
"
2,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 5[""same_color""]
    5 --> 6[""filter_size_small""]
    6 --> 7[""filter_shape_sphere""]
    7 --> 8[""count""]
"
3,"graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    5 --> 6[""filter_color_red""]
    5 --> 9[""filter_material_metal""]
    6 --> 7[""filter_material_rubber""]
    7 --> 8[""filter_shape_cylinder""]
    8 --> 11[""OR""]
    9 --> 10[""filter_shape_cylinder""]
    10 --> 11
    11 --> 12[""count""]
"
4,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_left""]
    5 --> 6[""filter_shape_cylinder""]
    6 --> 7[""unique""]
    7 --> 8[""relate_in_front""]
    8 --> 9[""filter_size_large""]
    9 --> 10[""filter_material_metal""]
    10 --> 15[""filter_shape_cylinder""]
    11[""unique""] --> 12[""relate_right""]
    12 --> 13[""filter_size_large""]
    13 --> 14[""count""]
    15 --> 11
"
5,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    1 --> 6[""filter_shape_cube""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""filter_shape_cylinder""]
    4 --> 5[""unique""]
    6 --> 7[""unique""]
    7 --> 8[""relate_behind""]
    8 --> 9[""filter_material_rubber""]
    9 --> 10[""unique""]
"
6,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 5[""filter_size_large""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 14[""query_color""]
    5 --> 6[""filter_color_blue""]
    6 --> 7[""filter_material_rubber""]
    7 --> 8[""unique""]
    8 --> 9[""relate_right""]
    9 --> 10[""filter_material_rubber""]
    10 --> 11[""unique""]
    11 --> 13[""query_color""]
    13 --> 12[""equal_color""]
    14 --> 12
"
7,"graph LR
    1[""scene""] --> 5[""filter_material_rubber""]
    4[""unique""] --> 11[""query_shape""]
    5 --> 6[""filter_shape_cylinder""]
    6 --> 7[""unique""]
    7 --> 8[""relate_right""]
    8 --> 9[""filter_size_small""]
    9 --> 10[""unique""]
    10 --> 12[""query_shape""]
    11 --> 13[""equal_shape""]
    12 --> 13
"
8,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    4 --> 5[""filter_size_small""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 11[""query_color""]
    8[""filter_shape_cube""] --> 10[""unique""]
    10 --> 12[""query_color""]
    11 --> 13[""equal_color""]
    12 --> 13
"
9,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 7[""filter_material_metal""]
    2 --> 3[""filter_color_brown""]
    3 --> 4[""filter_material_metal""]
    4 --> 5[""filter_shape_sphere""]
    5 --> 6[""count""]
    6 --> 9[""less_than""]
    7 --> 8[""count""]
    8 --> 9
"
10,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_gray""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""filter_shape_cylinder""]
    5 --> 6[""unique""]
    6 --> 7[""relate_right""]
    7 --> 8[""filter_size_large""]
    8 --> 9[""filter_material_metal""]
    9 --> 10[""filter_shape_sphere""]
    10 --> 11[""unique""]
    11 --> 12[""query_color""]
"
11,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 7[""filter_size_small""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 5[""relate_left""]
    5 --> 12[""And""]
    7 --> 8[""filter_shape_sphere""]
    8 --> 9[""unique""]
    9 --> 10[""relate_behind""]
    10 --> 12
    11[""filter_shape_cylinder""] --> 13[""unique""]
    12 --> 11
    13 --> 14[""query_size""]
"
12,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    1 --> 6[""filter_color_purple""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    5 --> 10[""And""]
    6 --> 7[""filter_shape_sphere""]
    7 --> 8[""unique""]
    8 --> 9[""relate_in_front""]
    9 --> 10
    10 --> 11[""filter_material_rubber""]
"
13,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_red""]
    5[""unique""] --> 6[""same_material""]
    6 --> 7[""filter_color_yellow""]
    7 --> 8[""unique""]
    8 --> 9[""query_shape""]
"
14,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_cyan""]
    4[""unique""] --> 5[""same_shape""]
    5 --> 6[""filter_material_metal""]
    7[""unique""] --> 8[""query_size""]
"
15,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    1 --> 4[""filter_size_large""]
    2 --> 3[""filter_material_rubber""]
    3 --> 9[""OR""]
    4 --> 5[""filter_color_green""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    8 --> 9
    9 --> 10[""count""]
"
16,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 7[""filter_size_large""]
    2 --> 3[""filter_color_cyan""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    5 --> 6[""filter_size_large""]
    6 --> 11[""OR""]
    7 --> 8[""filter_color_green""]
    8 --> 9[""filter_material_rubber""]
    9 --> 10[""filter_shape_cube""]
    10 --> 11
    11 --> 12[""count""]
"
