,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.043480634689331055, 0.02939581871032715, 0.020461082458496094]","[0.0039980411529541016, 0.004005908966064453]",0.0011305809020996094,0.042346954345703125
1,"[0.029251813888549805, 0.031091690063476562, 0.029091835021972656]","[0.0019991397857666016, 0.0020055770874023438]",0.0010004043579101562,0.027738571166992188
2,"[0.02181553840637207, 0.017999887466430664, 0.02894425392150879]","[0.0020012855529785156, 0.005006551742553711]",0.0009875297546386719,0.043996334075927734
3,"[0.02323007583618164, 0.023998260498046875, 0.0266568660736084]","[0.0030002593994140625, 0.0030107498168945312]",0.0010967254638671875,0.03371715545654297
4,"[0.029067039489746094, 0.0289461612701416, 0.02485823631286621]","[0.012027263641357422, 0.006006002426147461]",0.0019474029541015625,0.05614185333251953
5,"[0.017760515213012695, 0.021992921829223633, 0.032441139221191406]","[0.006994962692260742, 0.01800394058227539]",0.0005829334259033203,0.04929542541503906
6,"[0.019086122512817383, 0.03152775764465332, 0.030227184295654297]","[0.01600956916809082, 0.01200723648071289]",0.0019292831420898438,0.04404497146606445
7,"[0.026421785354614258, 0.032628774642944336, 0.031070470809936523]","[0.0030059814453125, 0.009006500244140625]",0.0020771026611328125,0.04603075981140137
8,"[0.019440650939941406, 0.026541471481323242, 0.028324127197265625]","[0.00801992416381836, 0.004007577896118164]",0.0018186569213867188,0.04498648643493652
9,"[0.016274452209472656, 0.019826412200927734, 0.024991750717163086]","[0.002006053924560547, 0.0020062923431396484]",0.007950067520141602,0.04556083679199219
10,"[0.017792701721191406, 0.02361893653869629, 0.02299356460571289]","[0.0030052661895751953, 0.003007173538208008]",0.0010271072387695312,0.019452571868896484
11,"[0.022507190704345703, 0.025464773178100586, 0.02502274513244629]","[0.02679157257080078, 0.004006862640380859]",0.0009245872497558594,0.06390595436096191
12,"[0.024434566497802734, 0.026785850524902344, 0.027920246124267578]","[0.006005048751831055, 0.0030050277709960938]",0.000978708267211914,0.047495126724243164
13,"[0.015998363494873047, 0.02399587631225586, 0.02615666389465332]","[0.0010068416595458984, 0.007006406784057617]",0.002003192901611328,0.04176521301269531
14,"[0.016785383224487305, 0.021088361740112305, 0.022034883499145508]","[0.003005504608154297, 0.035089969635009766]",0.001989603042602539,0.05200362205505371
15,"[0.016528844833374023, 0.018763303756713867, 0.021483898162841797]","[0.0009961128234863281, 0.0020067691802978516]",0.000989675521850586,0.031009197235107422
16,"[0.024405479431152344, 0.02596902847290039, 0.028370380401611328]","[0.004008054733276367, 0.0040056705474853516]",0.0019876956939697266,0.024764537811279297
17,"[0.018968820571899414, 0.01825094223022461, 0.020293235778808594]","[0.0020055770874023438, 0.004004955291748047]",0.0009856224060058594,0.043972015380859375
18,"[0.01652383804321289, 0.01436161994934082, 0.015003681182861328]","[0.0010061264038085938, 0.000997304916381836]",0.0,0.012999773025512695
19,"[0.017349720001220703, 0.022001028060913086, 0.01646280288696289]","[0.0030045509338378906, 0.005004167556762695]",0.0010485649108886719,0.05568051338195801
20,"[0.019270896911621094, 0.026938199996948242, 0.029233455657958984]","[0.0020089149475097656, 0.007017374038696289]",0.0019750595092773438,0.04796314239501953
21,"[0.020642995834350586, 0.029181241989135742, 0.026424646377563477]","[0.01902294158935547, 0.6177945137023926]",0.0020868778228759766,0.04673457145690918
22,"[0.019147872924804688, 0.025634288787841797, 0.02878713607788086]","[0.002754688262939453, 0.007006406784057617]",0.0010845661163330078,0.04958748817443848
23,"[0.011994361877441406, 0.021013736724853516, 0.019414424896240234]","[0.0010957717895507812, 0.0010023117065429688]",0.0,0.011121988296508789
24,"[0.015516042709350586, 0.02454233169555664, 0.021541833877563477]","[0.002022266387939453, 0.0020034313201904297]",0.0009610652923583984,0.025126218795776367
25,"[0.017957210540771484, 0.019888877868652344, 0.024592161178588867]","[0.001995563507080078, 0.0020067691802978516]",0.0010576248168945312,0.024996519088745117
26,"[0.01805877685546875, 0.023990869522094727, 0.022993087768554688]","[0.0020029544830322266, 0.0030062198638916016]",0.0009458065032958984,0.02310347557067871
27,"[0.022513151168823242, 0.027850866317749023, 0.025002717971801758]","[0.004010915756225586, 0.012997150421142578]",0.0009806156158447266,0.047751665115356445
28,"[0.018463611602783203, 0.02190423011779785, 0.02101445198059082]","[0.005005359649658203, 0.0030057430267333984]",0.0020029544830322266,0.04239964485168457
29,"[0.019035816192626953, 0.02782273292541504, 0.022141456604003906]","[0.011002063751220703, 0.008132696151733398]",0.0020110607147216797,0.04266095161437988
30,"[0.020580768585205078, 0.02236342430114746, 0.01641988754272461]","[0.002004384994506836, 0.0020084381103515625]",0.0009980201721191406,0.036002159118652344
31,"[0.01806497573852539, 0.021813631057739258, 0.02105402946472168]","[0.003004789352416992, 0.0020058155059814453]",0.0010883808135986328,0.04299616813659668
32,"[0.02718329429626465, 0.03989291191101074, 0.027994871139526367]","[0.005004167556762695, 0.005007028579711914]",0.002178192138671875,0.03945326805114746
33,"[0.015387296676635742, 0.022532939910888672, 0.016939640045166016]","[0.000995635986328125, 0.0010061264038085938]",0.0009691715240478516,0.026035547256469727
34,"[0.01628708839416504, 0.027997493743896484, 0.016823291778564453]","[0.004004478454589844, 0.0020074844360351562]",0.0010302066802978516,0.036675214767456055
35,"[0.01621270179748535, 0.019923686981201172, 0.021466493606567383]","[0.005019664764404297, 0.016006946563720703]",0.0009961128234863281,0.046521902084350586
36,"[0.024988889694213867, 0.023905038833618164, 0.02734827995300293]","[0.0030057430267333984, 0.0019998550415039062]",0.0010006427764892578,0.04122161865234375
37,"[0.025910139083862305, 0.026549577713012695, 0.02180004119873047]","[0.00200653076171875, 0.0040035247802734375]",0.0010418891906738281,0.04507923126220703
38,"[0.020601511001586914, 0.023078441619873047, 0.02566981315612793]","[0.016013383865356445, 0.0030040740966796875]",0.0010068416595458984,0.04339599609375
39,"[0.015985488891601562, 0.02503371238708496, 0.02288508415222168]","[0.0020112991333007812, 0.002315044403076172]",0.0010912418365478516,0.025142669677734375
