,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.0558927059173584, 0.02564525604248047, 0.03081822395324707, 0.04076695442199707, 0.031894683837890625, 0.03238201141357422, 0.03905820846557617, 0.02567911148071289, 0.02949070930480957, 0.024704933166503906]","[0.00400996208190918, 0.0019369125366210938, 0.0020105838775634766, 0.002011537551879883, 0.0020160675048828125, 0.0077898502349853516, 0.0019986629486083984, 0.003003835678100586, 0.002007722854614258]",0.0019996166229248047,0.04460644721984863
1,"[0.03249669075012207, 0.030302047729492188, 0.03014850616455078, 0.0336911678314209, 0.03849434852600098, 0.034137725830078125, 0.03827214241027832, 0.04479813575744629, 0.039671897888183594, 0.028734922409057617]","[0.002997159957885742, 0.005002737045288086, 0.0019960403442382812, 0.003113269805908203, 0.002008676528930664, 0.0021920204162597656, 0.002010345458984375, 0.0030007362365722656, 0.0030040740966796875]",0.001897573471069336,0.04202127456665039
2,"[0.0272369384765625, 0.02043294906616211, 0.02701854705810547, 0.025666475296020508, 0.03027629852294922, 0.04325461387634277, 0.022986650466918945, 0.021988391876220703, 0.02881145477294922, 0.024407386779785156]","[0.0020160675048828125, 0.003008127212524414, 0.005007743835449219, 0.01261448860168457, 0.03362870216369629, 0.004148960113525391, 0.0030121803283691406, 0.014156818389892578, 0.004023075103759766]",0.0019299983978271484,0.041341543197631836
3,"[0.026320934295654297, 0.022883176803588867, 0.02362823486328125, 0.023989439010620117, 0.027994394302368164, 0.029053926467895508, 0.03362107276916504, 0.0296175479888916, 0.03237104415893555, 0.03142189979553223]","[0.002004861831665039, 0.002012014389038086, 0.0030074119567871094, 0.004033088684082031, 0.003011941909790039, 0.0026123523712158203, 0.005109548568725586, 0.0030219554901123047, 0.0039980411529541016]",0.0019788742065429688,0.04292440414428711
4,"[0.041474103927612305, 0.03097081184387207, 0.03851938247680664, 0.032112836837768555, 0.03155517578125, 0.03927874565124512, 0.046340227127075195, 0.056609392166137695, 0.04319953918457031, 0.03596186637878418]","[0.007019758224487305, 0.011003732681274414, 0.017525911331176758, 0.06810379028320312, 0.07207584381103516, 0.012087345123291016, 0.09487056732177734, 0.043012142181396484, 0.04637408256530762]",0.001993894577026367,0.045717716217041016
5,"[0.03110504150390625, 0.024407625198364258, 0.023492097854614258, 0.01994919776916504, 0.01955270767211914, 0.023631572723388672, 0.028729915618896484, 0.026012659072875977, 0.022829055786132812, 0.023021697998046875]","[0.0070149898529052734, 0.008008241653442383, 0.004472494125366211, 0.005006074905395508, 0.04052591323852539, 0.016005277633666992, 0.017005205154418945, 0.012999296188354492, 0.0029985904693603516]",0.0020570755004882812,0.044966936111450195
6,"[0.030882596969604492, 0.02235698699951172, 0.023920059204101562, 0.029862642288208008, 0.0322880744934082, 0.03258776664733887, 0.02362990379333496, 0.024501562118530273, 0.02131485939025879, 0.027007341384887695]","[0.008002996444702148, 0.06982898712158203, 0.15190696716308594, 0.03408074378967285, 0.004002094268798828, 0.004005908966064453, 0.005998849868774414, 0.05060243606567383, 0.02599954605102539]",0.0020723342895507812,0.047197580337524414
7,"[0.031607627868652344, 0.023192405700683594, 0.023436784744262695, 0.03107738494873047, 0.025854110717773438, 0.025189638137817383, 0.031694889068603516, 0.02648138999938965, 0.02683281898498535, 0.029731273651123047]","[0.004006862640380859, 0.13974738121032715, 0.011529684066772461, 0.009006023406982422, 0.017017126083374023, 0.008004903793334961, 0.023139238357543945, 0.02108454704284668, 0.009148120880126953]",0.0009911060333251953,0.0487055778503418
8,"[0.030367612838745117, 0.022501707077026367, 0.027994871139526367, 0.023038387298583984, 0.027919769287109375, 0.020521163940429688, 0.03116607666015625, 0.02490091323852539, 0.027045249938964844, 0.02791285514831543]","[0.034865617752075195, 0.00801396369934082, 0.0548396110534668, 0.0030090808868408203, 0.029351472854614258, 0.014002799987792969, 0.009006261825561523, 0.0050046443939208984, 0.0039980411529541016]",0.0020062923431396484,0.04712200164794922
9,"[0.0189664363861084, 0.019998788833618164, 0.020510435104370117, 0.020006418228149414, 0.025989294052124023, 0.023222923278808594, 0.025398731231689453, 0.02273702621459961, 0.023163318634033203, 0.02295851707458496]","[0.002017974853515625, 0.0020067691802978516, 0.002006053924560547, 0.004005908966064453, 0.004529476165771484, 0.004018545150756836, 0.003999948501586914, 0.004519939422607422, 0.0040073394775390625]",0.0009996891021728516,0.047046661376953125
10,"[0.02307868003845215, 0.02053999900817871, 0.02283334732055664, 0.02880549430847168, 0.027234792709350586, 0.02396559715270996, 0.024223804473876953, 0.025327444076538086, 0.025078773498535156, 0.02206277847290039]","[0.004027843475341797, 0.019112825393676758, 0.012752056121826172, 0.005007505416870117, 0.019388675689697266, 0.018154382705688477, 0.019806385040283203, 0.034002065658569336, 0.0180056095123291]",0.0020079612731933594,0.05131864547729492
11,"[0.033997535705566406, 0.02267313003540039, 0.029033422470092773, 0.026589155197143555, 0.024068593978881836, 0.0217745304107666, 0.02407979965209961, 0.022792816162109375, 0.02790975570678711, 0.021103382110595703]","[0.013006210327148438, 0.007014751434326172, 0.0030052661895751953, 0.003005504608154297, 0.010094404220581055, 0.00400543212890625, 0.04364609718322754, 0.003004312515258789, 0.004006147384643555]",0.0019986629486083984,0.047986745834350586
12,"[0.021333932876586914, 0.020509958267211914, 0.024182796478271484, 0.028916597366333008, 0.023081302642822266, 0.020061016082763672, 0.01999068260192871, 0.031820058822631836, 0.026200056076049805, 0.022988080978393555]","[0.0030052661895751953, 0.00800633430480957, 0.003010272979736328, 0.003090381622314453, 0.0029969215393066406, 0.05978703498840332, 0.0030057430267333984, 0.0031037330627441406, 0.004005908966064453]",0.0009987354278564453,0.046774864196777344
13,"[0.018580198287963867, 0.01963067054748535, 0.02160811424255371, 0.02076244354248047, 0.022221803665161133, 0.021186351776123047, 0.019134521484375, 0.021739959716796875, 0.019040346145629883, 0.01735997200012207]","[0.004999399185180664, 0.0030057430267333984, 0.010009765625, 0.003177642822265625, 0.0020051002502441406, 0.0030052661895751953, 0.0020062923431396484, 0.0030052661895751953, 0.003005504608154297]",0.0009992122650146484,0.04481911659240723
14,"[0.021837711334228516, 0.017939329147338867, 0.02429509162902832, 0.02419877052307129, 0.025109052658081055, 0.018993377685546875, 0.018993139266967773, 0.018001556396484375, 0.02311110496520996, 0.021397113800048828]","[0.012023210525512695, 0.009005546569824219, 0.0030128955841064453, 0.0030062198638916016, 0.0020055770874023438, 0.003006458282470703, 0.0060062408447265625, 0.0030050277709960938, 0.0030045509338378906]",0.001997232437133789,0.042819976806640625
15,"[0.023260831832885742, 0.01851940155029297, 0.01985645294189453, 0.025068283081054688, 0.022660255432128906, 0.017191648483276367, 0.027740955352783203, 0.029421329498291016, 0.022531747817993164, 0.023882627487182617]","[0.002004861831665039, 0.006005525588989258, 0.002006053924560547, 0.0025262832641601562, 0.007005214691162109, 0.029171466827392578, 0.014044761657714844, 0.008005619049072266, 0.010005474090576172]",0.0019998550415039062,0.04810023307800293
16,"[0.02908611297607422, 0.022198200225830078, 0.03338479995727539, 0.028113603591918945, 0.03178834915161133, 0.02519059181213379, 0.026005268096923828, 0.026346921920776367, 0.028907060623168945, 0.027787446975708008]","[0.00854802131652832, 0.006231784820556641, 0.012459516525268555, 0.003397226333618164, 0.004004716873168945, 0.003545045852661133, 0.019104957580566406, 0.05129647254943848, 0.004999399185180664]",0.002660512924194336,0.09943151473999023
17,"[0.022049665451049805, 0.01999378204345703, 0.023205995559692383, 0.030324220657348633, 0.02680826187133789, 0.022600173950195312, 0.03704977035522461, 0.022767066955566406, 0.02025318145751953, 0.0210721492767334]","[0.005007743835449219, 0.01067042350769043, 0.0020074844360351562, 0.009310722351074219, 0.01100468635559082, 0.0029144287109375, 0.002005338668823242, 0.0020055770874023438, 0.002006053924560547]",0.001405477523803711,0.0991506576538086
18,"[0.019083261489868164, 0.014024496078491211, 0.013730049133300781, 0.013025283813476562, 0.011986255645751953, 0.011832714080810547, 0.01299428939819336, 0.012135744094848633, 0.011857271194458008, 0.011994123458862305]","[0.0010089874267578125, 0.002004384994506836, 0.0010101795196533203, 0.0010089874267578125, 0.0015323162078857422, 0.0010106563568115234, 0.0010061264038085938, 0.0010094642639160156, 0.0010085105895996094]",0.0009975433349609375,0.04713726043701172
19,"[0.017329931259155273, 0.01845240592956543, 0.016740798950195312, 0.019454002380371094, 0.01789379119873047, 0.02112603187561035, 0.019441843032836914, 0.01639246940612793, 0.015908241271972656, 0.018640995025634766]","[0.0020079612731933594, 0.001005411148071289, 0.0009968280792236328, 0.0009925365447998047, 0.0020051002502441406, 0.0020058155059814453, 0.0019943714141845703, 0.002006053924560547, 0.0020058155059814453]",0.0009970664978027344,0.04499459266662598
20,"[0.021198749542236328, 0.026844501495361328, 0.021369218826293945, 0.03013896942138672, 0.02977919578552246, 0.026561260223388672, 0.025638818740844727, 0.02198314666748047, 0.02092719078063965, 0.02251291275024414]","[0.004000425338745117, 0.00600886344909668, 0.01900625228881836, 0.0060117244720458984, 0.00717926025390625, 0.003021717071533203, 0.0030045509338378906, 0.0030062198638916016, 0.006006002426147461]",0.002078533172607422,0.05153656005859375
21,"[0.02989959716796875, 0.020723581314086914, 0.03345322608947754, 0.032267093658447266, 0.030210018157958984, 0.02923130989074707, 0.031783103942871094, 0.029491186141967773, 0.030415773391723633, 0.030736684799194336]","[0.13380765914916992, 0.1392078399658203, 0.007002592086791992, 0.044132232666015625, 0.531273603439331, 0.006494760513305664, 0.03500175476074219, 0.036002397537231445, 0.005005598068237305]",0.004099607467651367,0.051070213317871094
22,"[0.02727985382080078, 0.02219390869140625, 0.029275894165039062, 0.029690980911254883, 0.030344486236572266, 0.033994197845458984, 0.026322603225708008, 0.028546810150146484, 0.02895212173461914, 0.026270627975463867]","[0.0075321197509765625, 0.0848236083984375, 0.06955981254577637, 0.04128122329711914, 0.07278919219970703, 0.15338349342346191, 0.007013082504272461, 0.13689494132995605, 0.027167797088623047]",0.004148960113525391,0.042801856994628906
23,"[0.02007126808166504, 0.013221502304077148, 0.012165307998657227, 0.013224124908447266, 0.013994455337524414, 0.010993719100952148, 0.010155677795410156, 0.012935638427734375, 0.01083993911743164, 0.011069297790527344]","[0.0010077953338623047, 0.001007080078125, 0.0, 0.0010075569152832031, 0.0010075569152832031, 0.0010101795196533203, 0.0010097026824951172, 0.001008749008178711, 0.0010089874267578125]",0.00099945068359375,0.010994911193847656
24,"[0.029906034469604492, 0.017929792404174805, 0.018107175827026367, 0.018564939498901367, 0.04362821578979492, 0.01809382438659668, 0.018624544143676758, 0.022403240203857422, 0.016078472137451172, 0.01714491844177246]","[0.0030069351196289062, 0.0010137557983398438, 0.21795940399169922, 0.0020067691802978516, 0.0020072460174560547, 0.001999378204345703, 0.0020055770874023438, 0.0020055770874023438, 0.0010063648223876953]",0.0009989738464355469,0.04991555213928223
25,"[0.01863408088684082, 0.0228426456451416, 0.022234678268432617, 0.02499532699584961, 0.01931285858154297, 0.03019118309020996, 0.024894237518310547, 0.02306818962097168, 0.02458357810974121, 0.024041175842285156]","[0.007005214691162109, 0.0053558349609375, 0.004998207092285156, 0.0149993896484375, 0.011998653411865234, 0.003993034362792969, 0.01900768280029297, 0.01310586929321289, 0.025071144104003906]",0.00200653076171875,0.06769466400146484
26,"[0.025335073471069336, 0.017992734909057617, 0.017732858657836914, 0.018911361694335938, 0.01700139045715332, 0.0174562931060791, 0.017688989639282227, 0.014379024505615234, 0.014714956283569336, 0.015319585800170898]","[0.0010116100311279297, 0.0010085105895996094, 0.0010075569152832031, 0.001007080078125, 0.0010066032409667969, 0.0035316944122314453, 0.0020067691802978516, 0.002006053924560547, 0.0030045509338378906]",0.0009989738464355469,0.04201555252075195
27,"[0.019821643829345703, 0.020087242126464844, 0.02033519744873047, 0.017699241638183594, 0.024543046951293945, 0.025614500045776367, 0.01806044578552246, 0.03240799903869629, 0.025126218795776367, 0.020699024200439453]","[0.004004716873168945, 0.0030062198638916016, 0.0070056915283203125, 0.002006053924560547, 0.004014730453491211, 0.0020051002502441406, 0.021650075912475586, 0.0020067691802978516, 0.0019960403442382812]",0.0019991397857666016,0.04512166976928711
