,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.04848027229309082, 0.029980897903442383, 0.023938894271850586, 0.018396854400634766, 0.020520925521850586, 0.023647308349609375, 0.019974470138549805, 0.017271041870117188, 0.019809722900390625, 0.01990532875061035]","[0.005006551742553711, 0.0015215873718261719, 0.003004312515258789, 0.0030052661895751953, 0.0029952526092529297, 0.0015137195587158203, 0.0009958744049072266, 0.0018951892852783203, 0.002009868621826172]",0.001999378204345703,0.04759478569030762
1,"[0.04336214065551758, 0.026854276657104492, 0.03853797912597656, 0.03294491767883301, 0.030171632766723633, 0.023217439651489258, 0.0253908634185791, 0.031226158142089844, 0.02673625946044922, 0.03028392791748047]","[0.004999637603759766, 0.009006023406982422, 0.004005908966064453, 0.004006385803222656, 0.004004955291748047, 0.0040149688720703125, 0.003004789352416992, 0.006003618240356445, 0.0030090808868408203]",0.001928567886352539,0.04615974426269531
2,"[0.031853675842285156, 0.02518630027770996, 0.02611565589904785, 0.023585081100463867, 0.028894662857055664, 0.021693706512451172, 0.02788519859313965, 0.028534412384033203, 0.02171492576599121, 0.020671367645263672]","[0.008998870849609375, 0.0030069351196289062, 0.010022163391113281, 0.0020067691802978516, 0.00853419303894043, 0.0030059814453125, 0.0030069351196289062, 0.0030090808868408203, 0.004008054733276367]",0.001997232437133789,0.046933889389038086
3,"[0.03979349136352539, 0.027368783950805664, 0.025741100311279297, 0.031416893005371094, 0.028071880340576172, 0.029486894607543945, 0.025926589965820312, 0.02904224395751953, 0.03032374382019043, 0.022404193878173828]","[0.00299835205078125, 0.02910923957824707, 0.0020062923431396484, 0.003004789352416992, 0.0029993057250976562, 0.0030057430267333984, 0.003006458282470703, 0.0030057430267333984, 0.018103837966918945]",0.0009958744049072266,0.05008435249328613
4,"[0.03289151191711426, 0.026053905487060547, 0.033300161361694336, 0.03812909126281738, 0.037827253341674805, 0.03681182861328125, 0.033935546875, 0.03256869316101074, 0.03315258026123047, 0.02936077117919922]","[0.5075826644897461, 2.435054302215576, 0.3370628356933594, 0.5827538967132568, 0.35951757431030273, 0.4264395236968994, 0.397097110748291, 0.35203099250793457, 0.29523420333862305]",0.0019888877868652344,0.04549837112426758
5,"[0.044930458068847656, 0.025447607040405273, 0.027252912521362305, 0.03250908851623535, 0.02592778205871582, 0.028792381286621094, 0.023833036422729492, 0.030896663665771484, 0.022154569625854492, 0.027601003646850586]","[0.0070056915283203125, 0.00200653076171875, 0.0030059814453125, 0.011670827865600586, 0.009007692337036133, 0.004001140594482422, 0.003006458282470703, 0.004004240036010742, 0.004999637603759766]",0.0010001659393310547,0.05838346481323242
6,"[0.03620505332946777, 0.02864694595336914, 0.03504347801208496, 0.03409290313720703, 0.033957719802856445, 0.028071880340576172, 0.030913114547729492, 0.029420852661132812, 0.02858424186706543, 0.027238845825195312]","[0.011004924774169922, 0.008997678756713867, 0.003004789352416992, 0.0035305023193359375, 0.004009723663330078, 0.0037775039672851562, 0.004233121871948242, 0.004003763198852539, 0.02062249183654785]",0.0036559104919433594,0.050931692123413086
7,"[0.029616117477416992, 0.02506256103515625, 0.03171062469482422, 0.026635169982910156, 0.024431228637695312, 0.03075098991394043, 0.024140119552612305, 0.032495737075805664, 0.02879786491394043, 0.022286415100097656]","[0.06455850601196289, 0.002006053924560547, 0.0020067691802978516, 0.006998300552368164, 0.0030062198638916016, 0.007953166961669922, 0.004009246826171875, 0.004000186920166016, 0.004006385803222656]",0.002008199691772461,0.042510986328125
8,"[0.04020333290100098, 0.025272607803344727, 0.031061649322509766, 0.028717041015625, 0.02516460418701172, 0.025122880935668945, 0.02566385269165039, 0.024751901626586914, 0.02285003662109375, 0.03041219711303711]","[0.009006023406982422, 0.0020062923431396484, 0.0030059814453125, 0.0030057430267333984, 0.00252532958984375, 0.0030062198638916016, 0.0030052661895751953, 0.020632266998291016, 0.004000425338745117]",0.0021092891693115234,0.04887795448303223
9,"[0.038374900817871094, 0.01992058753967285, 0.02180767059326172, 0.019127845764160156, 0.019581079483032227, 0.021131277084350586, 0.021806716918945312, 0.022460460662841797, 0.018189191818237305, 0.02370166778564453]","[0.0020058155059814453, 0.0020055770874023438, 0.0020067691802978516, 0.0020046234130859375, 0.0020046234130859375, 0.002006053924560547, 0.001890420913696289, 0.002021312713623047, 0.002010345458984375]",0.0009999275207519531,0.04628396034240723
10,"[0.03345370292663574, 0.020894289016723633, 0.02677464485168457, 0.02721691131591797, 0.02171158790588379, 0.02669239044189453, 0.027997255325317383, 0.026182889938354492, 0.02616715431213379, 0.02261042594909668]","[0.002006053924560547, 0.005005359649658203, 0.0030059814453125, 0.003005504608154297, 0.0019991397857666016, 0.0020067691802978516, 0.0030062198638916016, 0.0030040740966796875, 0.004019737243652344]",0.002006053924560547,0.05279421806335449
11,"[0.02780008316040039, 0.028583288192749023, 0.03281688690185547, 0.02626490592956543, 0.03650546073913574, 0.02912163734436035, 0.026139497756958008, 0.028977632522583008, 0.040993452072143555, 0.03283858299255371]","[0.0060062408447265625, 0.003021240234375, 0.06891679763793945, 0.004007577896118164, 0.004046916961669922, 0.0040056705474853516, 0.0040056705474853516, 0.004006862640380859, 0.004546403884887695]",0.0019969940185546875,0.04115033149719238
12,"[0.03218364715576172, 0.023133039474487305, 0.02906203269958496, 0.029394149780273438, 0.027303695678710938, 0.026519775390625, 0.025766849517822266, 0.029787778854370117, 0.0320286750793457, 0.027345895767211914]","[0.0032918453216552734, 0.0034410953521728516, 0.003012418746948242, 0.003013134002685547, 0.0030083656311035156, 0.0030126571655273438, 0.003004789352416992, 0.003005504608154297, 0.0030074119567871094]",0.0009953975677490234,0.04627823829650879
13,"[0.025910377502441406, 0.02458024024963379, 0.02634263038635254, 0.028223514556884766, 0.03226900100708008, 0.020943641662597656, 0.02456212043762207, 0.021354198455810547, 0.02257704734802246, 0.02727651596069336]","[0.00907135009765625, 0.0030059814453125, 0.01366424560546875, 0.0030066967010498047, 0.007007122039794922, 0.0040056705474853516, 0.003004312515258789, 0.0030050277709960938, 0.043088436126708984]",0.002034425735473633,0.048599958419799805
14,"[0.03212714195251465, 0.028531789779663086, 0.025522708892822266, 0.030465126037597656, 0.025998830795288086, 0.03271794319152832, 0.025931835174560547, 0.025681734085083008, 0.02768731117248535, 0.026253700256347656]","[0.011012792587280273, 0.0060236454010009766, 0.010005950927734375, 0.042848825454711914, 0.04001784324645996, 0.025293827056884766, 0.007019758224487305, 0.010006189346313477, 0.015019655227661133]",0.0019996166229248047,0.057045936584472656
15,"[0.03125476837158203, 0.022902727127075195, 0.022305011749267578, 0.020913124084472656, 0.024723052978515625, 0.02582263946533203, 0.021848201751708984, 0.024186372756958008, 0.024280786514282227, 0.02397751808166504]","[0.0019941329956054688, 0.002005338668823242, 0.0020067691802978516, 0.0020058155059814453, 0.0020143985748291016, 0.002651691436767578, 0.0020036697387695312, 0.0020062923431396484, 0.002005338668823242]",0.0,0.03702664375305176
16,"[0.03505301475524902, 0.028525352478027344, 0.025724172592163086, 0.02451038360595703, 0.026390790939331055, 0.02611255645751953, 0.02799510955810547, 0.029995441436767578, 0.03130316734313965, 0.027992725372314453]","[0.003998279571533203, 0.0030069351196289062, 0.0030059814453125, 0.0030052661895751953, 0.0030062198638916016, 0.0040051937103271484, 0.0030057430267333984, 0.0030057430267333984, 0.003008604049682617]",0.0010845661163330078,0.04301571846008301
17,"[0.026639938354492188, 0.024645566940307617, 0.02289104461669922, 0.03203558921813965, 0.02513289451599121, 0.025175094604492188, 0.029677391052246094, 0.024046659469604492, 0.03346967697143555, 0.027127742767333984]","[0.002998828887939453, 0.0019989013671875, 0.001992464065551758, 0.002003192901611328, 0.013838768005371094, 0.0055658817291259766, 0.005099296569824219, 0.13039302825927734, 0.0040056705474853516]",0.0018458366394042969,0.05549883842468262
18,"[0.025902748107910156, 0.023563385009765625, 0.02114558219909668, 0.020743370056152344, 0.018648386001586914, 0.01927328109741211, 0.018817663192749023, 0.018262386322021484, 0.0164337158203125, 0.01495504379272461]","[0.002007007598876953, 0.0010066032409667969, 0.00200653076171875, 0.00200653076171875, 0.0010066032409667969, 0.002006053924560547, 0.0010063648223876953, 0.002008199691772461, 0.0010111331939697266]",0.0009989738464355469,0.04732942581176758
19,"[0.028567075729370117, 0.021509408950805664, 0.02337932586669922, 0.026134014129638672, 0.022046804428100586, 0.020060300827026367, 0.02124762535095215, 0.02784419059753418, 0.022885799407958984, 0.023952960968017578]","[0.004010200500488281, 0.006001949310302734, 0.0020062923431396484, 0.0020024776458740234, 0.0040051937103271484, 0.010007619857788086, 0.004009723663330078, 0.00353240966796875, 0.00800633430480957]",0.0019910335540771484,0.0494685173034668
20,"[0.03501486778259277, 0.021576881408691406, 0.03088998794555664, 0.024756669998168945, 0.0270693302154541, 0.025916576385498047, 0.027280330657958984, 0.028010129928588867, 0.032405853271484375, 0.029468536376953125]","[0.005005598068237305, 0.004006624221801758, 0.003015279769897461, 0.0030465126037597656, 0.008007526397705078, 0.0030066967010498047, 0.029070377349853516, 0.003131389617919922, 0.0040018558502197266]",0.0015702247619628906,0.04648399353027344
