,0
0,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""same_shape""]
    4 --> 5[""filter_material_rubber""]
    5 --> 6[""count""]
"
1,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 7[""filter_color_gray""]
    2 --> 3[""filter_color_cyan""]
    3 --> 4[""filter_shape_cube""]
    4 --> 5[""unique""]
    5 --> 6[""relate_behind""]
    6 --> 11[""AND""]
    7 --> 8[""filter_shape_cube""]
    8 --> 9[""unique""]
    9 --> 10[""relate_left""]
    10 --> 11
    11 --> 12[""filter_material_metal""]
    12 --> 13[""count""]
"
2,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 5[""same_color""]
    5 --> 6[""filter_shape_sphere""]
    6 --> 7[""filter_size_small""]
    7 --> 9[""count""]
"
3,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    1 --> 5[""filter_color_green""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""filter_shape_cylinder""]
    4 --> 11[""OR""]
    5 --> 6[""filter_shape_cylinder""]
    6 --> 7[""unique""]
    7 --> 8[""relate_right""]
    8 --> 10[""filter_material_metal""]
    9[""filter_shape_cylinder""] --> 11
    10 --> 9
    11 --> 12[""count""]
"
4,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_left""]
    5 --> 6[""filter_shape_cylinder""]
    6 --> 7[""unique""]
    7 --> 8[""relate_in_front""]
    8 --> 9[""filter_shape_cylinder""]
    9 --> 10[""filter_size_large""]
    10 --> 11[""filter_material_rubber""]
    11 --> 12[""unique""]
    12 --> 13[""relate_right""]
    13 --> 14[""filter_size_large""]
    14 --> 15[""count""]
"
5,"graph LR
    1[""scene""] --> 2[""filter_shape_cube""]
    1 --> 7[""filter_color_brown""]
    2 --> 3[""unique""]
    3 --> 4[""relate_behind""]
    4 --> 5[""filter_material_rubber""]
    5 --> 6[""unique""]
    6 --> 11[""equal_size""]
    7 --> 8[""filter_shape_cylinder""]
    8 --> 9[""filter_material_metal""]
    9 --> 10[""unique""]
    10 --> 11
"
6,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 10[""filter_size_small""]
    2 --> 3[""filter_color_blue""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""filter_shape_cube""]
    5 --> 6[""unique""]
    6 --> 7[""relate_right""]
    7 --> 8[""filter_material_rubber""]
    8 --> 9[""unique""]
    9 --> 14[""equal_color""]
    10 --> 11[""filter_material_metal""]
    11 --> 12[""filter_shape_sphere""]
    12 --> 13[""unique""]
    13 --> 14
"
7,"graph LR
    1[""scene""] --> 2[""filter_material_rubber""]
    1 --> 8[""filter_color_blue""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    5 --> 6[""filter_size_small""]
    6 --> 7[""unique""]
    7 --> 11[""equal_shape""]
    8 --> 9[""filter_size_large""]
    9 --> 10[""unique""]
    10 --> 11
"
8,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    1 --> 8[""filter_shape_cube""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    4 --> 5[""filter_size_small""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 11[""equal_color""]
    8 --> 9[""filter_material_rubber""]
    9 --> 10[""unique""]
    10 --> 11
"
9,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 7[""filter_material_metal""]
    2 --> 3[""filter_color_brown""]
    3 --> 5[""filter_material_metal""]
    4[""filter_shape_sphere""] --> 6[""count""]
    5 --> 4
    6 --> 9[""less_than""]
    7 --> 8[""count""]
    8 --> 9
"
10,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_gray""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""filter_shape_cylinder""]
    5 --> 6[""unique""]
    6 --> 7[""relate_right""]
    7 --> 8[""filter_size_large""]
    8 --> 9[""filter_material_metal""]
    9 --> 10[""filter_shape_sphere""]
    10 --> 11[""unique""]
    11 --> 12[""query_color""]
"
11,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 6[""filter_size_small""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 5[""relate_left""]
    5 --> 10[""And""]
    6 --> 7[""filter_shape_sphere""]
    7 --> 8[""unique""]
    8 --> 9[""relate_behind""]
    9 --> 10
    10 --> 11[""filter_shape_cylinder""]
    11 --> 12[""unique""]
    12 --> 13[""query_size""]
"
