,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.17943930625915527, 0.03458404541015625, 0.034898996353149414, 0.026231765747070312, 0.02780604362487793, 0.025570154190063477, 0.027077913284301758]","[0.0011088848114013672, 0.0009028911590576172, 0.0008738040924072266, 0.0008566379547119141, 0.0009138584136962891, 0.0009400844573974609]",0.00036907196044921875,0.056166887283325195
1,"[0.028666019439697266, 0.008897066116333008, 0.008901834487915039, 0.008505105972290039, 0.009825944900512695, 0.008723974227905273, 0.0056912899017333984]","[0.0017440319061279297, 0.001544952392578125, 0.0016567707061767578, 0.0016129016876220703, 0.0016372203826904297, 0.0016558170318603516]",0.0007910728454589844,0.05366015434265137
2,"[0.02373790740966797, 0.009365081787109375, 0.007077693939208984, 0.007382869720458984, 0.007242918014526367, 0.006630897521972656, 0.0054280757904052734]","[0.0017852783203125, 0.0010187625885009766, 0.0010371208190917969, 0.0010368824005126953, 0.0019690990447998047, 0.0010421276092529297]",0.0006258487701416016,0.05575919151306152
3,"[0.022701025009155273, 0.00896000862121582, 0.007836341857910156, 0.008023977279663086, 0.007879972457885742, 0.007920026779174805, 0.0052301883697509766]","[0.008121967315673828, 0.006728172302246094, 0.0013689994812011719, 0.0014269351959228516, 0.001402139663696289, 0.0014719963073730469]",0.0008177757263183594,0.055480241775512695
4,"[0.021925926208496094, 0.010716915130615234, 0.011540412902832031, 0.010698080062866211, 0.007791996002197266, 0.006551027297973633, 0.007193803787231445]","[0.0018000602722167969, 0.06696605682373047, 0.2637970447540283, 0.0021610260009765625, 0.002460956573486328, 0.002534151077270508]",0.0011029243469238281,0.05643510818481445
5,"[0.023226261138916016, 0.011759757995605469, 0.008394002914428711, 0.008843183517456055, 0.005955934524536133, 0.008749008178710938, 0.005311012268066406]","[0.001255035400390625, 0.0011742115020751953, 0.0014798641204833984, 0.0012400150299072266, 0.0034301280975341797, 0.001196146011352539]",0.0007059574127197266,0.054266929626464844
6,"[0.022452116012573242, 0.009415864944458008, 0.008906841278076172, 0.009467840194702148, 0.008657693862915039, 0.00872182846069336, 0.006300926208496094]","[0.01705336570739746, 0.0015950202941894531, 0.011726856231689453, 0.0020530223846435547, 0.00201416015625, 0.0031681060791015625]",0.00109100341796875,0.05655097961425781
7,"[0.007764101028442383, 0.008578062057495117, 0.007563114166259766, 0.007806062698364258, 0.0077130794525146484, 0.007548093795776367, 0.005175113677978516]","[0.0012607574462890625, 0.0010650157928466797, 0.0011811256408691406, 0.0011620521545410156, 0.001531839370727539, 0.001116037368774414]",0.0008790493011474609,0.053125858306884766
8,"[0.00729823112487793, 0.007236957550048828, 0.0074999332427978516, 0.008043050765991211, 0.007455110549926758, 0.008205652236938477, 0.005141019821166992]","[0.0012619495391845703, 0.001230001449584961, 0.003523111343383789, 0.001252889633178711, 0.008070230484008789, 0.0015749931335449219]",0.0008268356323242188,0.054121971130371094
9,"[0.00652003288269043, 0.005250215530395508, 0.004826068878173828, 0.006673336029052734, 0.006696939468383789, 0.006618022918701172, 0.006131887435913086]","[0.0014851093292236328, 0.0009198188781738281, 0.0009181499481201172, 0.0009522438049316406, 0.0009548664093017578, 0.0010251998901367188]",0.0006120204925537109,0.05352497100830078
10,"[0.0056879520416259766, 0.005255937576293945, 0.004780769348144531, 0.007608175277709961, 0.0077059268951416016, 0.007493019104003906, 0.008799076080322266]","[0.0012369155883789062, 0.002875089645385742, 0.0013170242309570312, 0.0012018680572509766, 0.001171112060546875, 0.0014088153839111328]",0.0007038116455078125,0.05431723594665527
11,"[0.0377810001373291, 0.005465269088745117, 0.009888887405395508, 0.008184194564819336, 0.0054509639739990234, 0.00492405891418457, 0.007303953170776367]","[0.0014748573303222656, 0.0014150142669677734, 0.0013489723205566406, 0.001397848129272461, 0.0014338493347167969, 0.0013890266418457031]",0.0006718635559082031,0.05368614196777344
12,"[0.009327173233032227, 0.005982875823974609, 0.008603811264038086, 0.005002260208129883, 0.005209684371948242, 0.005053997039794922, 0.008918046951293945]","[0.0015001296997070312, 0.0014116764068603516, 0.001363992691040039, 0.0015120506286621094, 0.0014040470123291016, 0.001589059829711914]",0.0006897449493408203,0.05192422866821289
13,"[0.00652623176574707, 0.005426168441772461, 0.004929065704345703, 0.00504302978515625, 0.006477832794189453, 0.006438016891479492, 0.006534099578857422]","[0.0009620189666748047, 0.0008249282836914062, 0.0010600090026855469, 0.0008959770202636719, 0.0009570121765136719, 0.0008757114410400391]",0.0005929470062255859,0.05315709114074707
14,"[0.024851322174072266, 0.008181095123291016, 0.006429195404052734, 0.008100748062133789, 0.007871150970458984, 0.011070966720581055, 0.007730007171630859]","[0.0008969306945800781, 0.0008051395416259766, 0.0007658004760742188, 0.0007839202880859375, 0.0007717609405517578, 0.0010449886322021484]",0.0006520748138427734,0.05409598350524902
15,"[0.020885944366455078, 0.006462812423706055, 0.0048427581787109375, 0.008035898208618164, 0.007137775421142578, 0.008954763412475586, 0.0072519779205322266]","[0.0010371208190917969, 0.001049041748046875, 0.0011630058288574219, 0.0010459423065185547, 0.001177072525024414, 0.0010669231414794922]",0.0005671977996826172,0.05144500732421875
16,"[0.018597126007080078, 0.008839845657348633, 0.00922083854675293, 0.009692907333374023, 0.009418964385986328, 0.009430885314941406, 0.006535768508911133]","[0.0012729167938232422, 0.0011739730834960938, 0.0012359619140625, 0.0019459724426269531, 0.0013120174407958984, 0.0012192726135253906]",0.0007119178771972656,0.05391383171081543
17,"[0.007249116897583008, 0.005086183547973633, 0.007171154022216797, 0.007299184799194336, 0.005711078643798828, 0.007395029067993164, 0.005714893341064453]","[0.0017359256744384766, 0.0009510517120361328, 0.0011341571807861328, 0.001062154769897461, 0.0010030269622802734, 0.0010838508605957031]",0.0006351470947265625,0.05329108238220215
18,"[0.02166891098022461, 0.0053179264068603516, 0.004612922668457031, 0.006200075149536133, 0.0053310394287109375, 0.005277872085571289, 0.006110191345214844]","[0.0006520748138427734, 0.000553131103515625, 0.0005371570587158203, 0.0005462169647216797, 0.0005161762237548828, 0.0005357265472412109]",0.00032830238342285156,0.05206179618835449
19,"[0.021209716796875, 0.008145332336425781, 0.005925893783569336, 0.006929874420166016, 0.008552074432373047, 0.01038503646850586, 0.006319999694824219]","[0.0008592605590820312, 0.0008268356323242188, 0.0007269382476806641, 0.0007309913635253906, 0.0007331371307373047, 0.0009131431579589844]",0.0004782676696777344,0.05502891540527344
20,"[0.008054018020629883, 0.007543087005615234, 0.008121967315673828, 0.005583047866821289, 0.008150815963745117, 0.00809478759765625, 0.007776975631713867]","[0.0029408931732177734, 0.0013580322265625, 0.0014009475708007812, 0.0013349056243896484, 0.0013599395751953125, 0.003674030303955078]",0.0008301734924316406,0.054277896881103516
