,embedding_runtime,graph_matching_runtime,problem_build_runtimes,problem_solve_runtimes
0,"[0.05901789665222168, 0.030484676361083984]",[0.014018535614013672],0.0019991397857666016,0.0467219352722168
1,"[0.05898928642272949, 0.032994985580444336]",[0.004998683929443359],0.0009758472442626953,0.04308056831359863
2,"[0.04834389686584473, 0.029994487762451172]",[0.0010073184967041016],0.0,0.023030996322631836
3,"[0.09531950950622559, 0.0262300968170166]",[0.029393434524536133],0.0011289119720458984,0.04098224639892578
4,"[0.05629563331604004, 0.03351235389709473]",[0.003000497817993164],0.0010027885437011719,0.026923179626464844
5,"[0.04196023941040039, 0.034227848052978516]",[0.0189974308013916],0.0010673999786376953,0.04660367965698242
6,"[0.05602455139160156, 0.038752079010009766]",[0.010004997253417969],0.0010459423065185547,0.04036092758178711
7,"[0.06296634674072266, 0.032773494720458984]",[0.0525815486907959],0.0010061264038085938,0.0428311824798584
8,"[0.04296398162841797, 0.041503190994262695]",[0.004996538162231445],0.000993490219116211,0.04101300239562988
9,"[0.035541534423828125, 0.030064105987548828]",[0.0020008087158203125],0.000993967056274414,0.034075260162353516
10,"[0.04885697364807129, 0.02849102020263672]",[0.0021219253540039062],0.0010333061218261719,0.02570796012878418
11,"[0.03700518608093262, 0.03235197067260742]",[0.06499934196472168],0.0018990039825439453,0.05107402801513672
12,"[0.04499316215515137, 0.03982067108154297]",[0.0030095577239990234],0.0009691715240478516,0.025071144104003906
13,"[0.02914905548095703, 0.03279542922973633]",[0.0030052661895751953],0.0008955001831054688,0.02274608612060547
14,"[0.05205488204956055, 0.03245210647583008]",[0.0025272369384765625],0.0019767284393310547,0.04597878456115723
15,"[0.03330278396606445, 0.03333616256713867]",[0.003997325897216797],0.0009963512420654297,0.023180484771728516
16,"[0.04800295829772949, 0.031668901443481445]",[0.0030269622802734375],0.0009565353393554688,0.02659893035888672
17,"[0.043039798736572266, 0.02927541732788086]",[0.0020051002502441406],0.0005626678466796875,0.0267181396484375
18,"[0.02892303466796875, 0.02600836753845215]",[0.001008749008178711],0.0005488395690917969,0.011942386627197266
19,"[0.028888225555419922, 0.029398679733276367]",[0.0020062923431396484],0.0005619525909423828,0.022368431091308594
20,"[0.02831244468688965, 0.031161785125732422]",[0.004000186920166016],0.0010004043579101562,0.029627561569213867
21,"[0.03583025932312012, 0.03882598876953125]",[0.006123781204223633],0.001008749008178711,0.03995490074157715
22,"[0.026595354080200195, 0.03269529342651367]",[0.0019998550415039062],0.0010094642639160156,0.02707219123840332
23,"[0.018994808197021484, 0.016419410705566406]",[0.0010097026824951172],0.0,0.010442733764648438
24,"[0.026836156845092773, 0.018900632858276367]",[0.002004861831665039],0.003101348876953125,0.02494668960571289
25,"[0.023218154907226562, 0.022438526153564453]",[0.0020058155059814453],0.0010449886322021484,0.02505779266357422
26,"[0.02580738067626953, 0.025833606719970703]",[0.005068540573120117],0.0008418560028076172,0.0242156982421875
27,"[0.02695751190185547, 0.03706765174865723]",[0.004988670349121094],0.001007080078125,0.03950095176696777
28,"[0.024500370025634766, 0.04048275947570801]",[0.003862619400024414],0.0009522438049316406,0.0260312557220459
29,"[0.02484130859375, 0.0366823673248291]",[0.006005048751831055],0.000919342041015625,0.027000904083251953
30,"[0.023061513900756836, 0.029568910598754883]",[0.002003908157348633],0.0,0.03378725051879883
31,"[0.028210878372192383, 0.03536057472229004]",[0.0030078887939453125],0.0010120868682861328,0.0299990177154541
32,"[0.030881643295288086, 0.035666704177856445]",[0.0030210018157958984],0.0029630661010742188,0.03993558883666992
33,"[0.02014446258544922, 0.021252155303955078]",[0.0020058155059814453],0.0010001659393310547,0.009560585021972656
34,"[0.023714542388916016, 0.022478103637695312]",[0.0019991397857666016],0.0,0.023976802825927734
35,"[0.027983903884887695, 0.0339045524597168]",[0.0029954910278320312],0.0011022090911865234,0.023894786834716797
36,"[0.020863771438598633, 0.03757929801940918]",[0.006006002426147461],0.0009982585906982422,0.044167518615722656
37,"[0.030892610549926758, 0.03022170066833496]",[0.0055310726165771484],0.0009965896606445312,0.04542255401611328
38,"[0.037998199462890625, 0.04027128219604492]",[0.010991334915161133],0.0020024776458740234,0.040961503982543945
39,"[0.0718994140625, 0.03144335746765137]",[0.0030219554901123047],0.0009984970092773438,0.02651810646057129
40,"[0.04506111145019531, 0.035936594009399414]",[0.0030057430267333984],0.001998424530029297,0.04902529716491699
41,"[0.03305411338806152, 0.0211026668548584]",[0.0009992122650146484],0.0009775161743164062,0.04996991157531738
42,"[0.028704166412353516, 0.027016162872314453]",[0.0010216236114501953],0.001024484634399414,0.027029037475585938
43,"[0.031995296478271484, 0.029410600662231445]",[0.002008199691772461],0.002031564712524414,0.029056549072265625
44,"[0.02999281883239746, 0.023322105407714844]",[0.0070192813873291016],0.0009655952453613281,0.02706766128540039
45,"[0.03409719467163086, 0.03410625457763672]",[0.020128488540649414],0.0021011829376220703,0.057959556579589844
46,"[0.028070926666259766, 0.03850579261779785]",[0.05814385414123535],0.0010058879852294922,0.02877211570739746
47,"[0.02398061752319336, 0.028532028198242188]",[0.0020058155059814453],0.0010228157043457031,0.029018402099609375
48,"[0.050837039947509766, 0.02159595489501953]",[0.007999897003173828],0.0019936561584472656,0.042981863021850586
49,"[0.060170650482177734, 0.036911964416503906]",[0.005007028579711914],0.0009927749633789062,0.024914979934692383
50,"[0.05449938774108887, 0.0359041690826416]",[0.003995656967163086],0.001996278762817383,0.03060436248779297
51,"[0.04840660095214844, 0.02729487419128418]",[0.007007122039794922],0.0017211437225341797,0.041657447814941406
52,"[0.0412905216217041, 0.034938812255859375]",[0.0019958019256591797],0.0009872913360595703,0.02491140365600586
53,"[0.032500505447387695, 0.02222585678100586]",[0.0029976367950439453],0.000982046127319336,0.025018692016601562
54,"[0.04291176795959473, 0.030503511428833008]",[0.0010063648223876953],0.0010063648223876953,0.023022890090942383
55,"[0.05240654945373535, 0.036881446838378906]",[1.6575336456298828],0.00200653076171875,0.051918745040893555
56,"[0.03496193885803223, 0.026338577270507812]",[0.0020148754119873047],0.001993417739868164,0.025999069213867188
57,"[0.02750873565673828, 0.020598888397216797]",[0.002006053924560547],0.0009744167327880859,0.024004697799682617
58,"[0.025050878524780273, 0.025243759155273438]",[0.0019915103912353516],0.0009865760803222656,0.009035348892211914
59,"[0.06121540069580078, 0.034116506576538086]",[0.014017581939697266],0.0009906291961669922,0.038758039474487305
60,"[0.06541848182678223, 0.03761148452758789]",[0.004006147384643555],0.0009262561798095703,0.03904843330383301
61,"[0.029752016067504883, 0.026184558868408203]",[0.0010046958923339844],0.0009520053863525391,0.009061813354492188
62,"[0.046439170837402344, 0.018925905227661133]",[0.0050048828125],0.0010676383972167969,0.03778648376464844
63,"[0.035611867904663086, 0.034018516540527344]",[0.004003047943115234],0.0019865036010742188,0.02599477767944336
64,"[0.02857518196105957, 0.031683921813964844]",[0.03363347053527832],0.001003265380859375,0.04517865180969238
65,"[0.020621061325073242, 0.033719778060913086]",[0.0010001659393310547],0.0009715557098388672,0.026642560958862305
66,"[0.028027057647705078, 0.019397735595703125]",[0.0015022754669189453],0.000985860824584961,0.02324843406677246
67,"[0.027803897857666016, 0.021142244338989258]",[0.005007266998291016],0.001009225845336914,0.04100537300109863
68,"[0.03425288200378418, 0.03708815574645996]",[0.006007194519042969],0.0020437240600585938,0.03675365447998047
69,"[0.021485090255737305, 0.0389704704284668]",[0.00800633430480957],0.0016107559204101562,0.025693893432617188
70,"[0.03062582015991211, 0.0290524959564209]",[0.003005504608154297],0.000997304916381836,0.023952484130859375
