,group,child,parent
0,10,manipulation,influence
1,10,exposure,influence
2,10,cross-pollination,influence
3,10,mind game,manipulation
4,10,hypnotism,manipulation
5,10,blandishment,manipulation
6,10,enticement,manipulation
7,10,seduction,manipulation
8,10,ingratiation,manipulation
9,10,leading astray,manipulation
10,10,solicitation,manipulation
11,10,impingement,manipulation
12,10,overexposure,exposure
13,10,underexposure,exposure
14,101,tent,shelter
15,101,hut,shelter
16,101,safe house,shelter
17,101,fallout shelter,shelter
18,101,refuge,shelter
19,101,safehold,shelter
20,101,storm cellar,shelter
21,101,dugout,shelter
22,101,cookhouse,shelter
23,101,mantelet,shelter
24,101,sconce,shelter
25,101,harbor,shelter
26,101,loft,shelter
27,101,haven,shelter
28,101,igloo,hut
29,101,mudhif,hut
30,101,Nissen hut,hut
31,101,praetorium,hut
32,101,hovel,hut
33,101,lean-to tent,tent
34,101,two-man tent,tent
35,101,wall tent,tent
36,101,backpacking tent,tent
37,101,pup tent,tent
38,101,bell tent,tent
39,101,pop tent,tent
40,101,umbrella tent,tent
41,101,canvas tent,tent
42,101,fly tent,tent
43,101,pyramidal tent,tent
44,101,Sibley tent,tent
45,101,circus tent,tent
46,101,tepee,tent
47,101,cottage tent,tent
48,101,cabana,tent
49,101,tupik,tent
50,101,field tent,tent
51,101,mountain tent,tent
52,105,drum,percussion instrument
53,105,cymbal,percussion instrument
54,105,bell,percussion instrument
55,105,piano,percussion instrument
56,105,shaker,percussion instrument
57,105,frame drum,percussion instrument
58,105,keyboard percussion,percussion instrument
59,105,idiophone,percussion instrument
60,105,bass drum,drum
61,105,snare drum,drum
62,105,bongo,drum
63,105,tabor,drum
64,105,tenor drum,drum
65,105,tambour,drum
66,105,kettle,drum
67,105,steel drum,drum
68,105,zill,cymbal
69,105,high-hat cymbal,cymbal
70,105,carillon,bell
71,105,chime,bell
72,105,handbell,bell
73,105,grand piano,piano
74,105,upright,piano
75,105,mechanical piano,piano
76,105,baby grand,grand piano
77,105,concert grand,grand piano
78,105,spinet,upright
79,105,maraca,shaker
80,105,rain stick,shaker
81,105,tambourine,frame drum
82,105,timbrel,frame drum
83,105,marimba,keyboard percussion
84,105,glockenspiel,keyboard percussion
85,105,vibraphone,keyboard percussion
86,105,triangle,idiophone
87,105,bones,idiophone
88,105,gong,idiophone
89,105,lagerphone,idiophone
90,13,absorption coefficient,coefficient
91,13,coefficient of reflection,coefficient
92,13,coefficient of viscosity,coefficient
93,13,coefficient of self induction,coefficient
94,13,coefficient of elasticity,coefficient
95,13,drag coefficient,coefficient
96,13,coefficient of friction,coefficient
97,13,coefficient of expansion,coefficient
98,13,coefficient of mutual induction,coefficient
99,13,modulus,coefficient
100,13,transmittance,coefficient
101,13,weight,coefficient
102,13,bulk modulus,modulus
103,13,Young's modulus,modulus
104,13,modulus of rigidity,modulus
105,137,microcytic anemia,anemia
106,137,macrocytic anemia,anemia
107,137,hemolytic anemia,anemia
108,137,aplastic anemia,anemia
109,137,ischemia,anemia
110,137,iron deficiency anemia,microcytic anemia
111,137,chlorosis,iron deficiency anemia
112,137,thalassemia,microcytic anemia
113,137,cooley's anemia,thalassemia
114,137,sideroblastic anemia,microcytic anemia
115,137,megaloblastic anemia,macrocytic anemia
116,137,pernicious anemia,megaloblastic anemia
117,137,hyperchromic anemia,macrocytic anemia
118,137,sickle-cell anemia,hemolytic anemia
119,137,favism,hemolytic anemia
120,137,erythroblastosis fetalis,hemolytic anemia
121,137,hypoplastic anemia,aplastic anemia
122,137,fanconi's anemia,aplastic anemia
123,137,refractory anemia,aplastic anemia
124,137,metaplastic anemia,aplastic anemia
125,137,ischemic stroke,ischemia
126,137,transient ischemic attack,ischemia
127,138,marriage,marital status
128,138,widowhood,marital status
129,138,bachelorhood,marital status
130,138,spinsterhood,marital status
131,138,cuckoldom,marital status
132,138,civil union,marriage
133,138,common-law marriage,marriage
134,138,marriage of convenience,marriage
135,138,monogamy,marriage
136,138,polygamy,marriage
137,138,open marriage,marriage
138,138,sigeh,marriage
139,138,misalliance,marriage
140,138,mesalliance,marriage
141,138,endogamy,marriage
142,138,exogamy,marriage
143,138,serial monogamy,monogamy
144,138,monogyny,monogamy
145,138,monandry,monogamy
146,138,polygyny,polygamy
147,138,polyandry,polygamy
148,138,bigamy,polygamy
149,15,air travel,flight
150,15,sortie,flight
151,15,terrain flight,flight
152,15,blind flying,flight
153,15,tailspin,flight
154,15,acrobatics,flight
155,15,solo,flight
156,15,maiden flight,flight
157,15,overflight,flight
158,15,glide,flight
159,15,flyover,overflight
160,15,pass,terrain flight
161,15,ballooning,glide
162,15,parasailing,glide
163,15,hang gliding,glide
164,150,joke,humor
165,150,wit,humor
166,150,sight gag,humor
167,150,cartoon,humor
168,150,parody,humor
169,150,mock-heroic,humor
170,150,jocosity,humor
171,150,drollery,humor
172,150,ribaldry,humor
173,150,waggery,humor
174,150,fun,humor
175,150,belly laugh,humor
176,150,ethnic joke,joke
177,150,dirty joke,joke
178,150,sick joke,joke
179,150,one-liner,joke
180,150,pun,joke
181,150,in-joke,joke
182,150,funny story,joke
183,150,shaggy dog story,joke
184,150,topper,joke
185,150,badinage,wit
186,150,banter,wit
187,150,repartee,wit
188,150,bon mot,wit
189,150,jeu d'esprit,wit
190,150,persiflage,wit
191,150,esprit de l'escalier,wit
192,150,pungency,wit
193,150,sarcasm,wit
194,150,comic strip,cartoon
195,150,caricature,cartoon
196,17,adult education,education
197,17,continuing education,education
198,17,course,education
199,17,coeducation,education
200,17,extracurricular activity,education
201,17,elementary education,education
202,17,higher education,education
203,17,secondary education,education
204,17,work-study program,education
205,17,extension,continuing education
206,17,refresher course,continuing education
207,17,extension course,extension
208,17,correspondence course,course
209,17,home study,correspondence course
210,17,elective course,course
211,17,required course,course
212,17,course of lectures,course
213,17,workshop,course
214,17,seminar,course
215,17,orientation course,course
216,17,propaedeutic,course
217,17,art class,course
218,17,life class,art class
219,17,industrial arts,course
220,17,shop class,industrial arts
221,17,childbirth-preparation class,course
222,17,directed study,course
223,17,team teaching,course
224,17,athletics,extracurricular activity
225,17,dramatics,extracurricular activity
226,171,woodpecker,piciform bird
227,171,barbet,piciform bird
228,171,toucan,piciform bird
229,171,jacamar,piciform bird
230,171,puffbird,piciform bird
231,171,honey guide,piciform bird
232,171,piculet,woodpecker
233,171,woodpecker,woodpecker
234,171,sapsucker,woodpecker
235,171,flicker,woodpecker
236,171,wryneck,woodpecker
237,171,downy woodpecker,woodpecker
238,171,green woodpecker,woodpecker
239,171,redheaded woodpecker,woodpecker
240,171,ivorybill,woodpecker
241,171,red-breasted sapsucker,sapsucker
242,171,yellow-bellied sapsucker,sapsucker
243,171,yellow-shafted flicker,flicker
244,171,red-shafted flicker,flicker
245,171,gilded flicker,flicker
246,171,toucanet,toucan
247,177,guillemot,auk
248,177,murre,auk
249,177,razorbill,auk
250,177,auklet,auk
251,177,great auk,auk
252,177,little auk,auk
253,177,black guillemot,guillemot
254,177,pigeon guillemot,guillemot
255,177,common murre,murre
256,177,thick-billed murre,murre
257,180,apple,apple tree
258,180,crab apple,apple
259,180,wild apple,apple tree
260,180,crab apple tree,apple tree
261,180,wild crab,crab apple tree
262,180,American crab apple,crab apple tree
263,180,Southern crab apple,crab apple tree
264,180,Siberian crab,crab apple tree
265,180,Bechtel crab,crab apple tree
266,180,Iowa crab,crab apple tree
267,180,Oregon crab apple,crab apple tree
268,184,Initiation,Beginning
269,184,Start,Beginning
270,184,Foundation,Beginning
271,184,Societal Change,Beginning
272,184,Medical,Beginning
273,184,Sports,Beginning
274,184,Event,Beginning
275,184,Kickoff,Start
276,184,First Step,Start
277,184,Startup,Start
278,184,Resumption,Start
279,184,Introduction,Start
280,184,Induction,Initiation
281,184,Activation,Initiation
282,184,Inauguration,Initiation
283,184,Ushering in,Initiation
284,184,Induction of labor,Induction
285,184,Hypnogenesis,Induction
286,184,Installation,Activation
287,184,Kickoff (term),Kickoff
288,184,Tip-off,Kickoff
289,184,First step (term),First Step
290,184,Springboard,First Step
291,184,First base,First Step
