,child,parent,group
0,gram_atom,gram,514
1,gram_molecule,gram,514
2,liter,metric_capacity_unit,514
3,cubic_millimeter,metric_capacity_unit,514
4,cubic_kilometer,metric_capacity_unit,514
5,milliliter,metric_capacity_unit,514
6,centiliter,metric_capacity_unit,514
7,deciliter,metric_capacity_unit,514
8,dekaliter,metric_capacity_unit,514
9,hectoliter,metric_capacity_unit,514
10,kiloliter,metric_capacity_unit,514
11,meter,metric_linear_unit,514
12,angstrom,metric_linear_unit,514
13,femtometer,metric_linear_unit,514
14,picometer,metric_linear_unit,514
15,nanometer,metric_linear_unit,514
16,micron,metric_linear_unit,514
17,millimeter,metric_linear_unit,514
18,centimeter,metric_linear_unit,514
19,decimeter,metric_linear_unit,514
20,decameter,metric_linear_unit,514
21,hectometer,metric_linear_unit,514
22,kilometer,metric_linear_unit,514
23,myriameter,metric_linear_unit,514
24,metric_linear_unit,metric_unit,514
25,metric_weight_unit,metric_unit,514
26,metric_capacity_unit,metric_unit,514
27,key,metric_unit,514
28,gram,metric_weight_unit,514
29,carat,metric_weight_unit,514
30,grain,metric_weight_unit,514
31,hundredweight,metric_weight_unit,514
32,metric_ton,metric_weight_unit,514
33,centner,metric_weight_unit,514
34,quintal,metric_weight_unit,514
35,myriagram,metric_weight_unit,514
36,milligram,metric_weight_unit,514
37,decigram,metric_weight_unit,514
38,dekagram,metric_weight_unit,514
39,hectogram,metric_weight_unit,514
40,kilogram,metric_weight_unit,514
41,nanogram,metric_weight_unit,514
42,microgram,metric_weight_unit,514
0,panchen_lama,lama,515
1,dalai_lama,lama,515
2,vestal_virgin,priest,515
3,flamen,priest,515
4,druid,priest,515
5,lama,priest,515
6,shaman,priest,515
7,magus,priest,515
8,votary,priest,515
9,ezra,priest,515
10,medicine_man,shaman,515
11,rainmaker,shaman,515
12,hoodoo,shaman,515
13,rhea_silvia,vestal_virgin,515
14,bacchant,votary,515
15,bacchante,votary,515
0,median,average,5
1,mode,average,5
2,product-moment_correlation_coefficient,correlation_coefficient,5
3,tetrachoric_correlation_coefficient,correlation_coefficient,5
4,biserial_correlation_coefficient,correlation_coefficient,5
5,phi_coefficient,correlation_coefficient,5
6,multiple_correlation_coefficient,correlation_coefficient,5
7,rank-order_correlation_coefficient,correlation_coefficient,5
8,split-half_correlation,correlation_coefficient,5
9,age_norm,demographic,5
10,vital_statistics,demographic,5
11,mean_deviation,deviation,5
12,arithmetic_mean,mean,5
13,geometric_mean,mean,5
14,harmonic_mean,mean,5
15,second_moment,moment,5
16,kendall_test,nonparametric_statistic,5
17,coefficient_of_concordance,nonparametric_statistic,5
18,kendall_partial_rank_correlation,nonparametric_statistic,5
19,regression_coefficient,parametric_statistic,5
20,tau_coefficient_of_correlation,rank-order_correlation_coefficient,5
21,variance,second_moment,5
22,mean,statistic,5
23,deviation,statistic,5
24,moment,statistic,5
25,correlation_coefficient,statistic,5
26,covariance,statistic,5
27,parametric_statistic,statistic,5
28,nonparametric_statistic,statistic,5
29,demographic,statistic,5
30,time_series,statistic,5
31,outlier,statistic,5
32,average,statistic,5
33,standard_deviation,variance,5
0,quadrille,country-dance,8
1,longways,country-dance,8
