,child,parent,group
0,gram_atom,gram,514
1,gram_molecule,gram,514
2,liter,metric_capacity_unit,514
3,cubic_millimeter,metric_capacity_unit,514
4,cubic_kilometer,metric_capacity_unit,514
5,meter,metric_linear_unit,514
6,metric_linear_unit,metric_unit,514
7,metric_weight_unit,metric_unit,514
8,metric_capacity_unit,metric_unit,514
9,key,metric_unit,514
10,gram,metric_weight_unit,514
11,carat,metric_weight_unit,514
12,grain,metric_weight_unit,514
13,hundredweight,metric_weight_unit,514
14,metric_ton,metric_weight_unit,514
15,centner,metric_weight_unit,514
16,quintal,metric_weight_unit,514
17,myriagram,metric_weight_unit,514
0,panchen_lama,lama,515
1,dalai_lama,lama,515
2,vestal_virgin,priest,515
3,flamen,priest,515
4,druid,priest,515
5,lama,priest,515
6,shaman,priest,515
7,magus,priest,515
8,votary,priest,515
9,ezra,priest,515
10,medicine_man,shaman,515
11,rainmaker,shaman,515
12,rhea_silvia,vestal_virgin,515
13,bacchant,votary,515
14,bacchante,votary,515
0,product-moment_correlation_coefficient,correlation_coefficient,5
1,tetrachoric_correlation_coefficient,correlation_coefficient,5
2,biserial_correlation_coefficient,correlation_coefficient,5
3,phi_coefficient,correlation_coefficient,5
4,multiple_correlation_coefficient,correlation_coefficient,5
5,split-half_correlation,correlation_coefficient,5
6,age_norm,demographic,5
7,arithmetic_mean,mean,5
8,geometric_mean,mean,5
9,harmonic_mean,mean,5
10,second_moment,moment,5
11,kendall_test,nonparametric_statistic,5
12,regression_coefficient,parametric_statistic,5
13,demographic,statistic,5
14,time_series,statistic,5
0,quadrille,country-dance,8
1,longways,country-dance,8
2,landler,country-dance,8
3,highland_fling,country-dance,8
4,lancers,quadrille,8
5,virginia_reel,reel,8
6,eightsome,reel,8
7,do-si-do,square_dance,8
8,sashay,square_dance,8
9,promenade,square_dance,8
10,swing,square_dance,8
0,drug_addict,addict,9
1,withdrawer,addict,9
2,heroin_addict,drug_addict,9
3,cocaine_addict,drug_addict,9
4,opium_addict,drug_addict,9
5,speed_freak,drug_addict,9
6,head,drug_addict,9
7,caffeine_addict,drug_addict,9
8,hash_head,head,9
9,pothead,head,9
10,tripper,head,9
0,underexposure,exposure,10
1,overexposure,exposure,10
2,manipulation,influence,10
3,exposure,influence,10
4,cross-pollination,influence,10
5,mind_game,manipulation,10
6,seduction,manipulation,10
7,ingratiation,manipulation,10
8,leading_astray,manipulation,10
0,coefficient_of_self_induction,coefficient,13
1,coefficient_of_reflection,coefficient,13
2,coefficient_of_expansion,coefficient,13
3,coefficient_of_friction,coefficient,13
4,coefficient_of_mutual_induction,coefficient,13
5,coefficient_of_elasticity,coefficient,13
6,drag_coefficient,coefficient,13
7,coefficient_of_viscosity,coefficient,13
8,absorption_coefficient,coefficient,13
9,modulus,coefficient,13
10,transmittance,coefficient,13
11,weight,coefficient,13
12,young's_modulus,modulus,13
13,bulk_modulus,modulus,13
14,modulus_of_rigidity,modulus,13
0,chastity,abstinence,525
1,sobriety,abstinence,525
2,teetotaling,abstinence,525
3,hunger_strike,fast,525
4,abstinence,self-denial,525
5,asceticism,self-denial,525
6,inhibition,self-denial,525
