,child,parent,group
0,liter,metric_capacity_unit,514
1,milliliter,metric_capacity_unit,514
2,centiliter,metric_capacity_unit,514
3,deciliter,metric_capacity_unit,514
4,cubic_millimeter,metric_capacity_unit,514
5,cubic_kilometer,metric_capacity_unit,514
6,kiloliter,metric_capacity_unit,514
7,dekaliter,metric_capacity_unit,514
8,hectoliter,metric_capacity_unit,514
9,meter,metric_linear_unit,514
10,decimeter,metric_linear_unit,514
11,centimeter,metric_linear_unit,514
12,millimeter,metric_linear_unit,514
13,micron,metric_linear_unit,514
14,nanometer,metric_linear_unit,514
15,angstrom,metric_linear_unit,514
16,picometer,metric_linear_unit,514
17,hectometer,metric_linear_unit,514
18,kilometer,metric_linear_unit,514
19,myriameter,metric_linear_unit,514
20,femtometer,metric_linear_unit,514
21,metric_weight_unit,metric_unit,514
22,metric_capacity_unit,metric_unit,514
23,metric_linear_unit,metric_unit,514
24,kilogram,metric_weight_unit,514
25,gram,metric_weight_unit,514
26,milligram,metric_weight_unit,514
27,microgram,metric_weight_unit,514
28,nanogram,metric_weight_unit,514
29,decigram,metric_weight_unit,514
30,hectogram,metric_weight_unit,514
31,myriagram,metric_weight_unit,514
32,gram_molecule,metric_weight_unit,514
33,gram_atom,metric_weight_unit,514
34,carat,metric_weight_unit,514
35,hundredweight,metric_weight_unit,514
36,centner,metric_weight_unit,514
37,quintal,metric_weight_unit,514
38,metric_ton,metric_weight_unit,514
0,bacchant,bacchante,515
1,dalai_lama,lama,515
2,panchen_lama,lama,515
3,rainmaker,magus,515
4,medicine_man,magus,515
5,shaman,magus,515
6,vestal_virgin,priest,515
7,bacchante,priest,515
8,ezra,priest,515
9,druid,shaman,515
10,rhea_silvia,vestal_virgin,515
11,priest,votary,515
12,flamen,votary,515
13,magus,votary,515
14,lama,votary,515
15,hoodoo,votary,515
0,product-moment_correlation_coefficient,correlation_coefficient,5
1,phi_coefficient,correlation_coefficient,5
2,split-half_correlation,correlation_coefficient,5
3,multiple_correlation_coefficient,correlation_coefficient,5
4,mean_deviation,deviation,5
5,age_norm,deviation,5
6,outlier,deviation,5
7,covariance,deviation,5
8,moment,deviation,5
9,second_moment,moment,5
10,rank-order_correlation_coefficient,nonparametric_statistic,5
11,kendall_test,nonparametric_statistic,5
12,kendall_partial_rank_correlation,nonparametric_statistic,5
13,tau_coefficient_of_correlation,nonparametric_statistic,5
14,tetrachoric_correlation_coefficient,nonparametric_statistic,5
15,coefficient_of_concordance,nonparametric_statistic,5
16,biserial_correlation_coefficient,nonparametric_statistic,5
17,mean,parametric_statistic,5
18,median,parametric_statistic,5
19,mode,parametric_statistic,5
20,standard_deviation,parametric_statistic,5
21,variance,parametric_statistic,5
22,arithmetic_mean,parametric_statistic,5
23,geometric_mean,parametric_statistic,5
24,harmonic_mean,parametric_statistic,5
25,parametric_statistic,statistic,5
26,nonparametric_statistic,statistic,5
27,correlation_coefficient,statistic,5
28,regression_coefficient,statistic,5
29,deviation,statistic,5
30,time_series,statistic,5
31,vital_statistics,statistic,5
32,demographic,statistic,5
0,promenade,country-dance,8
1,square_dance,country-dance,8
2,reel,country-dance,8
3,highland_fling,promenade,8
4,quadrille,promenade,8
5,eightsome,reel,8
6,sashay,reel,8
7,longways,reel,8
8,lancers,reel,8
9,landler,reel,8
10,do-si-do,square_dance,8
11,virginia_reel,square_dance,8
0,head,drug_addict,9
1,opium_addict,drug_addict,9
2,cocaine_addict,drug_addict,9
3,caffeine_addict,drug_addict,9
4,speed_freak,drug_addict,9
5,addict,drug_addict,9
6,withdrawer,drug_addict,9
7,heroin_addict,drug_addict,9
8,crack_addict,drug_addict,9
9,drug_addict,drug_user,9
10,pothead,head,9
11,pill_head,head,9
12,acid_head,head,9
13,hash_head,head,9
14,tripper,head,9
0,underexposure,exposure,10
1,overexposure,exposure,10
2,exposure,influence,10
3,manipulation,influence,10
4,solicitation,influence,10
5,ingratiation,influence,10
6,seduction,influence,10
7,cross-pollination,influence,10
8,blandishment,ingratiation,10
9,hypnotism,manipulation,10
10,mind_game,manipulation,10
11,leading_astray,manipulation,10
12,enticement,solicitation,10
0,coefficient_of_expansion,coefficient,13
1,coefficient_of_elasticity,coefficient,13
2,coefficient_of_friction,coefficient,13
3,coefficient_of_viscosity,coefficient,13
4,coefficient_of_reflection,coefficient,13
5,coefficient_of_self_induction,coefficient,13
6,modulus,coefficient,13
7,drag_coefficient,coefficient,13
8,weight,coefficient,13
9,bulk_modulus,coefficient,13
10,young's_modulus,coefficient_of_elasticity,13
11,modulus_of_rigidity,coefficient_of_elasticity,13
12,transmittance,coefficient_of_reflection,13
13,coefficient_of_mutual_induction,coefficient_of_reflection,13
0,teetotaling,abstinence,525
1,sobriety,abstinence,525
2,mortification,abstinence,525
3,self-denial,abstinence,525
4,chastity,abstinence,525
5,inhibition,abstinence,525
6,asceticism,abstinence,525
7,hunger_strike,fast,525
8,sawm,mortification,525
9,ramadan,sawm,525
10,diet,sobriety,525
11,fast,sobriety,525
0,flyover,acrobatics,15
1,overflight,acrobatics,15
2,solo,air_travel,15
3,sortie,air_travel,15
4,air_travel,flight,15
5,ballooning,flight,15
6,glide,flight,15
7,maiden_flight,flight,15
8,acrobatics,flight,15
9,blind_flying,flight,15
10,pass,flight,15
11,terrain_flight,flyover,15
12,hang_gliding,glide,15
13,parasailing,glide,15
14,tailspin,pass,15
0,continuing_education,adult_education,17
1,extracurricular_activity,adult_education,17
2,team_teaching,adult_education,17
3,coeducation,adult_education,17
4,refresher_course,adult_education,17
5,correspondence_course,course,17
6,workshop,course,17
7,home_study,course,17
8,extension_course,course,17
9,elective_course,course,17
10,required_course,course,17
11,orientation_course,course,17
12,propaedeutic,course,17
13,directed_study,course,17
14,childbirth-preparation_class,course,17
15,work-study_program,course,17
16,extension,course_of_lectures,17
17,higher_education,education,17
18,secondary_education,education,17
19,elementary_education,education,17
20,adult_education,education,17
21,athletics,elective_course,17
22,industrial_arts,elementary_education,17
23,dramatics,extracurricular_activity,17
24,seminar,higher_education,17
25,course_of_lectures,higher_education,17
26,course,higher_education,17
27,shop_class,secondary_education,17
28,art_class,secondary_education,17
29,life_class,secondary_education,17
0,grand_larceny,larceny,531
1,petit_larceny,larceny,531
2,embezzlement,larceny,531
3,biopiracy,larceny,531
0,codefendant,defendant,532
1,accused,defendant,532
2,plaintiff,litigant,532
3,defendant,litigant,532
4,respondent,litigant,532
5,corespondent,litigant,532
6,filer,plaintiff,532
7,prevailing_party,respondent,532
8,suer,respondent,532
9,appellant,respondent,532
0,empathy,compassion,535
1,sympathy,compassion,535
2,concern,compassion,535
3,solicitude,compassion,535
4,heartstrings,compassion,535
5,forgiveness,compassion,535
6,compatibility,compassion,535
7,tenderness,heartstrings,535
8,kindheartedness,heartstrings,535
9,mercifulness,heartstrings,535
10,mellowness,heartstrings,535
11,softheartedness,heartstrings,535
12,commiseration,heartstrings,535
0,pygmy_marmoset,marmoset,24
1,titi,new_world_monkey,24
2,true_marmoset,new_world_monkey,24
3,marmoset,new_world_monkey,24
4,tamarin,new_world_monkey,24
5,pinche,new_world_monkey,24
6,douroucouli,new_world_monkey,24
7,uakari,new_world_monkey,24
8,howler_monkey,new_world_monkey,24
9,squirrel_monkey,new_world_monkey,24
10,spider_monkey,new_world_monkey,24
11,capuchin,new_world_monkey,24
12,woolly_monkey,new_world_monkey,24
13,saki,new_world_monkey,24
14,silky_tamarin,tamarin,24
0,clot,agglomeration,28
1,gob,agglomeration,28
2,knot,agglomeration,28
3,swad,agglomeration,28
4,tuft,agglomeration,28
5,ball,agglomeration,28
6,bunch,agglomeration,28
7,coma,agglomeration,28
8,omega_centauri,ball,28
9,northern_cross,ball,28
10,pleiades,ball,28
11,wisp,bunch,28
12,clew,bunch,28
13,witches'_broom,bunch,28
14,embolus,clot,28
15,thrombus,clot,28
0,eiderdown,down,33
1,goose_down,down,33
2,duck_down,down,33
3,swan's_down,down,33
4,marabou,down,33
5,down,feather,33
6,flight_feather,feather,33
7,plumule,feather,33
8,aftershaft,feather,33
9,primary,flight_feather,33
10,sickle_feather,flight_feather,33
11,hackle,flight_feather,33
12,tail_feather,flight_feather,33
13,contour_feather,flight_feather,33
14,bastard_wing,flight_feather,33
15,saddle_hackle,hackle,33
0,coup,conquest,36
1,sexual_conquest,conquest,36
2,strike,conquest,36
3,flying_colors,conquest,36
4,equalizer,conquest,36
5,point_after,conquest,36
6,overturn,coup,36
7,blockbuster,coup,36
8,own_goal,goal,36
9,bull's_eye,hit,36
10,open_frame,hit,36
11,conversion,passing,36
12,spare,passing,36
13,earned_run,run,36
14,unearned_run,run,36
15,run,score,36
16,touchdown,score,36
17,goal,score,36
18,basket,score,36
19,passing,score,36
20,solution,score,36
21,hit,score,36
22,run_batted_in,score,36
23,conquest,solution,36
24,break,solution,36
25,success,solution,36
26,winning,solution,36
27,seduction,solution,36
28,cuckoldry,solution,36
29,hat_trick,touchdown,36
30,sleeper,touchdown,36
31,bell_ringer,touchdown,36
32,safety,touchdown,36
33,field_goal,touchdown,36
0,trouser_cuff,cuff,42
1,coattail,cuff,42
2,pocket_flap,flap,42
3,tent-fly,flap,42
4,lapel,lap,42
5,flap,lap,42
6,lappet,lap,42
7,revers,lap,42
8,tongue,lap,42
9,cuff,lap,42
10,codpiece,lapel,42
11,earflap,lapel,42
12,barndoor,lappet,42
13,jag,tongue,42
0,unicyclist,cyclist,559
1,horsewoman,horseman,559
2,picador,horseman,559
3,postilion,jockey,559
4,roughrider,jockey,559
5,merckx,jockey,559
6,hinault,jockey,559
7,cyclist,rider,559
8,horseman,rider,559
9,jockey,rider,559
10,buster,rider,559
11,fox_hunter,rider,559
0,cauliflower,broccoli,561
1,head_cabbage,cabbage,561
2,savoy_cabbage,cabbage,561
3,chinese_cabbage,cabbage,561
4,red_cabbage,cabbage,561
5,bok_choy,cabbage,561
6,broccoli_rabe,cabbage,561
7,cabbage,cruciferous_vegetable,561
8,turnip,cruciferous_vegetable,561
9,kohlrabi,cruciferous_vegetable,561
10,rutabaga,cruciferous_vegetable,561
11,mustard,cruciferous_vegetable,561
12,brussels_sprouts,cruciferous_vegetable,561
13,kale,cruciferous_vegetable,561
14,broccoli,cruciferous_vegetable,561
15,collards,mustard,561
16,white_turnip,turnip,561
17,radish,turnip,561
0,black-footed_albatross,albatross,563
1,wandering_albatross,albatross,563
2,giant_petrel,albatross,563
3,procellariiform_seabird,pelagic_bird,563
4,albatross,procellariiform_seabird,563
5,petrel,procellariiform_seabird,563
6,shearwater,procellariiform_seabird,563
7,fulmar,procellariiform_seabird,563
8,manx_shearwater,shearwater,563
9,stormy_petrel,shearwater,563
10,storm_petrel,shearwater,563
11,diving_petrel,shearwater,563
12,mother_carey's_chicken,storm_petrel,563
13,white-chinned_petrel,storm_petrel,563
0,allegro_con_spirito,allegro,569
1,accelerando,allegro,569
2,allegro,common_time,569
3,allegretto,common_time,569
4,andante,common_time,569
5,meno_mosso,common_time,569
6,in_time,duple_time,569
7,tempo,musical_time,569
8,common_time,musical_time,569
9,backbeat,musical_time,569
10,downbeat,musical_time,569
11,duple_time,musical_time,569
12,triple_time,rhythm,569
13,syncopation,rhythm,569
14,upbeat,rhythm,569
15,rhythm,tempo,569
16,rubato,tempo,569
0,aspirin_powder,aspirin,58
1,enteric-coated_aspirin,aspirin,58
2,buffered_aspirin,aspirin,58
3,methyl_salicylate,aspirin,58
4,ketorolac_tromethamine,ketorolac,58
5,aspirin,nonsteroidal_anti-inflammatory,58
6,ibuprofen,nonsteroidal_anti-inflammatory,58
7,salicylate,nonsteroidal_anti-inflammatory,58
8,sulindac,nonsteroidal_anti-inflammatory,58
9,oxaprozin,nonsteroidal_anti-inflammatory,58
10,diflunisal,nonsteroidal_anti-inflammatory,58
11,mefenamic_acid,nonsteroidal_anti-inflammatory,58
12,ketoprofen,nonsteroidal_anti-inflammatory,58
13,flurbiprofen,nonsteroidal_anti-inflammatory,58
14,nabumetone,nonsteroidal_anti-inflammatory,58
15,etodolac,nonsteroidal_anti-inflammatory,58
16,meclofenamate,nonsteroidal_anti-inflammatory,58
17,piroxicam,nonsteroidal_anti-inflammatory,58
18,ketorolac,nonsteroidal_anti-inflammatory,58
19,tolmetin_sodium,nonsteroidal_anti-inflammatory,58
20,indomethacin,nonsteroidal_anti-inflammatory,58
21,naproxen,nonsteroidal_anti-inflammatory,58
22,fenoprofen,nonsteroidal_anti-inflammatory,58
23,salol,salicylate,58
24,diclofenac_sodium,salicylate,58
25,diclofenac_potassium,salicylate,58
26,naproxen_sodium,salicylate,58
0,dandruff,dander,64
1,cinder,ember,64
2,matchwood,ember,64
3,paring,filing,64
4,splinter,fragment,64
5,clast,fragment,64
6,spark,fragment,64
7,ember,fragment,64
8,scurf,fragment,64
9,scraping,fragment,64
10,splint,fragment,64
11,bit,fragment,64
12,spall,fragment,64
13,scale,fragment,64
14,dander,fragment,64
15,brickbat,fragment,64
16,restriction_fragment,fragment,64
17,filing,scraping,64
18,iron_filing,splinter,64
19,metal_filing,splinter,64
0,australopithecus_africanus,australopithecine,577
1,australopithecus_afarensis,australopithecine,577
2,australopithecus_boisei,australopithecine,577
3,australopithecus_robustus,australopithecine,577
4,paranthropus,australopithecine,577
5,peking_man,australopithecine,577
6,boskop_man,australopithecine,577
7,solo_man,australopithecine,577
8,sivapithecus,australopithecine,577
9,lucy,australopithecus_afarensis,577
10,zinjanthropus,australopithecus_afarensis,577
11,homo,hominid,577
12,australopithecine,hominid,577
13,dryopithecine,hominid,577
14,rudapithecus,hominid,577
15,homo_habilis,homo,577
16,homo_erectus,homo,577
17,homo_sapiens,homo,577
18,homo_soloensis,homo,577
19,neandertal_man,homo,577
20,rhodesian_man,homo,577
21,pithecanthropus,homo,577
22,sinanthropus,homo,577
23,java_man,homo,577
24,homo_sapiens_sapiens,homo_sapiens,577
25,cro-magnon,homo_sapiens,577
0,granuloma_inguinale,gonorrhea,584
1,lymphogranuloma_venereum,gonorrhea,584
2,primary_syphilis,syphilis,584
3,secondary_syphilis,syphilis,584
4,tertiary_syphilis,syphilis,584
5,neurosyphilis,tertiary_syphilis,584
6,tabes_dorsalis,tertiary_syphilis,584
7,syphilis,venereal_disease,584
8,gonorrhea,venereal_disease,584
9,chlamydia,venereal_disease,584
10,genital_herpes,venereal_disease,584
0,king_post,column,589
1,carrick_bitt,gatepost,589
2,newel,hitching_post,589
3,telephone_pole,lamppost,589
4,stanchion,post,589
5,gatepost,post,589
6,whipping_post,post,589
7,newel_post,post,589
8,doorjamb,post,589
9,jamb,post,589
10,pilaster,post,589
11,column,post,589
12,lamppost,post,589
13,stile,post,589
14,stake,post,589
15,pile,post,589
16,goalpost,post,589
17,corner_post,post,589
18,lally,post,589
19,hinging_post,post,589
20,support_column,post,589
21,shutting_post,post,589
22,maypole,post,589
23,hitching_post,post,589
24,queen_post,post,589
25,caryatid,post,589
26,scantling,post,589
