,child,parent,group
0,liter,metric_capacity_unit,514
1,kiloliter,metric_capacity_unit,514
2,hectoliter,metric_capacity_unit,514
3,dekaliter,metric_capacity_unit,514
4,deciliter,metric_capacity_unit,514
5,centiliter,metric_capacity_unit,514
6,milliliter,metric_capacity_unit,514
7,cubic_millimeter,metric_capacity_unit,514
8,meter,metric_linear_unit,514
9,kilometer,metric_linear_unit,514
10,hectometer,metric_linear_unit,514
11,decameter,metric_linear_unit,514
12,centimeter,metric_linear_unit,514
13,millimeter,metric_linear_unit,514
14,micron,metric_linear_unit,514
15,angstrom,metric_linear_unit,514
16,nanometer,metric_linear_unit,514
17,picometer,metric_linear_unit,514
18,femtometer,metric_linear_unit,514
19,metric_linear_unit,metric_unit,514
20,metric_capacity_unit,metric_unit,514
21,metric_weight_unit,metric_unit,514
22,gram,metric_weight_unit,514
23,kilogram,metric_weight_unit,514
24,hectogram,metric_weight_unit,514
25,dekagram,metric_weight_unit,514
26,decigram,metric_weight_unit,514
27,milligram,metric_weight_unit,514
28,microgram,metric_weight_unit,514
29,nanogram,metric_weight_unit,514
30,metric_ton,metric_weight_unit,514
31,quintal,metric_weight_unit,514
32,centner,metric_weight_unit,514
33,hundredweight,metric_weight_unit,514
34,carat,metric_weight_unit,514
0,dalai_lama,lama,515
1,panchen_lama,lama,515
2,hoodoo,magus,515
3,shaman,priest,515
4,magus,priest,515
5,druid,priest,515
6,votary,priest,515
7,flamen,priest,515
8,lama,priest,515
9,rhea_silvia,priest,515
10,ezra,priest,515
11,medicine_man,shaman,515
0,product-moment_correlation_coefficient,correlation_coefficient,5
1,tau_coefficient_of_correlation,correlation_coefficient,5
2,rank-order_correlation_coefficient,correlation_coefficient,5
3,kendall_partial_rank_correlation,correlation_coefficient,5
4,biserial_correlation_coefficient,correlation_coefficient,5
5,tetrachoric_correlation_coefficient,correlation_coefficient,5
6,phi_coefficient,correlation_coefficient,5
7,mean_deviation,deviation,5
8,arithmetic_mean,mean,5
9,geometric_mean,mean,5
10,harmonic_mean,mean,5
11,second_moment,moment,5
12,kendall_test,nonparametric_statistic,5
13,mean,parametric_statistic,5
14,median,parametric_statistic,5
15,mode,parametric_statistic,5
16,variance,parametric_statistic,5
17,correlation_coefficient,parametric_statistic,5
18,moment,parametric_statistic,5
19,parametric_statistic,statistic,5
20,nonparametric_statistic,statistic,5
21,demographic,statistic,5
22,vital_statistics,statistic,5
23,outlier,statistic,5
24,time_series,statistic,5
0,square_dance,country-dance,8
1,quadrille,country-dance,8
2,longways,country-dance,8
3,reel,country-dance,8
4,sashay,country-dance,8
5,swing,country-dance,8
6,landler,country-dance,8
7,lancers,quadrille,8
8,do-si-do,square_dance,8
0,drug_addict,addict,9
1,caffeine_addict,addict,9
2,heroin_addict,drug_addict,9
3,opium_addict,drug_addict,9
4,cocaine_addict,drug_addict,9
5,crack_addict,drug_addict,9
6,acid_head,head,9
7,pothead,head,9
8,hash_head,head,9
0,solicitation,enticement,10
1,underexposure,exposure,10
2,overexposure,exposure,10
3,manipulation,influence,10
4,enticement,influence,10
5,ingratiation,influence,10
6,exposure,influence,10
7,cross-pollination,influence,10
8,seduction,influence,10
9,mind_game,manipulation,10
10,hypnotism,manipulation,10
0,coefficient_of_friction,coefficient,13
1,coefficient_of_viscosity,coefficient,13
2,coefficient_of_mutual_induction,coefficient,13
3,coefficient_of_self_induction,coefficient,13
4,coefficient_of_reflection,coefficient,13
5,coefficient_of_expansion,coefficient,13
6,absorption_coefficient,coefficient,13
7,drag_coefficient,coefficient,13
8,transmittance,coefficient,13
9,coefficient_of_elasticity,coefficient,13
10,young's_modulus,modulus,13
11,bulk_modulus,modulus,13
12,modulus_of_rigidity,modulus,13
0,hunger_strike,fast,525
1,sawm,fast,525
0,tailspin,acrobatics,15
1,solo,air_travel,15
2,air_travel,flight,15
3,ballooning,flight,15
