,group,child,parent
0,10,influence,
1,10,manipulation,influence
2,10,impingement,influence
3,10,exposure,influence
4,10,solicitation,manipulation
5,10,ingratiation,manipulation
6,10,overexposure,impingement
7,10,underexposure,impingement
8,10,cross-pollination,exposure
9,10,blandishment,exposure
10,10,entice,blandishment
11,10,leading astray,blandishment
12,10,mind game,blandishment
13,10,seduction,blandishment
14,10,hypnotism,blandishment
15,101,shelter,shelter
16,101,hut,shelter
17,101,mudhif,hut
18,101,hovel,hut
19,101,tent,shelter
20,101,canvas tent,tent
21,101,backpacking tent,canvas tent
22,101,Sibley tent,canvas tent
23,101,field tent,tent
24,101,bell tent,field tent
25,101,lean-to tent,tent
26,101,wall tent,tent
27,101,dugout,tent
28,101,igloo,shelter
29,101,refuge,shelter
30,101,safe house,shelter
31,101,fallout shelter,shelter
32,101,cookhouse,shelter
33,101,mantelet,shelter
34,101,pop tent,field tent
35,101,pup tent,tent
36,101,two-man tent,tent
37,101,tepee,tent
38,101,Nissen hut,hut
39,101,umbrella tent,tent
40,101,storm cellar,shelter
41,101,loft,shelter
42,101,pavilion,shelter
43,101,cabana,shelter
44,101,harbor,shelter
45,101,praetorium,shelter
46,101,sconce,shelter
47,101,mountain tent,tent
48,101,pyramidal tent,tent
49,101,safehold,shelter
50,105,percussion instrument,percussion instrument
51,105,drum,percussion instrument
52,105,gong,percussion instrument
53,105,handbell,percussion instrument
54,105,maraca,percussion instrument
55,105,marimba,percussion instrument
56,105,timbrel,percussion instrument
57,105,bass drum,drum
58,105,snare drum,drum
59,105,tenor drum,drum
60,105,bongo,drum
61,105,steel drum,drum
62,105,cymbal,gong
63,105,high-hat cymbal,cymbal
64,105,triangle,handbell
65,105,lagerphone,handbell
66,105,tabor,handbell
67,105,piano,percussion instrument
68,105,mechanical piano,piano
69,105,grand piano,piano
70,105,baby grand,piano
71,105,concert grand,piano
72,105,upright,piano
73,105,rain stick,percussion instrument
74,13,coefficient,none
75,13,transmittance,coefficient
76,13,weight,coefficient
77,13,Young's modulus,coefficient
78,13,bulk modulus,coefficient
79,13,coefficient of viscosity,coefficient
80,13,coefficient of friction,coefficient
81,13,modulus of rigidity,coefficient
82,13,coefficient of elasticity,coefficient
83,13,coefficient of expansion,coefficient of elasticity
84,13,coefficient of reflection,coefficient
85,13,coefficient of mutual induction,coefficient
86,13,coefficient of self induction,coefficient
87,13,drag coefficient,coefficient
88,137,anemia,None
89,137,microcytic anemia,anemia
90,137,macrocytic anemia,anemia
91,137,hypochromic anemia,anemia
92,137,megaloblastic anemia,macrocytic anemia
93,137,pernicious anemia,macrocytic anemia
94,137,refractory anemia,macrocytic anemia
95,137,iron deficiency anemia,microcytic anemia
96,137,sideroblastic anemia,microcytic anemia
97,137,Cooley's anemia,microcytic anemia
98,137,Fanconi's anemia,microcytic anemia
99,137,chlorosis,hypochromic anemia
100,137,thalassemia,hypochromic anemia
101,137,ischemia,None
102,137,ischemic stroke,ischemia
103,137,transient ischemic attack,ischemia
104,137,favism,anemia
105,137,erythroblastosis fetalis,anemia
106,137,hemolytic anemia,anemia
107,137,sickle-cell anemia,hemolytic anemia
108,137,aplastic anemia,anemia
109,137,hypoplastic anemia,aplastic anemia
110,138,marriage,marital status
111,138,monogamy,marriage
112,138,polygamy,marriage
113,138,endogamy,marriage
114,138,monogyny,monogamy
115,138,monandry,monogamy
116,138,monogamy,monogamy
117,138,polygyny,polygamy
118,138,polyandry,polygamy
119,138,polygamy,polygamy
120,138,marriage of convenience,marriage
121,138,open marriage,marriage
122,138,common-law marriage,marriage
123,138,civil union,marriage
124,138,bigamy,polygamy
125,138,sigeh,polygamy
126,138,mesalliance,marriage
127,138,misalliance,marriage
128,138,cuckoldom,marriage
129,138,exogamy,endogamy
130,138,bachelorhood,marital status
131,138,spinsterhood,marital status
132,138,widowhood,marital status
133,138,serial monogamy,monogamy
134,15,flight,
135,15,air travel,flight
136,15,glide,flight
137,15,parasailing,flight
138,15,ballooning,flight
139,15,hang gliding,flight
140,15,sortie,flight
141,15,acrobatics,sortie
142,15,flyover,flight
143,15,overflight,flight
144,15,pass,flight
145,15,terrain flight,flight
146,15,maiden flight,flight
147,15,tailspin,flight
148,15,blind flying,flight
149,15,solo,flight
150,150,joke,fun
151,150,wit,joke
152,150,sarcasm,wit
153,150,pungency,wit
154,150,mock-heroic,wit
155,150,esprit de l'escalier,wit
156,150,badinage,joke
157,150,banter,badinage
158,150,repartee,joke
159,150,persiflage,repartee
160,150,one-liner,joke
161,150,pun,one-liner
162,150,caricature,joke
163,150,parody,caricature
164,150,ribaldry,joke
165,150,dirty joke,ribaldry
166,150,shaggy dog story,joke
167,150,funny story,shaggy dog story
168,150,sight gag,joke
169,150,cartoon,sight gag
170,150,in-joke,joke
171,150,jocosity,joke
172,150,waggery,joke
173,150,jeu d'esprit,joke
174,150,topper,joke
175,150,ethnic joke,joke
176,150,belly laugh,joke
177,150,sick joke,joke
178,17,elementary education,education
179,17,secondary education,education
180,17,higher education,education
181,17,continuing education,education
182,17,adult education,continuing education
183,17,extension,continuing education
184,17,extension course,extension
185,17,required course,higher education
186,17,propaedeutic,higher education
187,17,elective course,higher education
188,17,course,education
189,17,seminar,course
190,17,orientation course,course
191,17,correspondence course,course
192,17,course of lectures,course
193,17,directed study,correspondence course
194,17,home study,directed study
195,17,shop class,home study
196,17,life class,home study
197,17,dramatics,life class
198,17,art class,life class
199,17,industrial arts,art class
200,17,industrial arts,art class
201,17,sports,athletics
202,17,athletics,education
203,17,extracurricular activity,education
204,17,coeducation,education
205,17,team teaching,coeducation
206,171,woodpecker,piciform bird
207,171,sapsucker,piciform bird
208,171,flicker,piciform bird
209,171,barbet,piciform bird
210,171,jacamar,piciform bird
211,171,honey guide,piciform bird
212,171,downy woodpecker,woodpecker
213,171,red-headed woodpecker,woodpecker
214,171,green woodpecker,woodpecker
215,171,yellow-bellied sapsucker,sapsucker
216,171,red-breasted sapsucker,sapsucker
217,171,yellow-shafted flicker,flicker
218,171,red-shafted flicker,flicker
219,171,toucanet,piciform bird
220,171,toucan,toucanet
221,171,wryneck,piciform bird
222,171,puffbird,piciform bird
223,171,ivorybill,piciform bird
224,171,piculet,piciform bird
225,177,auk,auk
226,177,guillemot,auk
227,177,murre,auk
228,177,auklet,auk
229,177,black guillemot,guillemot
230,177,pigeon guillemot,guillemot
231,177,common murre,murre
232,177,thick-billed murre,murre
233,177,razorbill,auklet
234,177,little auk,auklet
235,177,great auk,auklet
236,180,wild crab,crab
237,180,crab apple,crab
238,180,apple,crab apple
239,180,Southern crab apple,crab apple
240,180,American crab apple,crab apple
241,180,Siberian crab,crab
242,180,Oregon crab apple,crab apple
243,180,Iowa crab,crab
244,180,wild apple,apple
245,184,initiation,initiation
246,184,usher in,initiation
247,184,activation,initiation
248,184,resumption,initiation
249,184,tip-off,initiation
250,184,first step,initiation
251,184,icebreaker,initiation
252,184,beginning,initiation
253,184,creation,beginning
254,184,constitution,beginning
255,184,authorship,beginning
256,184,attack,beginning
257,184,jump ball,attack
258,184,scrum,attack
259,184,federation,unionization
260,184,collectivization,federation
261,184,communization,federation
262,184,population,federation
263,184,peace initiative,federation
264,184,springboard,peace initiative
265,184,startup,federation
266,184,product introduction,startup
267,184,groundbreaking,icebreaker
268,184,curtain raiser,icebreaker
269,184,introduction,icebreaker
270,184,kickoff,icebreaker
271,184,inauguration,induction
272,184,induction of labor,activation
273,184,induction,activation
274,184,colonization,resumption
275,184,naturalization,resumption
276,184,hypothesis,induction
277,184,hypnogenesis,induction
278,193,progymnosperm,gymnosperm
279,193,cycad,gymnosperm
280,193,zamia,cycad
281,193,coontie,zamia
282,193,macrozamia,zamia
283,193,ceratozamia,cycad
284,193,sago palm,false sago
285,193,false sago,cycad
286,193,welwitschia,gymnosperm
287,193,encephalartos,gymnosperm
288,193,dioon,gymnosperm
289,193,burrawong,cycad
290,193,kaffir bread,cycad
291,193,seed fern,progymnosperm
292,198,terrorism,terror
293,198,international terrorism,terrorism
294,198,domestic terrorism,terrorism
295,198,state-sponsored terrorism,terrorism
296,198,nuclear terrorism,international terrorism
297,198,cyber-terrorism,international terrorism
298,198,chemical terrorism,international terrorism
299,198,ecoterrorism,domestic terrorism
300,198,narcoterrorism,domestic terrorism
301,198,bioterrorism,domestic terrorism
302,198,theoterrorism,state-sponsored terrorism
303,198,9/11,state-sponsored terrorism
304,198,Red Hand Defenders,domestic terrorism
305,198,terrorist attack,terrorism
306,200,pouch,pocket
307,200,mailbag,pouch
308,200,tobacco pouch,pouch
309,200,diplomatic pouch,pouch
310,200,sporran,pouch
311,200,fob,pouch
312,200,pocket,
313,200,hip pocket,pocket
314,200,breast pocket,pocket
315,200,patch pocket,pocket
316,200,vest pocket,pocket
317,200,waist pack,pocket
318,200,fanny pack,waist pack
319,200,slash pocket,pocket
320,212,ceratopsian,ornithischian
321,212,ornithopod,ornithischian
322,212,ankylosaur,armored dinosaur
323,212,armored dinosaur,ornithischian
324,212,triceratops,ceratopsian
325,212,styracosaur,ceratopsian
326,212,psittacosaur,ceratopsian
327,212,ankylosaur,armored dinosaur
328,212,Edmontonia,armored dinosaur
329,212,hadrosaur,ornithopod
330,212,trachodon,ornithopod
331,212,edmontosaurus,hadrosaur
332,212,anatotitan,hadrosaur
333,212,pachycephalosaur,ornithischian
334,212,stegosaur,ornithischian
335,212,protoceratops,ceratopsian
336,212,staurikosaur,armored dinosaur
337,212,pisanosaur,armored dinosaur
338,212,bone-headed dinosaur,pachycephalosaur
339,212,corythosaur,ceratopsian
340,215,microphone,electro-acoustic transducer
341,215,loudspeaker,electro-acoustic transducer
342,215,earphone,electro-acoustic transducer
343,215,cartridge,microphone
344,215,crystal pickup,microphone
345,215,crystal microphone,microphone
346,215,condenser microphone,microphone
347,215,cardioid microphone,microphone
348,215,directional microphone,microphone
349,215,spike mike,microphone
350,215,telephone receiver,microphone
351,215,squawk box,microphone
352,215,subwoofer,loudspeaker
353,215,woofer,loudspeaker
354,215,tweeter,loudspeaker
355,215,tannoy,loudspeaker
356,215,bullhorn,loudspeaker
357,215,headset,earphone
358,215,earplug,earphone
359,215,bug,microphone
360,236,point,
361,236,intersection,point
362,236,vertex,point
363,236,attractor,point
364,236,strange attractor,attractor
365,236,metacenter,point
366,236,plot element,point
367,236,McGuffin,plot element
368,236,be-all and end-all,point
369,236,component,point
370,24,true marmoset,New World monkey
371,24,marmoset,true marmoset
372,24,pygmy marmoset,marmoset
373,24,titi,New World monkey
374,24,saki,New World monkey
375,24,tamarin,New World monkey
376,24,silky tamarin,tamarin
377,24,howler monkey,New World monkey
378,24,squirrel monkey,New World monkey
379,24,spider monkey,New World monkey
380,24,woolly monkey,New World monkey
381,24,uakari,New World monkey
382,24,douroucouli,New World monkey
383,242,deception,
384,242,misrepresentation,deception
385,242,doublespeak,misrepresentation
386,242,circumlocution,misrepresentation
387,242,pretext,deception
388,242,half-truth,pretext
389,242,subterfuge,pretext
390,242,facade,deception
391,242,hypocrisy,facade
392,242,exaggeration,facade
393,242,hedge,deception
394,242,quibble,hedge
395,242,trickery,deception
396,242,bill of goods,trickery
397,242,snow job,trickery
398,242,pretense,deception
399,242,putoff,trickery
400,242,bluff,trickery
401,247,reducer,fitting
402,247,pipefitting,fitting
403,247,gas fitting,fitting
404,247,wall socket,fitting
405,247,electric socket,wall socket
406,247,slot,socket
407,247,outlet box,wall socket
408,247,receptacle,outlet box
409,251,quality of life,state
410,251,happiness,state
411,251,unhappiness,state
412,251,ecstasy,state
413,251,embarrassment,state
414,251,sadness,state
415,251,state,state
416,251,emotional state,state
417,251,gratification,happiness
418,251,embitterment,unhappiness
419,251,mourning,sadness
420,251,nirvana,ecstasy
421,251,comfort,state
422,251,blessedness,happiness
423,262,mixed farming,farming
424,262,market gardening,farming
425,262,tillage,farming
426,262,aquaculture,farming
427,262,culture,farming
428,262,arboriculture,culture
429,262,viticulture,culture
430,262,cranberry culture,culture
431,262,gardening,farming
432,262,flower gardening,gardening
433,262,truck farming,gardening
434,262,hydroponics,gardening
435,262,drip culture,gardening
436,262,beekeeping,culture
437,262,insemination,animal husbandry
438,262,dairying,animal husbandry
439,262,ranching,animal husbandry
440,262,landscaping,farming
441,262,tilling,landscaping
442,262,plowing,landscaping
443,262,monoculture,farming
444,265,Bantu,Niger-Congo
445,265,Mande,Niger-Congo
446,265,Nguni,Bantu
447,265,Sotho,Bantu
448,265,Zulu,Nguni
449,265,Swazi,Nguni
450,265,Herero,Sotho
451,265,Ewe,Bantu
452,265,Luba,Bantu
453,265,Luyia,Bantu
454,265,Ndebele,Nguni
455,265,Shona,Bantu
456,265,Sotho,Sotho
457,265,Tswana,Sotho
458,265,Mande,Niger-Congo
459,265,Fula,Mande
460,265,Mwera,Mande
461,265,Tonga,Mande
462,265,Gur,Mande
463,265,Mashi,Mande
464,265,Xhosa,Other
465,265,Sango,Other
466,265,Kiswahili,Other
467,265,West African,Other
468,265,Wolof,West African
469,265,Yoruba,West African
470,265,Kamba,West African
471,265,Giriama,West African
472,268,source code,computer file
473,268,web page,source code
474,268,home page,web page
475,268,text file,web page
476,268,read-only file,web page
477,268,binary file,computer file
478,268,ASCII text file,binary file
479,268,disk file,computer file
480,268,transaction file,disk file
481,268,master file,disk file
482,268,backup file,computer file
483,268,input file,computer file
484,268,output file,computer file
485,268,file,read-only file
486,28,bunch,agglomeration
487,28,swad,agglomeration
488,28,thrombus,swad
489,28,clot,thrombus
490,28,embolus,clot
491,28,coma,agglomeration
492,28,witches' broom,coma
493,28,ball,agglomeration
494,28,knot,ball
495,28,clew,agglomeration
496,28,tuft,clew
497,28,wisp,tuft
498,28,gob,agglomeration
499,28,Pleiades,gob
500,28,Northern Cross,gob
501,28,Omega Centauri,gob
502,292,firework,object
503,292,sparkler,firework
504,292,low explosive,firework
505,292,firecracker,firework
506,292,cannon cracker,sparkler
507,292,maroon,sparkler
508,292,fizgig,sparkler
509,292,torpedo,sparkler
510,292,cherry bomb,low explosive
511,292,whizbang,low explosive
512,292,catherine wheel,firecracker
513,292,Roman candle,firecracker
514,292,skyrocket,firecracker
515,292,serpent,firework
516,292,squib,firework
517,312,instrumentation,means
518,312,instrument,means
519,312,implementation,means
520,312,escape,means
521,312,salvation,means
522,312,improvisation,means
523,312,practice,means
524,312,voice,means
525,312,invocation,implementation
526,312,motorization,instrumentation
527,312,tooth,instrument
528,312,dint,instrument
529,312,crutch,instrument
530,312,expedient,pis aller
531,312,fast track,means
532,312,stepping stone,means
533,312,royal road,means
534,312,open sesame,means
535,312,desperate measure,pis aller
536,312,wings,escape
537,320,plot,garden
538,320,market garden,garden
539,320,formal garden,garden
540,320,Tuileries,garden
541,320,parterre,formal garden
542,320,rock garden,formal garden
543,320,kitchen garden,market garden
544,320,victory garden,market garden
545,320,herb garden,kitchen garden
546,320,seedbed,kitchen garden
547,320,hotbed,kitchen garden
548,320,asparagus bed,kitchen garden
549,320,tulip bed,herb garden
550,320,rose bed,herb garden
551,320,flower garden,garden
552,320,rose garden,flower garden
553,320,flowerbed,flower garden
554,320,sunken garden,flower garden
555,320,orange grove,fruit garden
556,320,peach orchard,fruit garden
557,320,apple orchard,fruit garden
558,320,lemon grove,fruit garden
559,320,topiary,landscaping
560,320,Hanging Gardens of Babylon,landscaping
561,320,pot farm,landscaping
562,320,hop garden,pot farm
563,327,female sibling,sister
564,327,big sister,sister
565,327,little sister,sister
566,327,aunt,sister
567,327,niece,aunt
568,327,great-niece,great-aunt
569,327,kinswoman,aunt
570,327,half sister,sister
571,327,great-aunt,aunt
572,327,maiden aunt,aunt
573,33,down,feather
574,33,goose down,down
575,33,duck down,down
576,33,swan's down,down
577,33,hackle,feather
578,33,saddle hackle,hackle
579,33,bastard wing,hackle
580,33,eiderdown,down
581,33,primary,feather
582,33,plumule,primary
583,33,flight feather,feather
584,33,contour feather,flight feather
585,33,sickle feather,flight feather
586,33,tail feather,feather
587,33,scapular,tail feather
588,33,aftershaft,tail feather
589,33,marabou,tail feather
590,335,surgical instrument,medical instrument
591,335,probe,surgical instrument
592,335,syringe,surgical instrument
593,335,dilator,surgical instrument
594,335,scalpel,surgical instrument
595,335,retractor,surgical instrument
596,335,lancet,surgical instrument
597,335,diagnostic equipment,medical instrument
598,335,stethoscope,diagnostic equipment
599,335,ophthalmoscope,diagnostic equipment
600,335,otoscope,diagnostic equipment
601,335,laryngoscope,diagnostic equipment
602,335,gastroscope,diagnostic equipment
603,335,sigmoidoscope,diagnostic equipment
604,335,colonoscope,diagnostic equipment
605,335,arthroscope,diagnostic equipment
606,335,endoscope,diagnostic equipment
607,335,fiberscope,diagnostic equipment
608,335,bronchoscope,diagnostic equipment
609,335,rhinoscope,diagnostic equipment
610,335,cystoscope,diagnostic equipment
611,335,culdoscope,diagnostic equipment
612,335,proctoscope,diagnostic equipment
613,335,therapeutic equipment,medical instrument
614,335,diathermy machine,therapeutic equipment
615,335,microwave diathermy machine,therapeutic equipment
616,335,shortwave diathermy machine,therapeutic equipment
